ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,141,293,300,21289,6931,3662,5262,4506,5918,29058,3710,813,611,503,82263,26,3093,85382,166704,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_01_LA%20PIEDAD.pdf
16,MICHOACAN,2,PURUANDIRO,173,336,341,3732,10794,9044,5637,7625,12565,29348,1729,6105,1040,1053,88672,14,5456,94142,181982,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_02_PURUANDIRO.pdf
16,MICHOACAN,3,MARAVATIO,106,268,270,5190,12837,9661,5162,7675,6766,28409,1286,670,345,1513,79514,12,4998,84524,158043,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_03_MARAVATIO.pdf
16,MICHOACAN,4,JIQUILPAN,158,326,331,19538,5813,4450,5541,10106,9781,35198,1594,585,190,703,93499,19,3543,97061,172848,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_04_JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO,88,207,217,2970,7079,9571,4500,4910,4827,27727,3336,3214,2727,2055,72916,30,4503,77449,115598,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_05_PARACHO.pdf
16,MICHOACAN,6,ZAMORA,97,267,272,24516,3800,1416,4831,3723,6234,21591,0,3048,293,311,69763,55,2734,72552,158640,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_06_ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,128,297,303,9476,8355,7649,5986,6426,4967,29097,2441,3555,1150,1347,80449,15,4677,85141,171485,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_07_ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,99,254,259,8949,11904,3994,17783,4894,8713,16717,3089,1267,978,1414,79702,27,4245,83974,148733,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_08_TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES,120,278,282,22827,7567,8135,2595,6271,6117,19447,617,194,149,256,74175,45,3799,78019,154762,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_09_LOS%20REYES.pdf
16,MICHOACAN,10,MORELIA,98,285,289,20857,10428,2660,4878,8074,5726,32112,2557,1314,830,1141,90577,63,4765,95405,171119,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_10_MORELIA.pdf
16,MICHOACAN,11,MORELIA,114,283,287,30030,8214,2529,3508,5425,7830,28586,1531,1177,1349,1602,91781,75,4553,96409,171473,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_11_MORELIA.pdf
16,MICHOACAN,12,HIDALGO,130,286,291,11432,11590,7057,12424,6596,13692,19562,2419,571,713,1269,87325,58,5192,92575,163062,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_12_HIDALGO.pdf
16,MICHOACAN,13,ZITACUARO,98,252,257,6496,10097,4847,7933,8400,9728,22175,4303,1089,1487,419,76974,38,5226,82238,155126,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_13_ZITACUARO.pdf
16,MICHOACAN,14,URUAPAN,86,245,251,5069,3837,3454,3144,3451,4218,20157,933,35,675,577,45550,73,3844,49467,145704,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_14_URUAPAN.pdf
