ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,22,COCOTITLAN,6,20,20,571,1089,299,1023,1338,2219,1882,763,0,0,0,0,0,0,0,0,0,9184,4,361,9549,12887,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN22.pdf
15,MEXICO,23,COYOTEPEC,12,61,62,1977,3768,1036,1071,718,2927,9767,2638,0,0,0,0,0,0,0,0,0,23902,635,885,25422,41541,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN23.pdf
15,MEXICO,24,CUAUTITLAN,42,165,166,8610,21276,1162,2378,1709,4404,30621,884,0,0,0,0,0,0,0,0,0,71044,49,1315,72408,108370,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN24.pdf
15,MEXICO,25,CUAUTITLAN IZCALLI,262,706,708,84001,28723,4499,12251,8323,21048,124063,3081,0,0,0,0,0,0,0,0,0,285989,716,6871,293576,431935,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN25.pdf
15,MEXICO,26,CHALCO,77,438,439,4670,8897,2446,37384,4103,11153,82745,6228,0,0,0,0,0,0,0,0,0,157626,153,9428,167207,289760,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN26.pdf
15,MEXICO,27,CHAPA DE MOTA,14,41,41,6194,1442,165,637,393,1201,7727,61,0,0,0,0,0,0,0,0,0,17820,37,497,18354,24056,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN27.pdf
15,MEXICO,28,CHAPULTEPEC,2,14,14,356,1905,57,1519,310,960,1206,61,0,0,0,0,0,0,0,0,0,6374,27,223,6624,9678,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN28.pdf
15,MEXICO,29,CHIAUTLA,12,39,39,417,960,91,289,245,8292,6426,73,0,0,0,0,0,0,0,0,0,16793,14,449,17256,24263,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN29.pdf
15,MEXICO,30,CHICOLOAPAN,71,236,236,6537,12450,3423,4344,2804,6395,42248,8715,0,0,0,0,0,0,0,0,0,86916,106,2251,89273,146641,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN30.pdf
15,MEXICO,31,CHICONCUAC,8,33,34,2448,970,1290,1347,3568,407,2961,1049,0,0,0,0,0,0,0,0,0,14040,837,499,15376,22282,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN31.pdf
