ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,17,AYAPANGO,5,12,12,44,815,1678,76,65,1459,889,83,0,0,0,0,0,0,0,0,0,0,0,24,1,7,4,0,0,0,0,0,0,0,0,0,0,5145,3,115,5263,6833,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN17.pdf
15,MEXICO,18,CALIMAYA,16,72,73,10346,2712,289,1014,2263,3310,11138,204,75,301,9,8,0,123,21,9,11,4,7,621,51,102,205,0,0,0,0,0,0,0,0,0,0,32823,21,838,33682,47227,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN18.pdf
15,MEXICO,19,CAPULHUAC,12,44,44,435,3482,406,471,434,4513,4288,117,60,109,6,1,2,19,8,0,21,3,0,224,29,34,56,0,0,0,0,0,0,0,0,0,0,14718,49,841,15608,28816,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN19.pdf
15,MEXICO,20,COACALCO DE BERRIOZABAL,110,367,368,14138,51968,1857,3789,2112,13996,57178,1601,430,1791,48,15,22,501,35,12,101,56,76,3529,179,647,479,0,0,0,0,0,0,0,0,0,0,154560,175,3594,158329,234077,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN20.pdf
15,MEXICO,21,COATEPEC HARINAS,19,52,53,1098,7228,165,410,1612,977,4411,79,65,133,6,2,5,90,3,2,13,8,1,205,52,42,110,0,0,0,0,0,0,0,0,0,0,16717,11,1013,17741,29975,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN21.pdf
15,MEXICO,22,COCOTITLAN,6,20,20,0,0,0,1023,1338,2219,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2722,0,0,0,0,0,0,0,0,0,9184,4,361,9549,12887,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN22.pdf
15,MEXICO,23,COYOTEPEC,12,61,62,0,0,0,863,527,2927,9534,0,0,0,0,0,0,0,0,0,0,0,0,408,32,113,79,9419,0,0,0,0,0,0,0,0,0,23902,635,885,25422,41541,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN23.pdf
15,MEXICO,24,CUAUTITLAN,42,165,166,8174,20819,825,1648,1015,4404,29777,797,218,759,35,8,7,204,14,7,34,29,2,1616,44,339,269,0,0,0,0,0,0,0,0,0,0,71044,49,1315,72408,108370,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN24.pdf
15,MEXICO,25,CUAUTITLAN IZCALLI,262,706,708,81689,26488,2831,8774,5102,21048,120173,2756,928,3857,87,29,9,1298,172,39,54,18,49,7306,375,1708,1199,0,0,0,0,0,0,0,0,0,0,285989,716,6871,293576,431935,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN25.pdf
15,MEXICO,26,CHALCO,77,438,439,0,0,0,37384,4103,11153,82745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22241,0,0,0,0,0,0,0,0,0,157626,153,9428,167207,289760,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN26.pdf
15,MEXICO,27,CHAPA DE MOTA,14,41,41,6107,1364,132,472,259,1201,7563,49,20,64,10,6,1,93,8,5,2,1,0,249,53,110,51,0,0,0,0,0,0,0,0,0,0,17820,37,497,18354,24056,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN27.pdf
15,MEXICO,28,CHAPULTEPEC,2,14,14,322,1868,26,1456,262,960,1146,46,24,50,6,0,2,16,2,0,6,0,11,111,15,36,9,0,0,0,0,0,0,0,0,0,0,6374,27,223,6624,9678,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN28.pdf
15,MEXICO,29,CHIAUTLA,12,39,39,388,930,70,190,151,8292,6310,67,16,47,4,4,0,9,1,1,3,1,0,218,7,45,39,0,0,0,0,0,0,0,0,0,0,16793,14,449,17256,24263,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN29.pdf
15,MEXICO,30,CHICOLOAPAN,71,236,236,0,0,0,3390,1883,6395,41174,0,0,0,0,0,0,0,0,0,0,0,0,1961,150,451,387,31125,0,0,0,0,0,0,0,0,0,86916,106,2251,89273,146641,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN30.pdf
15,MEXICO,31,CHICONCUAC,8,33,34,2448,970,1290,1347,3568,407,2961,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14040,837,499,15376,22282,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN31.pdf
