ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PVEM_PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,24,CUAUTITLAN,42,165,166,,,,,,4404,,,31932,34708,,,,,,,,,,,71044,49,1315,72408,108370,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN24.pdf
15,MEXICO,25,CUAUTITLAN IZCALLI,262,706,708,,,,,,21048,,,120304,144637,,,,,,,,,,,285989,716,6871,293576,431935,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN25.pdf
15,MEXICO,26,CHALCO,77,438,439,,,,37384,4103,11153,82745,,,,22241,,,,,,,,,,157626,153,9428,167207,289760,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN26.pdf
15,MEXICO,27,CHAPA DE MOTA,14,41,41,,,,,,1201,,,7862,8757,,,,,,,,,,,17820,37,497,18354,24056,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN27.pdf
15,MEXICO,28,CHAPULTEPEC,2,14,14,,,,,,960,,,2379,3035,,,,,,,,,,,6374,27,223,6624,9678,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN28.pdf
15,MEXICO,29,CHIAUTLA,12,39,39,,,,,,8292,,,1541,6960,,,,,,,,,,,16793,14,449,17256,24263,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN29.pdf
15,MEXICO,30,CHICOLOAPAN,71,236,236,,,,,,6395,,,,49396,31125,,,,,,,,,,86916,106,2251,89273,146641,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN30.pdf
15,MEXICO,31,CHICONCUAC,8,33,34,2448,970,1290,1347,3568,407,2961,1049,,,,,,,,,,,,,14040,837,499,15376,22282,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN31.pdf
15,MEXICO,32,CHIMALHUACAN,176,770,771,7016,81075,5879,,,16728,,2352,,146071,,,,,,,,,,,259121,448,10198,269767,513126,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN32.pdf
15,MEXICO,33,DONATO GUERRA,16,44,44,,,,3622,3369,288,5888,,,,5597,,,,,,,,,,18764,3,1095,19862,27361,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN33.pdf
15,MEXICO,34,ECATEPEC DE MORELOS,754,2114,2119,,,,68347,62479,80305,347232,,,,194923,,,,,,,,,,753286,1375,46467,801128,1293604,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN34.pdf
15,MEXICO,35,ECATZINGO,4,13,13,,,,2661,0,92,533,,2449,,,,,,,,,,,,5735,4,206,5945,7904,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN35.pdf
15,MEXICO,36,HUEHUETOCA,64,190,191,,,,,,5468,,,16621,25218,,,11360,,,,,,,,58667,6645,2388,67700,116992,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN36.pdf
15,MEXICO,37,HUEYPOXTLA,16,52,52,263,5890,181,6763,979,3075,6534,382,,,,,,,,,,,,,24067,13,1004,25084,34763,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN37.pdf
15,MEXICO,38,HUIXQUILUCAN,92,340,341,77326,0,5127,7887,3255,10157,41895,964,,,,,,,,,,,,,146611,164,6903,153678,219842,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN38.pdf
15,MEXICO,39,ISIDRO FABELA,5,18,18,684,936,817,,,726,,970,,1631,,,,947,,,,,,,6711,0,211,6922,9323,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN39.pdf
15,MEXICO,40,IXTAPALUCA,235,618,619,,,,43828,7460,18726,83026,,,,58885,,,,,,,,,,211925,210,11752,223887,377797,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN40.pdf
15,MEXICO,41,IXTAPAN DE LA SAL,19,51,51,,,,,,2004,,,7540,8292,,,,,,,,,,,17836,16,719,18571,29202,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN41.pdf
15,MEXICO,42,IXTAPAN DEL ORO,5,9,9,33,149,884,,,26,,153,,3083,,,,,,,,,,,4328,12,141,4481,5627,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN42.pdf
15,MEXICO,43,IXTLAHUACA,51,190,190,,,,2827,2752,5338,39381,,30852,,,,,,,,,,,,81150,49,3818,85017,121828,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN43.pdf
15,MEXICO,44,XALATLACO,7,33,33,,,,820,3314,916,5097,,,,1784,,,,,,,,,,11931,20,495,12446,20718,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN44.pdf
15,MEXICO,45,JALTENCO,14,35,36,,,,432,2962,1946,7148,,,,1682,,,,,,,,,,14170,12,541,14723,21116,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN45.pdf
15,MEXICO,46,JILOTEPEC,47,130,130,,,,,,1798,,,27622,22785,,,,,,,,,,,52205,40,1210,53455,74888,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN46.pdf
15,MEXICO,47,JILOTZINGO,10,30,30,2861,2702,24,,,1443,,95,,3368,,,,,,,,,,,10493,6,352,10851,17459,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN47.pdf
15,MEXICO,48,JIQUIPILCO,30,97,97,,,,,,11244,,,12479,15208,,,,,,,,,,,38931,15,1371,40317,58213,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN48.pdf
15,MEXICO,49,JOCOTITLAN,29,91,91,2186,10509,589,2415,1440,2609,10606,0,,,,,,,,,,,,,30354,5476,2090,37920,53939,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN49.pdf
15,MEXICO,50,JOQUICINGO,5,18,18,,,,,,2395,,,,3785,2129,,,,,,,,,,8309,3,250,8562,11286,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN50.pdf
15,MEXICO,51,JUCHITEPEC,8,32,32,178,4695,111,538,2013,501,5624,62,,,,,,,,,,,,,13722,9,729,14460,19825,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN51.pdf
15,MEXICO,52,LERMA,52,190,191,,,,7170,2428,3653,33217,,36308,,,,,,,,,,,,82776,77,3269,86122,123905,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN52.pdf
15,MEXICO,53,MALINALCO,16,39,40,104,286,308,,,6668,,276,,5067,,,,,1726,,,,,,14435,128,645,15208,21570,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN53.pdf
15,MEXICO,54,MELCHOR OCAMPO,16,69,69,,,,4129,500,2193,9408,,,,6567,,,,,7093,,,,,29890,43,1035,30968,46168,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN54.pdf
15,MEXICO,55,METEPEC,86,303,304,,,,,,8382,,,77698,53627,,,,,,,,,,,139707,221,2421,142349,198094,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN55.pdf
15,MEXICO,56,MEXICALTZINGO,4,18,18,,,,154,170,2013,1998,,2802,,,,,,,,,,,,7137,11,219,7367,10978,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN56.pdf
15,MEXICO,57,MORELOS,18,45,45,,,,,,3691,,,,8138,5373,,,,,,,,,,17202,33,712,17947,25299,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN57.pdf
15,MEXICO,58,NAUCALPAN DE JUAREZ,460,1191,1193,,,,,,29513,,,178188,230793,,,,,,,,,,,438494,531,10080,449105,710848,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN58.pdf
15,MEXICO,59,NEXTLALPAN,10,55,56,,,,642,1670,5353,12334,,,,4414,,,,,,,,,,24413,33,973,25419,37193,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN59.pdf
15,MEXICO,60,NEZAHUALCOYOTL,680,1529,1532,,,,30438,17093,79247,290718,,,,117436,,,,,,,,,,534932,598,27202,562732,878707,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN60.pdf
15,MEXICO,61,NICOLAS ROMERO,110,478,479,,,,,,19063,,,75737,85136,,,,,,,,,,,179936,188,6273,186397,313688,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN61.pdf
15,MEXICO,62,NOPALTEPEC,5,14,14,,,,,,2130,,,1927,1959,,,,,,,,,,,6016,12,293,6321,8616,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN62.pdf
15,MEXICO,63,OCOYOACAC,22,85,85,,,,,,11005,,,,11710,11040,,,,,,,,,,33755,2031,1673,37459,55507,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN63.pdf
15,MEXICO,64,OCUILAN,13,43,43,573,1536,1628,216,1715,5193,3501,736,,,,,,,,,,,,,15098,6,1006,16110,23274,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN64.pdf
15,MEXICO,65,EL ORO,20,54,54,3607,5956,93,,,339,,478,,8840,,,,,,,,,,,19313,7,630,19950,29101,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN65.pdf
15,MEXICO,66,OTUMBA,18,50,51,,,,5579,1191,149,6072,,6557,,,,,,,,,,,,19548,3,634,20185,29810,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN66.pdf
15,MEXICO,67,OTZOLOAPAN,4,10,10,,,,21,1134,14,65,,,,1473,,,,,,,,,,2707,1,245,2953,4202,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN67.pdf
15,MEXICO,68,OTZOLOTEPEC,27,100,100,4332,14218,336,3209,1683,3652,13130,0,,,,,,,,,,,,,40560,21,1656,42237,65213,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN68.pdf
15,MEXICO,69,OZUMBA,13,37,37,,,,6875,168,1663,5051,,,,1119,,,,,,,,,,14876,13,389,15278,22258,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN69.pdf
15,MEXICO,70,PAPALOTLA,2,7,7,72,1210,224,,,212,,0,,1765,,,,,,,,,,,3483,7,74,3564,4471,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN70.pdf
15,MEXICO,71,LA PAZ,91,336,336,,,,,,6444,,,55894,64085,,,,,,,,,,,126423,142,3502,130067,214668,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN71.pdf
15,MEXICO,72,POLOTITLAN,10,25,25,,,,1190,1099,1199,2270,,2784,,,,,,,,,,,,8542,4,323,8869,12722,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN72.pdf
15,MEXICO,73,RAYON,4,15,15,,,,,,1623,,,2845,2392,,,,,,,,,,,6860,52,256,7168,10244,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN73.pdf
15,MEXICO,74,SAN ANTONIO LA ISLA,8,31,32,1935,3449,752,2949,710,1673,2893,0,,,,,,,,,,,,,14361,31,412,14804,20680,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN74.pdf
15,MEXICO,75,SAN FELIPE DEL PROGRESO,50,170,170,,,,,,2074,,,30045,31581,,,,,,,,,,,63700,104,2346,66150,103343,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN75.pdf
