CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5178,4,4,504,479,10,41,18,123,436,7,4,32,0,0,0,8,2,7,0,0,0,18,0,2,2,0,0,0,0,0,0,0,0,0,0,1693,1,30,1724,2359
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5179,3,3,402,486,23,25,17,113,427,5,3,35,0,0,0,10,0,0,1,1,1,14,0,4,5,0,0,0,0,0,0,0,0,0,0,1572,3,31,1606,2129
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5201,3,3,244,333,3,34,17,88,368,7,3,35,1,0,0,4,1,0,1,0,0,18,3,2,6,0,0,0,0,0,0,0,0,0,0,1168,0,13,1181,1547
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5202,3,3,339,380,10,23,14,68,315,10,3,15,2,0,0,7,1,0,0,0,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,1201,0,17,1218,1540
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5203,4,4,444,665,18,54,23,158,684,16,5,51,0,0,0,13,0,0,0,0,0,45,0,8,3,0,0,0,0,0,0,0,0,0,0,2187,2,29,2218,2863
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5204,1,1,47,35,5,2,3,3,26,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,126,0,1,127,151
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5267,5,5,47,312,6,101,46,135,812,8,0,10,0,0,0,2,0,0,1,0,0,40,3,25,9,0,0,0,0,0,0,0,0,0,0,1557,2,61,1620,3443
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5268,5,5,67,305,15,109,51,138,790,13,7,10,0,0,0,5,0,0,0,0,0,45,3,5,10,0,0,0,0,0,0,0,0,0,0,1573,0,63,1636,3482
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5269,8,8,142,708,18,157,64,288,1481,28,2,15,6,0,0,15,3,0,0,0,0,61,4,27,20,0,0,0,0,0,0,0,0,0,0,3039,11,85,3135,5480
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5270,6,6,97,389,15,151,68,215,1128,17,2,10,0,2,0,6,0,0,3,0,0,56,3,20,12,0,0,0,0,0,0,0,0,0,0,2194,3,84,2281,3866
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5272,5,5,427,744,27,79,33,232,949,19,5,49,0,0,0,9,0,0,0,0,0,60,2,14,8,0,0,0,0,0,0,0,0,0,0,2657,9,52,2718,3558
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5277,3,3,229,347,27,63,11,147,615,10,0,19,0,0,0,4,0,0,1,0,0,40,1,9,10,0,0,0,0,0,0,0,0,0,0,1533,0,21,1554,2192
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5278,7,7,278,540,27,142,66,306,1414,27,3,16,0,1,0,6,1,0,2,0,1,81,4,26,10,0,0,0,0,0,0,0,0,0,0,2951,3,75,3029,4607
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5279,2,2,74,229,6,35,16,95,410,8,3,7,0,0,0,5,0,1,0,0,0,21,1,7,7,0,0,0,0,0,0,0,0,0,0,925,1,20,946,1321
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5280,10,10,886,1029,43,188,74,598,1668,45,10,86,0,0,0,18,3,0,0,2,0,85,2,25,22,0,0,0,0,0,0,0,0,0,0,4784,4,100,4888,6933
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5281,6,6,544,545,22,85,47,319,942,24,5,44,0,1,0,5,0,0,0,0,0,46,2,8,6,0,0,0,0,0,0,0,0,0,0,2645,4,59,2708,3812
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5282,2,2,81,163,8,45,19,100,410,9,1,9,1,0,0,3,0,0,0,0,0,25,1,6,6,0,0,0,0,0,0,0,0,0,0,887,1,19,907,1247
