CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1023,3,3,0,0,0,400,17,63,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1039,2,46,1087,1604
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1024,3,3,0,0,0,331,29,87,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,1150,4,40,1194,1756
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1025,7,7,0,0,0,730,55,182,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,2317,2,85,2404,3363
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1026,4,4,0,0,0,309,17,80,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,1074,1,32,1107,1511
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1027,3,3,0,0,0,395,24,80,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,1064,1,66,1131,1669
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1035,4,4,0,0,0,426,41,85,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,1400,0,113,1513,2693
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1036,6,6,0,0,0,723,61,163,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,2300,4,195,2499,4351
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1037,7,7,0,0,0,622,72,161,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,2549,12,176,2737,4731
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1038,4,4,0,0,0,344,36,79,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,1291,0,100,1391,2449
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1039,6,6,0,0,0,643,73,99,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,2071,2,137,2210,3864
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1040,12,12,0,0,0,1524,103,348,1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,0,4725,3,241,4969,8103
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1041,2,2,0,0,0,252,22,82,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,850,2,36,888,1250
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1042,4,4,0,0,0,498,59,170,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,1829,2,74,1905,2692
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1043,23,23,0,0,0,1956,213,791,4065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,0,0,0,0,0,0,0,0,8475,9,470,8954,15205
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1044,9,9,0,0,0,624,82,296,1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0,3358,2,201,3561,6332
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1045,3,3,0,0,0,254,10,55,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,906,0,63,969,1567
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1046,5,5,0,0,0,419,27,108,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,1792,0,101,1893,3234
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1047,6,6,0,0,0,643,33,141,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,2279,7,138,2424,4075
