CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,1,AGUASCALIENTES,,,,,,,DIP_LOC_RP,PVEM,5,GENNY JANETH LOPEZ  VALENZUELA,2,CANDIDATURAS DE DISCAPACIDAD,,PVEM
2,1,AGUASCALIENTES,,,,,,,DIP_LOC_RP,MORENA,6,ANA LAURA GOMEZ  CALZADA,2,,,MORENA
2,1,AGUASCALIENTES,,,,,,,DIP_LOC_RP,MORENA,7,AURORA VANEGAS  MARTINEZ,2,CANDIDATURAS DE DISCAPACIDAD,,MORENA
2,1,AGUASCALIENTES,,,,,,,DIP_LOC_RP,MORENA,8,RODRIGO IVAN GONZALEZ  MIRELES,3,,,MORENA
2,1,AGUASCALIENTES,,,,,,,DIP_LOC_RP,MORENA,9,IRMA REZA  DE LA CRUZ,2,,,MORENA
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,PRES_MUN,PAN_PRI_PRD,1,LEONARDO MONTANEZ  CASTRO,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,SIND_MR,PAN_PRI_PRD,1,YADIRA AZUCENA SALAS  AGUILAR,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,SIND_MR,PAN_PRI_PRD,2,OCTAVIO ALBERTO OZUNA,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_MR,PAN_PRI_PRD,1,MARTHA ELISA GONZALEZ  ESTRADA,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_MR,PAN_PRI_PRD,2,ALFREDO MARTIN CERVANTES GARCIA,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_MR,PAN_PRI_PRD,3,ALEJANDRA OROZCO RAMIREZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_MR,PAN_PRI_PRD,4,JUAN ANTONIO GONZALEZ GUERRERO,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_MR,PAN_PRI_PRD,5,LESLIE SULLYANNETT ATILANO TAPIA,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_MR,PAN_PRI_PRD,6,JUAN MANUEL GOMEZ MORALES,1,,,PAN_PRI_PRD
