ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,300,SAN PEDRO ATOYAC,4,7,7,19,23,33,51,794,16,610,3,550,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113,0,99,2212,3304,
20,OAXACA,301,SAN PEDRO CAJONOS,1,2,2,0,10,11,4,43,3,338,2,1,6,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,425,0,20,445,856,
20,OAXACA,302,SAN PEDRO COXCALTEPEC CANTAROS,2,2,2,4,17,8,30,14,4,198,3,26,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,308,0,19,327,584,
20,OAXACA,303,SAN PEDRO COMITANCILLO,2,6,6,12,85,12,419,456,134,1068,13,8,200,14,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2428,0,230,2658,3772,
20,OAXACA,304,SAN PEDRO EL ALTO,2,6,6,15,108,11,61,358,44,512,16,7,21,12,2,4,1,1,0,0,0,0,0,8,2,0,0,0,0,0,1183,2,122,1307,2825,
20,OAXACA,305,SAN PEDRO HUAMELULA,7,15,15,30,306,10,821,825,612,2234,30,13,53,25,0,0,0,0,0,0,0,0,3,9,1,3,0,0,0,0,4975,1,332,5308,7703,
20,OAXACA,306,SAN PEDRO HUILOTEPEC,1,4,4,51,123,3,746,141,10,446,7,20,9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,0,70,1640,2501,
20,OAXACA,307,SAN PEDRO IXCATLAN,9,17,17,123,185,10,1482,73,109,3521,30,13,375,71,5,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,6007,0,233,6240,7867,
20,OAXACA,308,SAN PEDRO IXTLAHUACA,4,16,16,105,258,36,943,607,204,1651,66,185,53,258,15,9,2,1,0,0,0,0,7,55,5,0,0,0,7,0,4467,2,327,4796,10377,
20,OAXACA,309,SAN PEDRO JALTEPETONGO,1,1,1,5,13,6,12,9,2,161,2,1,2,9,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,228,0,20,248,372,
