ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,20,MAINERO,4,6,6,41,20,21,42,54,0,1234,,,,,,,,2,17,1,2,19,1453,0,33,1486,1846,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Mainero.pdf
28,TAMAULIPAS,21,EL MANTE,86,163,163,20499,785,458,1175,1133,1604,25222,,,,,,,,317,899,96,175,273,52636,27,1190,53853,86944,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_ManteEl.pdf
28,TAMAULIPAS,22,MATAMOROS,254,722,722,46445,6229,0,4605,5244,29080,111563,,,,,,,,2371,3970,378,756,1375,212016,1386,4435,217837,441021,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Matamoros.pdf
28,TAMAULIPAS,23,MENDEZ,6,10,10,1843,110,0,173,48,0,483,,,,,,,,84,30,14,17,2,2804,1,64,2869,3964,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Mendez.pdf
28,TAMAULIPAS,24,MIER,6,7,7,694,66,0,67,605,0,564,,,,,,,,24,66,11,9,40,2146,75,79,2300,3967,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Mier.pdf
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,40,40,4771,647,37,206,299,1474,3771,,,,,,,,179,156,29,31,86,11686,2,360,12048,21038,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_MiguelAleman.pdf
28,TAMAULIPAS,26,MIQUIHUANA,4,7,7,1369,6,0,95,527,0,451,,,,,,,,17,34,19,7,22,2547,3,25,2575,3093,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Miquihuana.pdf
28,TAMAULIPAS,27,NUEVO LAREDO,215,567,567,76514,6669,0,3048,3349,3663,81608,,,,,,,,6010,3603,327,704,1043,186538,46,3453,190037,340557,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_NuevoLaredo.pdf
28,TAMAULIPAS,28,NUEVO MORELOS,3,7,7,1356,38,0,39,117,0,890,,,,,,,,31,22,8,8,23,2532,0,52,2584,3415,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_NuevoMorelos.pdf
28,TAMAULIPAS,29,OCAMPO,14,22,22,3181,294,0,100,229,424,2891,,,,,,,,137,77,19,9,32,7393,0,218,7611,10809,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Ocampo.pdf
28,TAMAULIPAS,30,PADILLA,9,22,22,1871,80,0,153,106,3288,2347,,,,,,,,56,69,29,26,32,8057,3,244,8304,11609,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Padilla.pdf
28,TAMAULIPAS,31,PALMILLAS,4,5,5,31,1,0,839,469,0,0,,,,,,,,2,0,0,0,0,1342,0,23,1365,1901,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Palmillas.pdf
28,TAMAULIPAS,32,REYNOSA,436,1002,1002,57014,9365,9977,6990,19282,41815,116421,,,,,,,,1957,5172,630,808,2534,271965,161,8304,280430,581348,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Reynosa.pdf
28,TAMAULIPAS,33,RIO BRAVO,74,186,186,26878,2522,1501,1950,1395,1389,17434,,,,,,,,1340,748,152,202,225,55736,16,1555,57307,110522,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_RioBravo.pdf
28,TAMAULIPAS,34,SAN CARLOS,12,17,17,125,83,643,100,151,0,3107,,,,,,,,7,34,16,9,31,4306,4,148,4458,6653,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_SanCarlos.pdf
28,TAMAULIPAS,35,SAN FERNANDO,51,79,79,9917,1002,0,598,824,547,9577,,,,,,,,456,369,77,87,193,23647,0,581,24228,39128,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_SanFernando.pdf
28,TAMAULIPAS,36,SAN NICOLAS,2,3,3,655,3,1,1,0,0,8,,,,,,,,4,0,0,1,0,673,0,20,693,934,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_SanNicolas.pdf
28,TAMAULIPAS,37,SOTO LA MARINA,24,45,45,191,48,0,295,3386,0,2379,0,0,0,0,5853,0,0,26,277,100,17,174,12746,16,505,13267,19992,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_SotoLaMarina.pdf
28,TAMAULIPAS,38,TAMPICO,196,439,440,57413,3409,1241,2757,3232,8765,71859,,,,,,,,1575,3079,219,455,783,154787,118,3138,158043,254333,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Tampico.pdf
28,TAMAULIPAS,39,TULA,19,45,45,3233,510,124,688,440,577,5706,0,0,0,0,0,1129,639,115,183,51,61,83,13539,11,742,14292,23262,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Tula.pdf
28,TAMAULIPAS,40,VALLE HERMOSO,45,92,92,13500,1380,231,542,512,509,9655,,,,,,,,357,241,42,45,121,27135,7,743,27885,49589,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_ValleHermoso.pdf
28,TAMAULIPAS,41,VICTORIA,159,432,433,47464,17092,2252,0,0,21765,68631,,,,,,,,2981,0,0,0,0,160185,144,4901,165230,261956,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Victoria.pdf
28,TAMAULIPAS,42,VILLAGRAN,7,13,13,72,44,35,122,117,0,3157,,,,,,,,8,34,16,13,23,3641,0,46,3687,4443,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Villagran.pdf
28,TAMAULIPAS,43,XICOTENCATL,21,37,37,6730,156,50,220,329,233,4251,,,,,,,,85,135,25,25,115,12354,245,412,13011,18460,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Xicotencatl.pdf
