CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1321,C,1,0,C01,0,99,7,3,10,6,13,189,0,0,0,0,0,0,0,4,9,1,5,3,349,0,8,357,625,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1321_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1322,B,1,0,B,0,101,9,2,6,12,13,203,0,0,0,0,0,0,0,1,11,0,0,0,358,0,11,369,672,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1322_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1322,C,1,0,C01,0,116,7,5,10,10,19,216,0,0,0,0,0,0,0,2,9,0,0,1,395,0,12,407,671,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1322_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1323,B,1,0,B,0,114,4,0,12,7,25,201,0,0,0,0,0,0,0,6,11,0,3,2,385,0,7,392,651,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1323_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1323,C,1,0,C01,0,91,3,1,10,17,26,212,0,0,0,0,0,0,0,1,9,1,2,4,377,0,11,388,650,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1323_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1323,C,2,0,C02,0,95,5,3,9,7,24,203,0,0,0,0,0,0,0,1,21,0,0,0,368,0,6,374,650,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1323_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1324,B,1,0,B,0,116,6,2,8,13,25,194,0,0,0,0,0,0,0,0,11,2,1,2,380,0,15,395,709,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1324_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1324,C,1,0,C01,0,104,12,2,6,15,29,206,0,0,0,0,0,0,0,3,6,0,5,4,392,0,11,403,708,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1324_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1325,B,1,0,B,0,106,4,4,8,9,22,175,0,0,0,0,0,0,0,1,3,0,2,5,339,0,10,349,568,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1325_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1325,C,1,0,C01,0,59,13,0,9,9,26,178,0,0,0,0,0,0,0,3,5,1,1,2,306,0,6,312,567,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1325_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1325,C,2,0,C02,0,96,2,3,7,6,18,151,0,0,0,0,0,0,0,2,11,0,0,0,296,0,11,307,567,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1325_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1326,B,1,0,B,0,104,9,3,4,13,29,208,0,0,0,0,0,0,0,0,10,1,2,3,386,0,7,393,641,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1326_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1326,C,1,0,C01,0,108,3,5,8,16,30,207,0,0,0,0,0,0,0,2,10,0,2,4,395,0,10,405,640,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1326_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1326,C,2,0,C02,0,133,3,0,6,19,26,197,0,0,0,0,0,0,0,2,5,0,2,0,393,1,7,401,640,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1326_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1327,B,1,0,B,0,93,5,1,6,6,10,165,0,0,0,0,0,0,0,5,6,1,1,2,301,0,11,312,580,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1327_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1327,C,1,0,C01,0,91,3,7,9,8,25,166,0,0,0,0,0,0,0,6,5,1,3,2,326,0,8,334,579,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1327_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1327,C,2,0,C02,0,99,7,5,10,6,21,154,0,0,0,0,0,0,0,2,12,0,0,0,316,0,1,317,579,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1327_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1328,B,1,0,B,0,113,11,4,7,6,22,148,0,0,0,0,0,0,0,3,7,1,1,2,325,1,6,332,531,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1328_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1328,C,1,0,C01,0,99,7,0,8,9,22,156,0,0,0,0,0,0,0,1,11,2,2,1,318,0,7,325,531,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1328_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1328,C,2,0,C02,0,100,5,3,4,12,33,162,0,0,0,0,0,0,0,2,17,0,0,0,338,0,7,345,530,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1328_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1329,B,1,0,B,0,143,5,8,6,15,34,213,0,0,0,0,0,0,0,2,12,1,2,3,444,0,7,451,727,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1329_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1329,C,1,0,C01,0,152,13,11,5,8,33,229,0,0,0,0,0,0,0,8,9,1,3,1,473,0,16,489,727,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1329_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1329,C,2,0,C02,0,140,6,3,8,10,41,226,0,0,0,0,0,0,0,7,7,1,1,3,453,0,9,462,726,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1329_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1330,B,1,0,B,0,148,7,5,9,6,43,197,0,0,0,0,0,0,0,5,17,2,3,3,445,0,10,455,680,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1330_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1330,C,1,0,C01,0,165,5,5,4,6,36,201,0,0,0,0,0,0,0,3,7,0,0,2,434,0,7,441,680,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1330_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1330,C,2,0,C02,0,144,8,5,7,4,42,215,0,0,0,0,0,0,0,3,5,0,1,1,435,0,8,443,680,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1330_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1330,C,3,0,C03,0,161,7,2,10,14,26,208,0,0,0,0,0,0,0,3,4,1,1,2,439,0,8,447,680,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1330_C3.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1330,C,4,0,C04,0,128,14,2,3,8,42,201,0,0,0,0,0,0,0,4,7,0,1,1,411,0,10,421,679,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1330_C4.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1331,B,1,0,B,0,106,8,2,7,11,25,172,0,0,0,0,0,0,0,2,17,0,0,0,350,0,3,353,597,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1331_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1331,C,1,0,C01,0,123,8,6,8,9,26,185,0,0,0,0,0,0,0,1,7,0,3,0,376,0,11,387,597,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1331_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1331,C,2,0,C02,0,108,5,1,11,8,28,174,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,335,596,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1331_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1332,B,1,0,B,0,149,6,4,5,7,29,202,0,0,0,0,0,0,0,5,8,0,0,1,416,0,9,425,725,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1332_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1332,C,1,0,C01,0,181,8,5,6,7,30,192,0,0,0,0,0,0,0,3,8,2,1,0,443,1,12,456,725,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1332_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1333,B,1,0,B,0,138,10,5,6,8,26,195,0,0,0,0,0,0,0,6,13,1,0,3,411,0,5,416,717,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1333_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1333,C,1,0,C01,0,122,9,10,4,6,30,224,0,0,0,0,0,0,0,2,7,2,0,2,418,0,13,431,716,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1333_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1333,C,2,0,C02,0,134,3,9,9,11,21,203,0,0,0,0,0,0,0,5,11,0,2,1,409,0,6,415,716,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1333_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1334,B,1,0,B,0,118,4,5,8,6,38,219,0,0,0,0,0,0,0,2,12,0,2,2,416,0,5,421,671,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1334_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1334,C,1,0,C01,0,110,8,2,10,11,28,215,0,0,0,0,0,0,0,3,9,1,2,1,400,0,10,410,671,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1334_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1334,C,2,0,C02,0,103,8,6,6,9,19,204,0,0,0,0,0,0,0,3,10,0,0,3,371,1,9,381,670,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1334_C2.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1335,B,1,0,B,0,94,11,3,6,11,28,190,0,0,0,0,0,0,0,2,12,0,0,6,363,0,9,372,654,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1335_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1335,C,1,0,C01,0,89,6,2,6,12,24,228,0,0,0,0,0,0,0,3,9,0,3,1,383,0,8,391,654,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1335_C1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1336,B,1,0,B,0,94,5,2,4,5,36,194,0,0,0,0,0,0,0,6,8,1,2,2,359,0,9,368,638,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1336_B1.pdf
2,28,TAMAULIPAS,21,TAMPICO,38,TAMPICO,1336,C,1,0,C01,0,103,10,2,5,11,37,181,0,0,0,0,0,0,0,4,6,0,1,1,361,0,13,374,637,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMTAMPICO/1336_C1.pdf
