ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,4,BAHIA DE BANDERAS,8,BAHIA DE BANDERAS 08,7,17,17,684,140,87,268,148,448,2339,343,0,0,98,52,66,12,3,0,49,94,1,3,3,9,26,0,27,4,10,4914,5,148,5067,11243,
18,NAYARIT,4,BAHIA DE BANDERAS,9,BAHIA DE BANDERAS 09,2,16,16,1283,98,61,167,131,156,1913,137,0,0,0,12,123,22,12,2,78,118,2,7,4,10,26,1,36,0,3,4402,0,96,4498,11707,
18,NAYARIT,5,COMPOSTELA,1,COMPOSTELA 01,6,12,13,990,374,160,181,53,260,673,266,0,0,299,24,150,29,8,2,25,50,1,4,3,4,23,0,4,0,2,3585,2,122,3709,7241,
18,NAYARIT,5,COMPOSTELA,2,COMPOSTELA 02,7,13,14,465,265,73,281,69,593,691,349,0,0,839,33,61,12,1,6,37,42,9,4,3,8,26,1,6,1,1,3876,1,126,4003,7646,
18,NAYARIT,5,COMPOSTELA,3,COMPOSTELA 03,12,19,19,379,271,70,411,107,915,1349,244,0,0,72,41,64,11,3,1,52,59,8,3,4,19,38,10,17,2,2,4152,1,147,4300,8200,
18,NAYARIT,5,COMPOSTELA,4,COMPOSTELA 04,10,13,13,69,77,30,485,55,508,575,66,0,0,1550,17,9,5,0,0,18,34,3,0,1,7,22,0,2,0,0,3533,0,158,3691,7145,
18,NAYARIT,5,COMPOSTELA,5,COMPOSTELA 05,9,14,14,170,132,33,214,221,213,1501,0,0,0,130,25,15,7,0,2,38,84,2,4,0,15,18,1,27,1,5,2858,1,110,2969,6861,
18,NAYARIT,5,COMPOSTELA,6,COMPOSTELA 06,8,13,14,218,95,220,154,150,326,1311,0,40,0,158,23,33,8,3,0,52,109,4,6,5,16,25,0,19,1,3,2979,0,123,3102,6897,
18,NAYARIT,5,COMPOSTELA,7,COMPOSTELA 07,5,10,10,302,117,47,94,57,841,807,0,0,0,13,14,38,12,6,2,18,51,1,6,2,11,12,1,14,1,2,2469,0,86,2555,6220,
18,NAYARIT,5,COMPOSTELA,8,COMPOSTELA 08,6,14,14,318,127,42,197,131,625,1245,314,0,0,27,27,40,7,3,0,31,76,3,5,3,9,16,4,22,1,3,3276,1,126,3403,6962,
