CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,1,COMPOSTELA 01,0,A,14,0,VA14,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,Recuento_Total,,,
,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,2,COMPOSTELA 02,0,A,15,0,VA15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,4,Recuento_Total,,,
,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,6,COMPOSTELA 06,0,A,16,0,VA16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Recuento_Total,,,
,18,NAYARIT,15,COMPOSTELA,5,COMPOSTELA,9,COMPOSTELA 09,0,A,17,0,VA17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Recuento_Total,,,
,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,2,SAN BLAS 02,0,A,18,0,VA18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Recuento_parcial,,,
,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,3,SAN BLAS 03,0,A,19,0,VA19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,Recuento_parcial,,,
,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,5,SAN BLAS 05,0,A,20,0,VA20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Recuento_parcial,,,
,18,NAYARIT,5,SAN BLAS,12,SAN BLAS,6,SAN BLAS 06,0,A,21,0,VA21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Recuento_parcial,,,
,18,NAYARIT,13,IXTLAN DEL RIO,13,SAN PEDRO LAGUNILLAS,4,SAN PEDRO LAGUNILLAS 04,0,A,22,0,VA22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Recuento_Total,,,
,18,NAYARIT,4,SANTIAGO IXCUINTLA,15,SANTIAGO IXCUINTLA,3,SANTIAGO IXCUINTLA 03,0,A,23,0,VA23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,Cotejo,,,
