ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PVEM,PT,MC,MORENA,NAN-MLN,NAN,MLN,RSPN,FXMN,PAN-PRI-PRD,PVEM-PT-MORENA-FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,1,ACAPONETA 01,2,5,5,0,0,603,0,65,0,0,174,0,226,606,1674,0,52,1726,3270,
18,NAYARIT,1,ACAPONETA,2,ACAPONETA 02,6,9,9,0,0,265,0,398,0,0,293,0,677,763,2396,0,44,2440,3862,
18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,5,6,6,0,0,609,0,309,0,0,54,0,468,914,2354,0,77,2431,3921,
18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,9,11,11,0,0,644,0,379,0,0,552,0,302,920,2797,0,114,2911,4404,
18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,12,13,13,0,0,277,0,396,0,0,313,0,536,755,2277,0,105,2382,3665,
18,NAYARIT,1,ACAPONETA,6,ACAPONETA 06,6,8,8,0,0,462,0,732,0,0,60,0,316,988,2558,1,62,2621,4029,
18,NAYARIT,1,ACAPONETA,7,ACAPONETA 07,8,11,11,0,0,264,0,313,0,0,15,0,520,1767,2879,0,81,2960,4673,
18,NAYARIT,2,AHUACATLAN,1,AHUACATLAN 01,4,6,6,0,0,531,0,0,0,0,0,0,439,681,1651,0,41,1692,2814,
18,NAYARIT,2,AHUACATLAN,2,AHUACATLAN 02,3,5,5,0,0,626,0,0,0,0,0,0,579,498,1703,0,63,1766,2617,
18,NAYARIT,2,AHUACATLAN,3,AHUACATLAN 03,3,5,5,0,0,212,0,0,0,0,0,0,339,786,1337,0,45,1382,2321,
18,NAYARIT,2,AHUACATLAN,4,AHUACATLAN 04,3,5,5,0,0,668,0,0,0,0,0,0,368,685,1721,1,47,1769,2797,
18,NAYARIT,2,AHUACATLAN,5,AHUACATLAN 05,4,5,5,0,0,353,0,0,0,0,0,0,217,774,1344,0,41,1385,2330,
18,NAYARIT,3,AMATLAN DE CAÑAS,1,AMATLAN DE CAÑAS 01,4,4,4,0,0,352,0,0,0,0,370,0,301,312,1335,0,32,1367,2014,
