ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN,MLN,RSPN,FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,16,TECUALA,1,TECUALA 01,8,9,9,61,431,44,329,171,341,995,0,0,216,70,2658,0,83,2741,4171,
18,NAYARIT,16,TECUALA,2,TECUALA 02,7,9,9,206,564,113,204,229,517,566,0,0,300,28,2727,0,104,2831,4294,
18,NAYARIT,16,TECUALA,3,TECUALA 03,8,9,9,88,323,51,190,107,546,658,18,18,565,55,2619,0,94,2713,4100,
18,NAYARIT,16,TECUALA,4,TECUALA 04,6,9,9,95,234,118,166,142,504,476,135,135,642,37,2684,2,78,2764,4207,
18,NAYARIT,16,TECUALA,5,TECUALA 05,5,8,8,24,69,19,613,84,942,644,6,6,210,48,2665,2,73,2740,4195,
18,NAYARIT,16,TECUALA,6,TECUALA 06,8,10,10,140,208,47,315,99,451,722,58,57,550,39,2686,2,86,2774,4301,
18,NAYARIT,16,TECUALA,7,TECUALA 07,8,8,8,124,397,64,158,63,1079,466,35,34,121,23,2564,1,66,2631,4074,
18,NAYARIT,17,TEPIC,1,TEPIC 01,23,49,50,932,787,203,1067,948,2542,4508,466,466,1166,213,13298,12,460,13770,27867,
18,NAYARIT,17,TEPIC,2,TEPIC 02,25,54,55,1717,1343,381,1049,786,3589,5329,454,454,642,187,15931,24,552,16507,30639,
18,NAYARIT,17,TEPIC,3,TEPIC 03,15,44,45,527,612,191,921,405,2377,4178,200,201,571,102,10285,10,434,10729,24829,
18,NAYARIT,17,TEPIC,4,TEPIC 04,30,56,57,1691,1652,410,1205,741,2479,5944,487,486,943,239,16277,9,602,16888,32502,
18,NAYARIT,17,TEPIC,5,TEPIC 05,34,61,62,512,775,176,1508,635,2267,5556,388,388,663,131,12999,3,587,13589,27062,
18,NAYARIT,17,TEPIC,6,TEPIC 06,27,51,52,1866,1191,299,2031,593,2752,5484,532,532,431,300,16011,12,505,16528,28969,
18,NAYARIT,17,TEPIC,7,TEPIC 07,24,45,45,941,749,459,919,475,1609,4469,425,425,838,260,11569,7,375,11951,24530,
