CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,84,TALA,3665,B,1,0,B,0,36,35,2,19,7,167,148,5,6,2,0,0,0,4,2,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,441,1,13,455,714,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,3666,B,1,0,B,0,11,3,0,8,0,50,47,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,5,133,267,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,3738,C,2,0,C02,0,21,27,3,7,5,115,147,7,4,2,2,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,352,0,11,363,634,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1549,B,1,0,B,0,33,21,8,30,1,169,56,4,0,3,1,0,0,0,0,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,15,348,471,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1553,B,1,0,B,0,13,37,6,22,5,85,67,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,1,240,329,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1553,E,2,0,E02,0,52,51,5,49,10,115,172,6,1,1,0,0,0,1,6,0,1,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,478,0,9,487,730,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1556,B,1,0,B,0,12,9,1,20,5,75,35,2,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,167,0,4,171,271,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1560,B,1,0,B,0,50,16,3,24,8,121,161,6,3,3,1,0,0,2,3,0,5,1,0,0,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,415,0,11,426,723,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,43,HUEJUCAR,1561,C,1,0,C01,0,69,125,1,5,1,118,78,9,0,12,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,13,438,694,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,43,HUEJUCAR,1562,C,1,0,C01,0,52,95,1,2,2,102,47,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,4,319,510,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,43,HUEJUCAR,1564,B,1,0,B,0,80,60,5,9,1,59,40,0,0,19,5,0,0,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,287,0,19,306,637,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1567,B,1,0,B,0,41,62,4,9,4,80,126,7,0,8,3,0,0,1,1,0,1,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,355,0,15,370,618,Grupo de recuento,,,
