ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,TEQUILA,254,580,581,28971,21682,2565,7434,5474,62995,65713,4446,1813,201093,95,6076,207264,333813,
14,JALISCO,2,LAGOS DE MORENO,211,547,548,53715,9889,2220,6800,3215,53730,36897,3886,2030,172382,136,5926,178444,315947,
14,JALISCO,3,TEPATITLAN DE MORELOS,214,588,589,55856,21036,1939,8714,3303,55389,37944,4012,1516,189709,128,5696,195533,354411,
14,JALISCO,4,ZAPOPAN,149,558,559,23379,15299,1957,7242,3761,78900,54451,4338,10161,199488,168,4505,204161,357579,
14,JALISCO,5,PUERTO VALLARTA,169,547,548,9700,7062,1191,44403,5226,51597,51910,4939,4836,180864,177,4684,185725,330750,
14,JALISCO,6,ZAPOPAN,143,490,491,22358,10852,1455,5308,2733,74111,42089,2796,8011,169713,185,3448,173346,312664,
14,JALISCO,7,TONALA,87,416,417,11351,13073,1313,6453,3506,38682,55128,4484,4032,138022,183,3377,141582,281206,
14,JALISCO,8,GUADALAJARA,371,711,712,45520,20112,2618,7592,4342,109195,57447,5080,7414,259320,1046,4919,265285,393980,
14,JALISCO,9,GUADALAJARA,230,599,600,20630,15973,2032,9680,5074,69966,71233,4653,5933,205174,193,5104,210471,361431,
14,JALISCO,10,ZAPOPAN,163,561,562,45459,13851,2085,5491,2958,111568,39086,2903,9378,232779,314,3933,237026,362245,
14,JALISCO,11,GUADALAJARA,311,673,674,27009,19342,2507,10809,5772,74531,72766,7774,6205,226715,216,5678,232609,385744,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,123,485,486,24331,9538,1743,5792,3573,75615,46224,2611,5086,174513,249,3572,178334,312396,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,163,512,513,19448,12278,1695,7733,4935,60423,60644,3887,5547,176590,145,4203,180938,319624,
14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,90,388,389,5797,4559,944,5148,3077,40112,45621,2044,2813,110115,107,2496,112718,255158,
14,JALISCO,15,LA BARCA,214,580,581,38567,31072,2285,13349,2741,51022,31480,9750,1495,181761,176,6004,187941,343355,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,132,501,502,17905,12288,1787,7101,3927,56230,64426,3353,3791,170808,209,4058,175075,328419,
14,JALISCO,17,JOCOTEPEC,165,504,505,18880,16924,1566,11988,7284,46507,57301,5790,8816,175056,377,4623,180056,312849,
14,JALISCO,18,AUTLAN DE NAVARRO,261,609,610,16360,30476,2362,8525,4406,61766,62429,11458,2490,200272,81,6393,206746,349088,
14,JALISCO,19,ZAPOTLAN EL GRANDE,278,630,631,25110,17043,2509,12610,7266,64401,60169,7142,2564,198814,287,5587,204688,351976,
14,JALISCO,20,TONALA,55,384,385,8049,12857,1048,5135,3267,38596,52458,3668,3077,128155,178,3243,131576,256973,
