CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,1,3,3,170,40,8,28,14,270,80,64,5,6,4,3,0,1,1,0,5,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,706,0,30,736,1770
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,2,2,2,183,15,7,18,5,250,106,64,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,654,0,38,692,1318
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,3,4,4,245,23,23,24,9,454,262,64,6,135,5,1,1,1,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1263,0,62,1325,2473
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,4,4,4,341,26,15,61,22,363,288,106,17,13,5,1,0,2,1,0,8,0,0,0,0,0,0,0,3,3,1,0,1,0,1,1,0,0,1,1,5,0,0,1286,5,43,1334,2570
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,5,4,4,172,31,8,26,8,568,109,62,4,215,0,0,0,261,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,0,62,1530,2766
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,6,3,3,225,26,6,37,13,325,151,84,6,8,5,1,0,1,1,0,3,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,1,0,2,1,2,0,904,13,29,946,1561
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,7,2,2,105,42,1,26,7,150,69,14,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,22,442,857
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,8,1,1,35,4,2,2,2,40,9,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,7,110,160
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,10,4,4,268,37,7,43,22,548,330,80,7,4,2,0,0,2,0,0,3,0,1,1,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,2,0,1,1364,0,36,1400,2602
1,14,JALISCO,3,TEPATITLAN DE MORELOS,1,ACATIC,11,2,2,282,43,12,26,12,154,141,20,2,5,0,0,0,1,0,0,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,29,736,1490
