ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,107,TUXCACUESCO,5,10,10,1303,91,11,56,33,311,1101,8,12,54,11,3,0,6,0,2,19,1,1,2,2,0,0,1,4,0,0,0,0,1,0,3,0,0,0,1,1,0,2,3040,0,63,3103,4627,
14,JALISCO,108,TUXCUECA,4,11,11,318,98,11,855,31,1816,703,20,14,8,4,1,1,8,1,3,19,4,0,0,3,1,1,0,29,2,0,0,0,0,0,3,0,0,0,0,0,1,0,3955,1,110,4066,6369,
14,JALISCO,109,TUXPAN,23,51,51,1089,731,248,402,330,3825,8519,223,592,51,23,5,1,32,14,8,119,21,0,1,13,7,5,10,43,2,1,0,12,3,1,25,3,0,2,7,6,7,0,16381,83,356,16820,29830,
14,JALISCO,110,UNION DE SAN ANTONIO,10,26,26,6350,259,28,118,68,956,805,970,21,169,110,8,2,25,9,2,21,0,2,1,14,1,15,4,8,1,5,0,3,5,0,2,3,4,0,8,38,3,3,10041,0,315,10356,15242,
14,JALISCO,111,UNION DE TULA,14,24,24,293,988,29,163,115,2087,2489,130,43,31,17,2,1,14,4,3,64,0,2,5,8,1,1,0,15,0,2,0,3,1,4,7,1,1,0,4,2,2,1,6533,0,261,6794,12797,
14,JALISCO,112,VALLE DE GUADALUPE,7,13,13,1891,399,22,55,19,702,280,85,18,70,26,0,0,2,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,2,0,0,3580,9,95,3684,6974,
14,JALISCO,113,VALLE DE JUAREZ,6,13,13,1767,252,18,59,32,647,813,21,14,69,40,9,2,1,0,1,8,7,0,1,2,0,0,0,9,3,0,2,1,0,0,8,1,0,0,0,0,1,0,3788,12,133,3933,6307,
14,JALISCO,114,VILLA CORONA,10,25,25,599,578,67,1688,142,1806,2461,95,132,74,20,6,1,39,7,15,74,3,3,3,11,5,2,16,82,3,1,7,3,0,3,10,0,1,0,4,2,5,2,7970,2,297,8269,15969,
14,JALISCO,115,VILLA GUERRERO,6,9,9,192,1151,13,33,16,1301,203,17,4,49,19,0,1,0,0,1,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3015,1,110,3126,4886,
14,JALISCO,116,VILLA HIDALGO,8,27,27,2185,404,59,233,101,3146,1625,39,21,143,41,4,2,10,1,7,50,0,0,0,10,1,0,1,20,2,1,1,3,0,2,6,0,0,1,2,1,1,0,8123,9,337,8469,16287,
14,JALISCO,117,CAÑADAS DE OBREGON,7,11,11,484,88,7,51,61,836,454,12,11,12,12,0,0,2,1,0,9,0,0,0,1,0,0,0,6,0,0,0,0,0,1,3,0,0,0,0,1,0,0,2052,0,109,2161,4106,
14,JALISCO,118,YAHUALICA DE GONZALEZ GALLO,20,39,39,2078,2916,80,459,225,1084,4316,65,62,147,189,1,3,28,13,13,111,3,0,3,16,7,1,4,72,0,0,2,8,4,5,24,0,1,1,5,6,10,1,11963,16,484,12463,21559,
14,JALISCO,119,ZACOALCO DE TORRES,16,39,39,416,451,56,1260,439,6616,4484,225,324,32,7,1,1,8,3,0,71,0,0,0,12,0,1,4,23,1,3,0,1,1,0,9,0,0,1,5,5,4,7,14471,13,321,14805,25413,
14,JALISCO,120,ZAPOPAN,500,1788,1791,98828,41495,4175,16084,7134,291639,145466,9253,27455,5362,1742,183,101,2780,536,1499,3958,153,45,193,367,548,187,766,1532,78,59,171,380,89,486,854,44,16,68,668,283,1248,360,666285,771,13499,680555,1148285,
14,JALISCO,121,ZAPOTILTIC,21,49,49,5120,460,86,286,252,2829,5918,310,66,181,58,9,6,76,20,12,107,11,6,0,16,12,8,9,45,4,10,2,14,2,8,25,1,1,0,14,28,6,1,16019,5,352,16376,28158,
14,JALISCO,122,ZAPOTITLAN DE VADILLO,6,12,12,115,950,33,147,272,691,1053,54,16,43,5,2,8,17,3,3,28,2,3,1,11,1,2,2,21,0,1,0,1,2,3,40,0,1,0,10,6,0,1,3548,1,107,3656,5560,
14,JALISCO,123,ZAPOTLAN DEL REY,13,28,28,1568,278,65,206,136,2979,2241,117,186,70,23,1,0,18,2,9,26,4,2,9,9,7,4,7,15,1,1,5,4,0,2,11,0,1,0,5,5,5,0,8022,2,288,8312,15564,
14,JALISCO,124,ZAPOTLANEJO,32,99,99,2844,2714,223,2002,397,11933,7244,870,289,230,74,4,2,22,6,10,131,1,1,1,22,5,3,3,65,1,2,3,3,0,3,29,0,0,2,7,9,12,5,29172,10,1037,30219,61811,
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,26,26,2549,2082,46,1577,40,1434,480,86,31,125,73,0,1,5,0,12,34,3,0,0,15,2,1,1,30,0,3,1,1,0,0,3,0,0,0,0,2,0,0,8637,3,219,8859,15877,
