CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,3,MERIDA,50,MERIDA,325,4,4,462,76,13,85,38,112,687,20,0,0,0,0,0,0,0,13,1506,0,117,1623,2561
3,31,YUCATAN,3,MERIDA,50,MERIDA,326,2,2,491,59,9,11,9,42,160,8,0,0,0,0,0,0,0,7,796,0,46,842,1066
3,31,YUCATAN,3,MERIDA,50,MERIDA,327,2,2,469,79,6,30,11,58,316,15,0,0,0,0,0,0,0,13,997,2,60,1059,1486
3,31,YUCATAN,3,MERIDA,50,MERIDA,328,2,2,393,60,3,14,10,27,129,5,0,0,0,0,0,0,0,5,646,1,32,679,915
3,31,YUCATAN,3,MERIDA,50,MERIDA,329,2,2,439,60,3,11,8,27,133,4,0,0,0,0,0,0,0,1,686,1,31,718,923
3,31,YUCATAN,3,MERIDA,50,MERIDA,330,1,1,324,47,1,7,3,13,74,2,0,0,0,0,0,0,0,0,471,0,13,484,626
3,31,YUCATAN,3,MERIDA,50,MERIDA,331,2,2,332,64,4,7,4,18,133,2,0,0,0,0,0,0,0,0,564,0,26,590,787
3,31,YUCATAN,3,MERIDA,50,MERIDA,332,1,1,337,48,2,7,1,17,108,2,0,0,0,0,0,0,0,4,526,0,14,540,716
3,31,YUCATAN,2,MERIDA,50,MERIDA,333,1,1,423,32,3,2,2,21,83,3,0,0,0,0,2,1,1,1,574,0,10,584,734
3,31,YUCATAN,2,MERIDA,50,MERIDA,334,1,1,307,29,2,5,5,10,41,2,0,0,0,0,0,0,0,2,403,0,10,413,505
