CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,216,2,2,127,44,3,19,109,35,2,262,21,3,22,3,0,0,650,51,701,1087
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,217,2,2,46,28,4,30,192,66,25,185,89,9,45,3,0,1,722,40,763,1126
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,218,2,2,42,24,5,31,79,95,25,160,26,2,35,1,0,0,525,36,561,751
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,219,2,2,33,41,7,52,64,89,13,221,37,5,23,3,0,0,588,54,642,994
4,29,TLAXCALA,10,HUAMANTLA,16,IXTENCO,259,3,3,61,90,5,116,450,64,34,254,23,58,76,6,0,1,1237,52,1290,1661
4,29,TLAXCALA,10,HUAMANTLA,16,IXTENCO,260,2,2,17,78,4,77,487,49,11,196,12,29,34,4,0,1,998,60,1059,1340
4,29,TLAXCALA,10,HUAMANTLA,16,IXTENCO,261,3,3,30,67,4,104,537,52,24,263,25,45,59,4,0,0,1214,69,1283,1696
4,29,TLAXCALA,10,HUAMANTLA,16,IXTENCO,262,2,2,48,69,2,80,313,42,47,218,26,38,43,3,0,0,929,51,980,1313
4,29,TLAXCALA,10,HUAMANTLA,35,TOCATLAN,505,4,4,48,43,4,83,88,91,18,367,4,8,166,3,0,0,923,70,993,2659
4,29,TLAXCALA,10,HUAMANTLA,35,TOCATLAN,506,3,3,24,44,10,41,55,60,15,298,6,7,131,3,0,0,694,44,738,1566
4,29,TLAXCALA,10,HUAMANTLA,35,TOCATLAN,507,1,1,23,26,1,44,58,42,6,204,4,3,86,0,0,0,497,21,518,672
4,29,TLAXCALA,10,HUAMANTLA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,520,3,3,12,26,3,59,44,82,7,95,0,0,0,0,0,0,328,44,372,1580
4,29,TLAXCALA,10,HUAMANTLA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,521,2,2,38,39,5,169,102,172,4,196,6,3,18,0,0,0,752,50,802,1127
4,29,TLAXCALA,10,HUAMANTLA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,522,2,2,31,66,9,174,125,190,6,259,5,10,13,0,0,0,888,74,962,1363
