ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,44,MATAMOROS,8,11,11,1063,425,23,,37,107,836,6,7,42,64,3,2,,,,,,2615,0,140,2755,4126,
8,CHIHUAHUA,45,MEOQUI,35,69,71,7111,1065,151,762,360,2874,4737,158,273,362,159,17,3,,,,,,18032,10,1019,19061,37883,
8,CHIHUAHUA,46,MORELOS,8,12,12,334,240,21,58,82,43,1708,10,20,19,24,4,0,,,,,,2563,3,358,2924,5350,
8,CHIHUAHUA,47,MORIS,8,11,11,203,200,13,61,29,43,1092,7,17,6,17,1,0,,,,,,1689,0,150,1839,3681,
8,CHIHUAHUA,48,NAMIQUIPA,41,55,55,1554,2093,234,185,681,825,3067,25,74,223,80,3,11,,,,,,9055,5,798,9858,20665,
8,CHIHUAHUA,49,NONOAVA,4,7,7,684,99,3,1108,2,13,122,1,3,43,13,1,0,,,,,,2092,1,132,2225,2918,
8,CHIHUAHUA,50,NUEVO CASAS GRANDES,64,100,101,5704,2160,548,1051,1734,3948,8553,435,444,391,86,15,10,336,,,,,25415,4,1461,26880,53863,
8,CHIHUAHUA,51,OCAMPO,13,16,16,168,738,26,62,691,57,552,8,13,28,10,0,3,,,,,,2356,2,169,2527,6496,
8,CHIHUAHUA,52,OJINAGA,27,52,54,4757,4105,169,321,149,237,3272,94,44,101,52,17,6,,,,,,13324,1,671,13996,27155,
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,11,11,315,770,244,230,70,72,1271,10,81,55,31,1,2,,,,,,3152,0,257,3409,5690,
8,CHIHUAHUA,54,RIVA PALACIO,9,16,16,2397,244,12,25,17,51,575,5,18,29,28,1,1,,,,,,3403,0,106,3509,7847,
8,CHIHUAHUA,55,ROSALES,16,27,27,2455,810,112,870,806,518,1962,42,247,122,59,6,5,,,,,,8014,0,560,8574,14477,
8,CHIHUAHUA,56,ROSARIO,4,5,5,62,702,22,24,59,73,278,5,5,,,,,,12,2,0,2,1246,0,88,1334,2143,
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,6,7,7,157,445,9,61,19,593,197,5,14,,,,,,13,11,0,0,1524,0,110,1634,2370,
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,6,7,7,336,513,14,,19,256,567,13,4,33,14,1,0,,,,,,1770,0,76,1846,2742,
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,12,261,254,23,517,243,513,574,280,10,,,,,,15,5,0,0,2695,0,186,2881,4181,
8,CHIHUAHUA,60,SANTA BARBARA,20,22,22,494,1829,56,81,122,1425,1336,38,236,,,,,,27,10,0,4,5658,0,284,5942,8976,
8,CHIHUAHUA,61,SATEVO,13,13,13,1282,93,5,28,42,95,768,7,18,,,,,,27,18,0,0,2383,0,146,2529,4269,
8,CHIHUAHUA,62,SAUCILLO,32,46,46,4687,1301,240,,247,752,5032,588,104,196,79,10,2,,,,,,13238,0,526,13764,25680,
8,CHIHUAHUA,63,TEMOSACHIC,12,15,15,332,350,172,55,39,48,1782,42,24,56,10,3,5,,,,,,2918,0,253,3171,5223,
8,CHIHUAHUA,64,EL TULE,6,7,7,786,39,3,5,9,39,961,4,9,,,,,,21,10,1,0,1887,0,58,1945,2648,
8,CHIHUAHUA,65,URIQUE,16,29,29,2609,435,115,154,260,106,4180,30,68,96,83,10,1,,,,,,8147,17,626,8790,14047,
8,CHIHUAHUA,66,URUACHI,11,15,15,118,1216,13,69,57,37,1441,10,22,26,16,0,3,,,,,,3028,0,280,3308,5021,
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,12,14,14,208,353,77,28,134,646,271,7,497,,,,,,27,12,0,1,2261,0,168,2429,4298,
