ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,135,349,352,14427,6224,1652,16343,4013,9363,3230,43228,1335,1441,423,503,82,40,26,387,100,78,29,28,22,757,150,61,53,38,72,587,48,29,51,42,5,60,37,14,31,349,352,21,40,520,35,37,71,78,24,106536,358,5568,112462,187870,
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,97,311,312,14675,12908,4714,9259,4969,12240,4673,38443,2401,1858,478,655,135,28,33,405,127,48,71,57,20,356,99,49,33,42,55,583,31,31,42,24,14,51,21,13,46,252,219,20,30,395,29,27,79,87,53,110878,93,8460,119431,187031,
21,PUEBLA,3,CHIGNAHUAPAN,129,338,338,11292,27361,3378,14052,8694,3899,1368,43954,1304,7048,921,796,76,29,46,529,172,37,84,29,14,1370,81,67,557,89,48,427,218,56,22,42,217,39,27,30,31,204,251,21,52,437,35,41,46,136,24,129651,13,7022,136686,188641,
21,PUEBLA,4,ZACAPOAXTLA,137,342,349,7081,21177,2839,19763,10587,7791,3067,41819,3217,2996,368,513,114,42,15,319,84,31,60,50,18,372,97,63,39,54,29,491,50,30,38,68,23,20,17,20,43,676,416,49,55,337,72,36,55,90,160,125351,18,7317,132686,198400,
21,PUEBLA,5,LIBRES,103,299,299,13458,11604,1530,18856,7567,15210,3630,32151,3394,1616,313,343,57,29,16,369,68,29,66,34,21,173,83,23,22,21,20,432,29,10,24,16,13,18,14,7,17,193,361,16,89,344,45,19,63,33,16,112462,15,6544,119021,175492,
21,PUEBLA,6,TEZIUTLAN,100,285,289,11723,17022,1777,8911,10931,9945,1388,36482,2390,3239,811,505,74,29,39,420,74,26,57,48,24,982,163,94,90,68,49,556,77,55,58,52,30,72,29,30,65,301,283,48,93,377,38,25,82,115,158,109905,76,4915,114896,170751,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,97,312,313,12847,8862,1451,7227,10464,18888,1244,42385,1636,987,0,0,0,349,0,0,157,44,0,0,12,736,230,278,37,62,126,939,86,37,56,41,4,64,31,38,62,364,482,48,44,426,38,24,54,88,48,110996,102,6927,118025,201620,
21,PUEBLA,8,HUEJOTZINGO,84,285,285,13117,5303,3462,9329,6722,21037,1882,40461,2448,1962,407,513,28,32,14,336,377,24,30,18,22,807,169,63,50,147,106,864,139,53,123,54,191,78,31,11,52,281,611,46,13,626,56,52,92,196,52,112487,45,5851,118383,182327,
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,69,301,303,31633,5513,876,5350,3137,10334,962,48281,1374,858,942,1073,101,35,19,533,74,30,15,9,34,1474,294,130,70,77,104,1517,72,33,41,41,8,70,31,6,52,255,430,27,42,600,18,11,79,92,17,116774,64,3662,120500,199813,
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,136,367,368,27537,4966,948,6973,3499,10535,1819,57632,1361,709,1110,1195,75,51,28,587,95,33,20,17,37,1611,408,143,63,111,166,2012,82,36,72,68,37,111,103,18,91,303,510,49,39,894,54,27,74,102,49,126460,82,4263,130805,220036,
