ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,22,CIHUATLAN,17,48,48,1061,1981,127,153,110,2323,3849,4993,44,,,313,57,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,15019,395,739,16153,28630,
14,JALISCO,23,ZAPOTLAN EL GRANDE,55,155,156,6149,2888,429,1219,1924,19857,15952,714,435,,,491,123,9,10,241,35,61,470,14,6,10,68,25,12,21,133,3,9,4,40,31,50,147,4,6,8,22,47,16,5,51688,20,1199,52907,94278,
14,JALISCO,24,SAN GABRIEL,10,24,24,424,2913,364,70,66,3827,669,21,8,,,210,51,4,9,1,1,1,17,0,1,0,3,0,0,2,5,1,2,2,1,1,1,4,0,1,0,1,1,0,1,8683,1,302,8986,13708,
14,JALISCO,25,COCULA,17,42,43,248,2656,31,1903,603,5113,1979,2349,210,,,66,19,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,15184,0,434,15618,25514,
14,JALISCO,26,COLOTLAN,15,29,29,2206,942,57,76,54,3749,1302,472,25,,,118,66,3,3,21,8,2,27,0,3,1,6,4,8,6,13,3,1,1,2,5,4,5,0,0,1,11,18,4,1,9228,3,282,9513,16275,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,9,262,392,27,1168,12,1418,185,16,7,,,134,17,1,1,23,5,6,22,0,0,2,4,4,1,2,31,2,3,3,0,0,1,2,0,0,0,0,0,0,0,3751,0,97,3848,5609,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,23,24,1786,1487,45,87,60,4437,1627,105,60,,,203,88,3,6,9,5,1,19,4,4,1,11,2,3,0,10,2,0,1,0,0,0,7,1,3,1,4,13,5,9,10109,12,569,10690,14208,
14,JALISCO,29,CUAUTLA,4,5,5,459,57,3,304,9,410,166,60,3,,,36,11,1,0,3,4,1,8,0,2,0,2,2,39,0,10,1,9,1,1,0,0,0,1,0,0,0,3,0,0,1606,0,23,1629,2458,
14,JALISCO,30,CUQUIO,12,27,27,81,4543,33,70,174,3794,1149,39,20,,,92,25,0,4,11,2,1,11,3,0,0,3,1,6,0,2,1,0,1,8,1,3,12,1,0,0,3,8,1,0,10103,0,266,10369,15306,
14,JALISCO,31,CHAPALA,19,67,68,9248,551,81,699,,4891,8143,316,2154,,,292,97,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,26490,5,758,27253,42864,
