ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,82,SANTA MARIA DE LOS ANGELES,5,7,7,123,724,6,15,5,916,176,3,2,,,43,31,0,1,0,1,0,7,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,3,0,0,2062,3,82,2147,3632,
14,JALISCO,83,SAYULA,18,50,51,796,1599,196,278,722,7972,4034,150,138,,,171,23,8,13,73,8,12,114,3,0,2,18,8,4,2,31,2,1,2,18,6,11,41,1,4,1,13,16,8,1,16500,7,385,16892,29864,
14,JALISCO,84,TALA,38,100,100,669,695,159,1786,556,17395,11839,299,229,,,44,19,2,1,143,29,40,333,10,7,7,38,10,11,14,162,2,3,3,21,5,12,54,0,1,2,18,26,19,3,34666,18,853,35537,63322,
14,JALISCO,85,TALPA DE ALLENDE,10,23,23,455,1362,32,1238,,1914,2870,95,97,,,63,24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,8153,1,224,8378,12107,
14,JALISCO,86,TAMAZULA DE GORDIANO,34,69,70,2126,751,168,1410,2997,4344,2881,3117,275,,,161,34,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,18275,22,790,19087,36745,
14,JALISCO,87,TAPALPA,11,28,28,,,,89,169,2651,3460,2502,2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11633,7,293,11933,16564,
14,JALISCO,88,TECALITLAN,16,30,30,269,266,31,1868,81,3957,1393,190,31,,,29,8,1,5,75,14,10,43,3,1,3,15,10,4,4,51,5,8,3,2,3,1,8,0,0,0,3,3,2,0,8400,4,262,8666,14386,
14,JALISCO,89,TECOLOTLAN,13,28,28,396,1058,27,226,172,1750,3757,1504,100,,,45,5,0,1,69,22,9,38,5,5,2,9,19,18,6,27,4,9,1,12,10,3,15,1,2,1,11,54,9,3,9405,1,194,9600,15256,
14,JALISCO,90,TECHALUTA DE MONTENEGRO,3,6,6,,,,14,1209,1030,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,0,69,2324,3438,
14,JALISCO,91,TENAMAXTLAN,6,13,13,181,1832,10,29,97,387,1372,41,19,,,50,21,3,2,11,7,1,44,2,1,0,4,0,1,1,15,0,1,1,5,0,1,12,1,0,0,0,5,1,0,4158,1,111,4270,7248,
14,JALISCO,92,TEOCALTICHE,23,56,56,1896,3214,182,290,212,4425,4241,112,48,,,393,160,8,10,43,15,5,126,2,2,2,26,4,6,7,63,1,3,2,10,2,2,43,0,0,0,9,38,5,0,15607,6,729,16342,32747,
14,JALISCO,93,TEOCUITATLAN DE CORONA,10,20,21,116,397,15,2223,,1123,723,1745,,,,89,4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6440,1,209,6650,10440,
14,JALISCO,94,TEPATITLAN DE MORELOS,64,212,213,38729,2984,343,791,375,21139,4779,1742,236,,,875,442,51,12,65,16,5,163,3,2,1,18,7,10,2,57,2,5,2,15,8,3,35,3,3,1,21,27,6,17,72995,25,1541,74561,133894,
14,JALISCO,95,TEQUILA,26,60,61,5363,761,185,170,198,2089,6597,89,59,3754,,275,82,16,4,57,11,16,111,6,1,3,11,12,4,5,50,1,0,1,6,1,7,38,0,0,0,11,10,11,4,20019,5,426,20450,34921,
14,JALISCO,96,TEUCHITLAN,6,13,13,1693,71,39,59,37,2693,661,9,10,,,40,10,2,0,5,1,3,22,0,2,0,4,1,0,2,8,1,2,0,1,0,1,3,0,1,0,1,0,1,0,5383,5,200,5588,8477,
14,JALISCO,97,TIZAPAN EL ALTO,14,35,35,169,3689,27,125,293,3270,1625,25,19,,,524,38,4,7,155,4,2,32,1,0,2,15,10,3,5,26,0,1,0,5,0,2,29,0,1,1,5,3,7,0,10124,13,262,10399,18712,
14,JALISCO,98,TLAJOMULCO DE ZUÑIGA,168,694,696,11420,6550,1666,4354,2570,94337,59501,1756,2441,,,738,269,69,65,753,160,286,1525,50,59,52,99,96,52,113,525,23,14,30,79,25,76,290,13,6,10,88,76,110,35,190381,209,2729,193319,451757,
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,225,809,811,21382,14474,1406,7344,3926,109424,93178,3933,4629,,,1586,560,52,46,1032,162,491,3003,75,35,64,218,127,57,178,1190,33,23,41,129,56,148,632,19,10,23,140,148,225,76,270275,263,5431,275969,521991,
14,JALISCO,100,TOLIMAN,7,16,16,50,1739,20,53,57,2797,619,19,9,,,26,9,0,1,2,1,1,11,0,2,2,7,0,1,0,3,0,1,0,2,1,2,7,0,1,2,1,6,2,0,5454,2,191,5647,8551,
14,JALISCO,101,TOMATLAN,17,46,46,90,180,147,1481,2157,5370,3450,337,599,,,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13824,0,598,14422,26962,
14,JALISCO,102,TONALA,113,584,585,13598,21388,1289,6102,2688,47014,74184,4027,3930,,6681,2034,512,48,50,,,,,,,,,,,,,,,,,,,,,,,,,,,183545,409,7945,191899,393283,
14,JALISCO,103,TONAYA,5,10,10,622,1119,73,30,19,736,254,30,5,,,93,15,3,2,0,0,0,9,0,0,0,1,0,0,0,4,0,2,0,0,0,0,1,1,0,0,1,2,1,1,3024,4,165,3193,5831,
14,JALISCO,104,TONILA,7,12,13,90,643,7,42,,1979,1879,,,,,30,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4680,1,104,4785,6369,
14,JALISCO,105,TOTATICHE,6,11,11,709,611,25,12,12,895,72,107,11,,,39,26,1,1,2,3,0,2,0,0,0,2,0,1,0,1,0,1,0,0,0,0,3,0,1,0,0,2,0,0,2539,1,92,2632,4279,
14,JALISCO,106,TOTOTLAN,14,33,34,1579,1001,78,128,,3339,4116,194,,,,123,73,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10646,2,370,11018,19663,
14,JALISCO,107,TUXCACUESCO,5,10,10,1632,39,6,31,40,158,984,8,10,,,65,15,2,1,8,4,1,16,1,1,1,2,0,0,0,3,0,0,0,1,0,0,4,0,0,0,4,1,3,1,3042,5,66,3113,4627,
14,JALISCO,108,TUXCUECA,4,11,11,340,34,6,1186,12,2083,206,3,3,,,12,3,1,0,11,4,8,15,1,0,0,8,1,1,1,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3973,0,96,4069,6369,
14,JALISCO,109,TUXPAN,23,51,51,405,516,456,,,4181,9573,,1116,,,55,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,16316,13,644,16973,29830,
14,JALISCO,110,UNION DE SAN ANTONIO,10,26,26,5913,208,16,92,78,797,679,1687,27,,,136,105,8,4,35,9,5,20,1,3,3,10,6,11,2,14,1,9,0,9,8,0,5,2,5,4,13,44,0,4,9973,3,325,10301,15242,
14,JALISCO,111,UNION DE TULA,14,24,24,214,1101,24,98,97,2362,2486,55,24,,,45,29,1,0,9,5,7,76,0,0,1,8,2,2,3,28,0,2,0,1,4,3,18,1,0,0,3,5,3,1,6718,0,200,6918,12797,
14,JALISCO,112,VALLE DE GUADALUPE,7,13,14,2141,347,17,34,8,584,144,180,9,,,81,30,4,0,3,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,3594,1,91,3686,6975,
14,JALISCO,113,VALLE DE JUAREZ,6,13,13,2303,214,9,27,24,436,623,4,8,,,94,34,1,0,0,1,2,8,1,0,1,1,0,1,0,5,1,0,0,3,0,0,7,0,0,0,0,1,0,0,3809,1,128,3938,6307,
14,JALISCO,114,VILLA CORONA,10,25,26,576,622,82,2892,101,1772,1485,61,105,,,106,21,2,0,75,14,24,70,3,3,9,17,5,13,19,102,5,5,7,7,1,4,7,0,0,1,4,3,7,4,8234,5,254,8493,15970,
14,JALISCO,115,VILLA GUERRERO,6,9,10,147,1440,24,,,1578,,,,,,81,20,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3296,1,65,3362,4887,
14,JALISCO,116,VILLA HIDALGO,8,27,27,1913,223,30,107,79,4146,1233,20,21,,,129,38,8,0,15,3,1,39,2,0,0,5,3,1,1,22,0,0,0,2,0,4,5,0,0,0,6,3,2,0,8061,8,331,8400,16287,
14,JALISCO,117,CAÑADAS DE OBREGON,7,11,11,425,51,16,,55,1006,434,9,,,,19,17,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,2,119,2156,4106,
14,JALISCO,118,YAHUALICA DE GONZALEZ GALLO,20,39,40,1511,2937,64,325,259,256,3906,43,45,,,200,227,6,5,65,10,13,102,1,3,4,17,7,5,7,56,0,1,1,8,3,12,28,0,0,1,5,13,8,3,10157,3,384,10544,21563,
14,JALISCO,119,ZACOALCO DE TORRES,16,39,40,225,471,49,1741,594,6725,3899,244,412,,,42,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14412,7,395,14814,25414,
14,JALISCO,120,ZAPOPAN,500,1788,1791,59787,31128,3393,14955,8103,323708,134377,11196,38012,,,4189,1478,143,159,3541,353,1506,3518,168,57,237,373,588,195,822,1460,101,183,203,455,106,662,745,41,35,125,840,375,1619,434,649370,490,11953,661813,1148285,
14,JALISCO,121,ZAPOTILTIC,21,49,50,4227,384,52,215,278,3632,5716,649,55,,,145,45,4,2,134,24,15,111,4,7,1,21,18,15,4,45,2,4,1,23,12,7,31,0,0,1,25,67,10,2,15988,28,334,16350,28159,
14,JALISCO,122,ZAPOTITLAN DE VADILLO,6,12,12,112,1234,34,122,390,735,834,17,15,,,37,30,1,4,24,5,5,24,0,1,4,11,0,1,3,16,0,1,0,4,2,2,48,0,1,1,1,9,1,0,3729,1,103,3833,5560,
14,JALISCO,123,ZAPOTLAN DEL REY,13,28,29,2177,206,51,148,122,3513,1663,107,162,,,101,37,7,0,33,3,7,35,4,1,19,10,8,3,4,27,2,4,6,8,0,4,8,0,2,2,9,5,12,4,8514,0,273,8787,15566,
14,JALISCO,124,ZAPOTLANEJO,32,99,100,1179,1668,133,2569,229,14372,8395,725,,,,158,63,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,29496,11,1090,30597,61816,
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,26,27,1711,1867,31,3031,34,1284,239,41,16,,,101,80,0,4,23,6,7,32,2,1,0,13,2,5,2,40,1,3,0,0,0,0,1,0,0,0,0,1,1,1,8580,2,198,8780,15878,
