CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,7,TONALA,102,TONALA,2702,5,5,441,225,11,73,20,397,702,25,62,,24,17,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,20,71,2093,3570
1,14,JALISCO,7,TONALA,102,TONALA,2703,5,5,130,228,13,48,38,395,650,24,56,,20,19,12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1635,0,63,1698,3207
1,14,JALISCO,7,TONALA,102,TONALA,2704,3,3,149,139,18,16,9,384,427,22,22,,37,18,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1243,1,31,1275,1994
1,14,JALISCO,7,TONALA,102,TONALA,2705,2,2,47,73,4,22,6,199,321,37,12,,23,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,751,0,28,779,1283
1,14,JALISCO,7,TONALA,102,TONALA,2706,2,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1212
1,14,JALISCO,7,TONALA,102,TONALA,2707,11,11,322,422,22,124,45,1078,1506,89,84,,108,47,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3859,6,135,4000,7655
1,14,JALISCO,7,TONALA,102,TONALA,2708,3,3,72,126,6,41,15,280,458,34,18,,17,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,1,47,1122,1764
1,14,JALISCO,7,TONALA,102,TONALA,2709,13,13,374,482,33,207,74,1410,1780,84,86,,66,82,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4692,32,219,4943,9641
1,14,JALISCO,7,TONALA,102,TONALA,2710,10,10,245,426,36,136,49,1025,1391,63,87,,64,39,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3575,27,124,3726,6835
1,14,JALISCO,7,TONALA,102,TONALA,2714,3,3,146,135,5,26,16,352,413,41,18,,40,4,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,0,47,1247,2117
1,14,JALISCO,7,TONALA,102,TONALA,2715,2,2,50,100,0,21,9,231,311,19,23,,29,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,805,0,36,841,1484
1,14,JALISCO,7,TONALA,102,TONALA,2727,8,8,201,308,18,89,53,605,1068,54,62,,46,23,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2536,2,125,2663,5685
1,14,JALISCO,7,TONALA,102,TONALA,3704,4,4,91,118,10,44,18,302,498,11,30,,25,8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,8,27,1194,2361
1,14,JALISCO,7,TONALA,102,TONALA,3705,2,2,42,62,2,19,14,140,310,5,11,,25,5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0,36,672,1378
1,14,JALISCO,7,TONALA,102,TONALA,3706,4,4,65,131,12,40,16,359,508,8,28,,23,13,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1208,1,61,1270,2979
1,14,JALISCO,7,TONALA,102,TONALA,3707,3,3,31,171,6,23,15,173,301,12,11,,45,11,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,801,0,33,834,1829
1,14,JALISCO,7,TONALA,102,TONALA,3708,2,2,73,82,5,25,7,245,323,26,31,,50,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,879,0,19,898,1424
1,14,JALISCO,7,TONALA,102,TONALA,3709,2,2,34,64,1,13,8,141,227,13,11,,69,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,586,0,15,601,1182
1,14,JALISCO,7,TONALA,102,TONALA,3710,4,4,85,175,10,27,13,388,567,15,33,,131,16,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1467,15,29,1511,2626
1,14,JALISCO,7,TONALA,102,TONALA,3711,4,4,172,186,11,64,23,501,511,31,47,,25,21,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1596,0,67,1663,2823
1,14,JALISCO,7,TONALA,102,TONALA,3712,4,4,160,156,20,84,24,460,475,52,45,,22,8,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,0,53,1563,2550
1,14,JALISCO,7,TONALA,102,TONALA,3713,4,4,81,137,6,41,14,355,423,17,31,,32,16,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1157,5,64,1226,2293
1,14,JALISCO,7,TONALA,102,TONALA,3714,2,2,39,57,3,17,12,197,292,16,16,,11,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,667,2,40,709,1314
1,14,JALISCO,7,TONALA,102,TONALA,3715,2,2,58,73,5,21,12,153,253,11,10,,10,8,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,617,2,21,640,1045
1,14,JALISCO,7,TONALA,102,TONALA,3800,3,3,50,121,9,32,11,199,348,19,16,,8,17,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,834,13,40,887,2223
1,14,JALISCO,7,TONALA,102,TONALA,3801,4,4,85,221,5,36,39,227,511,16,26,,37,17,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1227,0,44,1271,2647
1,14,JALISCO,7,TONALA,102,TONALA,3802,5,5,102,158,12,34,13,400,457,26,24,,34,12,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,0,41,1315,3105
1,14,JALISCO,7,TONALA,102,TONALA,3803,3,3,45,68,6,39,19,179,307,10,11,,6,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,695,1,37,733,1951
1,14,JALISCO,7,TONALA,102,TONALA,3804,3,3,66,125,6,33,16,145,378,25,26,,21,11,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0,37,893,2246
1,14,JALISCO,7,TONALA,102,TONALA,3805,3,3,45,67,5,19,13,194,259,22,23,,15,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,666,0,27,693,1546
1,14,JALISCO,7,TONALA,102,TONALA,3806,4,4,172,133,9,37,20,526,577,25,39,,34,15,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,5,33,1633,2804
1,14,JALISCO,7,TONALA,102,TONALA,3861,1,1,10,24,0,20,3,77,113,2,3,,14,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,270,0,5,275,723
1,14,JALISCO,7,TONALA,102,TONALA,3862,2,2,28,41,8,17,6,140,282,8,9,,7,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,551,5,25,581,1329
1,14,JALISCO,7,TONALA,102,TONALA,3863,2,2,36,101,5,14,11,131,228,18,10,,17,14,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,587,0,12,599,1281
1,14,JALISCO,7,TONALA,102,TONALA,3864,3,3,82,161,12,26,11,211,448,21,15,,20,10,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,1,25,1050,2197
1,14,JALISCO,7,TONALA,102,TONALA,3865,2,2,58,78,4,17,7,189,224,18,14,,9,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,626,0,31,657,1154
1,14,JALISCO,7,TONALA,102,TONALA,3866,2,2,68,74,3,23,9,188,293,17,20,,18,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,718,0,26,744,1386
1,14,JALISCO,7,TONALA,102,TONALA,3867,3,3,95,146,8,33,14,248,400,34,22,,31,13,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,0,54,1100,2133
1,14,JALISCO,7,TONALA,102,TONALA,3868,2,2,56,96,3,27,12,114,231,12,20,,14,11,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,599,0,26,625,1330
1,14,JALISCO,7,TONALA,102,TONALA,3869,2,2,57,71,3,26,14,180,288,25,15,,22,9,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,711,0,21,732,1251
1,14,JALISCO,7,TONALA,102,TONALA,3870,2,2,51,76,6,24,16,189,318,17,17,,19,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,744,2,22,768,1403
1,14,JALISCO,7,TONALA,102,TONALA,3871,4,4,104,149,10,53,18,305,544,25,37,,31,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,0,38,1327,2279
1,14,JALISCO,7,TONALA,102,TONALA,3872,3,3,62,106,12,22,10,318,427,15,24,,58,10,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,1,24,1093,1928
1,14,JALISCO,7,TONALA,102,TONALA,3873,4,4,95,111,8,32,17,276,476,24,36,,16,18,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,1,40,1152,2455
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,0,0,1,6,4,1,1,1,5,7,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,41
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,570,1,1,48,21,1,3,3,271,39,5,3,,,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,401,4,6,411,526
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,571,1,1,64,26,3,7,4,224,60,3,9,,,3,2,0,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,7,420,565
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,572,1,1,70,47,5,13,4,257,66,6,11,,,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,493,0,17,510,743
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,573,1,1,62,31,2,5,8,198,105,11,10,,,3,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,445,0,9,454,670
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,574,1,1,34,41,0,15,4,215,75,3,20,,,3,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,1,10,428,605
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,575,1,1,82,30,0,7,4,203,95,7,14,,,4,2,0,0,2,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,457,0,11,468,647
