ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,16,247,106,32,542,101,2124,1313,77,18,,,4560,0,123,4683,7006,
14,JALISCO,43,HUEJUCAR,5,11,11,550,1321,62,33,21,1075,303,11,1,,,3377,0,107,3484,5914,
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,17,17,162,932,31,135,69,1518,1711,54,14,,,4626,1,170,4797,7615,
14,JALISCO,46,IXTLAHUACAN DE LOS MEMBRILLOS,19,67,67,1118,11223,425,859,414,2230,5357,228,165,,,22019,7,986,23012,43391,
14,JALISCO,47,IXTLAHUACAN DEL RIO,12,28,28,274,790,42,2369,64,3107,3594,69,,,,10309,4,289,10602,16988,
14,JALISCO,48,JALOSTOTITLAN,22,51,51,2659,3579,157,185,100,6700,1130,108,21,,,14639,9,360,15008,28437,
14,JALISCO,49,JAMAY,12,34,35,4577,1266,440,92,102,5153,1170,29,17,,,12846,11,322,13179,20711,
14,JALISCO,50,JESUS MARIA,14,30,30,4343,673,136,2269,106,624,540,151,26,,,8868,10,327,9205,17613,
14,JALISCO,51,JILOTLAN DE LOS DOLORES,7,10,10,1240,,,23,10,1211,97,128,4,,,2713,0,99,2812,6348,
14,JALISCO,52,JOCOTEPEC,20,64,65,1048,481,106,1075,296,6447,2934,1556,8208,,,22151,69,464,22684,38738,
14,JALISCO,53,JUANACATLAN,7,30,30,3355,259,67,248,1104,2540,3183,56,78,,,10890,3,248,11141,19043,
14,JALISCO,54,JUCHITLAN,6,10,10,455,937,66,32,37,509,538,794,23,,,3391,1,65,3457,5689,
14,JALISCO,18,LA BARCA,36,100,101,2128,8973,295,805,531,8231,6539,397,1175,,,29074,37,790,29901,60092,
14,JALISCO,45,LA HUERTA,19,37,37,392,4279,109,194,155,3935,2144,37,59,,,11304,2,410,11716,19521,
14,JALISCO,59,LA MANZANILLA DE LA PAZ,5,8,8,,,,1341,,1235,,,,,,2576,2,48,2626,3756,
14,JALISCO,55,LAGOS DE MORENO,82,227,228,10347,2263,401,1853,1132,37438,13675,2588,456,,,70153,93,2050,72296,130584,
14,JALISCO,57,MAGDALENA,12,28,28,654,3965,100,105,96,3492,1056,53,12,,,9533,12,245,9790,16736,
14,JALISCO,60,MASCOTA,14,25,26,181,194,32,1987,,2057,2953,37,33,,,7474,20,185,7679,12296,
14,JALISCO,61,MAZAMITLA,9,23,23,1330,1635,238,0,0,2283,0,0,0,,,5486,0,1724,7210,12507,
14,JALISCO,62,MEXTICACAN,7,11,11,309,547,17,45,66,756,978,8,14,,,2740,16,116,2872,5164,
14,JALISCO,63,MEZQUITIC,11,29,29,4420,216,67,310,399,1627,3538,61,94,,,10732,0,408,11140,16085,
14,JALISCO,64,MIXTLAN,4,7,7,40,910,8,414,23,451,320,3,4,,,2173,0,45,2218,3550,
14,JALISCO,65,OCOTLAN,46,135,136,4525,3357,431,3298,5150,13593,12064,1151,285,,,43854,33,1401,45288,82500,
14,JALISCO,66,OJUELOS DE JALISCO,15,39,39,3047,1466,697,106,761,5364,2876,404,,,,14721,16,672,15409,22622,
14,JALISCO,67,PIHUAMO,12,22,22,26,706,8,,,898,272,70,120,,,2100,0,79,2179,9855,
14,JALISCO,68,PONCITLAN,21,69,70,1479,4490,212,555,323,7079,4628,3783,,,,22549,33,922,23504,41570,
14,JALISCO,69,PUERTO VALLARTA,88,381,382,3113,1398,345,50183,2129,33789,24247,2192,4910,,,122306,118,4379,126803,246199,
14,JALISCO,71,QUITUPAN,13,19,19,119,517,56,355,56,2985,731,42,11,,,4872,0,146,5018,8986,
14,JALISCO,73,SAN CRISTOBAL DE LA BARRANCA,5,7,7,1075,35,10,20,379,293,52,5,0,,,1869,0,64,1933,3063,
14,JALISCO,74,SAN DIEGO DE ALEJANDRIA,8,12,12,1432,228,37,1558,27,260,85,19,15,,,3661,0,82,3743,5882,
14,JALISCO,24,SAN GABRIEL,10,24,24,521,3014,440,85,75,3827,689,23,9,,,8683,1,302,8986,13708,
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,26,27,1785,1943,66,3087,57,1284,286,51,21,,,8580,2,198,8780,15878,
14,JALISCO,75,SAN JUAN DE LOS LAGOS,42,102,102,13145,831,248,3685,362,8120,4411,273,103,,,31178,65,748,31991,58892,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,16,462,220,28,126,1792,1018,1222,79,30,,,4977,3,104,5084,7962,
14,JALISCO,76,SAN JULIAN,9,25,25,2464,501,77,94,59,2185,210,2992,24,,,8606,0,250,8856,13965,
14,JALISCO,77,SAN MARCOS,2,6,6,721,53,23,236,29,360,711,94,11,,,2238,96,61,2395,3298,
14,JALISCO,78,SAN MARTIN DE BOLAÑOS,3,5,5,,,,43,19,738,235,470,13,,,1518,0,35,1553,2341,
14,JALISCO,79,SAN MARTIN HIDALGO,17,46,46,492,342,69,1206,277,6391,5525,647,102,,,15051,87,197,15335,26619,
14,JALISCO,80,SAN MIGUEL EL ALTO,18,45,46,5521,1210,184,586,291,4727,1395,949,,,,14863,6,502,15371,26791,
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,225,809,811,22217,15306,1983,9627,5891,109424,95908,4502,5417,,,270275,263,5431,275969,521991,
14,JALISCO,81,SAN SEBASTIAN DEL OESTE,7,10,10,6,21,6,702,16,2158,304,24,6,,,3243,0,118,3361,4874,
14,JALISCO,82,SANTA MARIA DE LOS ANGELES,5,7,7,152,756,20,19,7,916,186,4,2,,,2062,3,82,2147,3632,
14,JALISCO,58,SANTA MARIA DEL ORO,5,6,6,49,714,16,,,542,,,,,,1321,0,18,1339,2069,
14,JALISCO,83,SAYULA,18,50,51,868,1675,263,369,826,7972,4162,192,173,,,16500,7,385,16892,29864,
14,JALISCO,84,TALA,38,100,100,694,721,174,2069,779,17395,12158,372,304,,,34666,18,853,35537,63322,
14,JALISCO,85,TALPA DE ALLENDE,10,23,23,489,1396,54,1238,,1914,2870,95,97,,,8153,1,224,8378,12107,
14,JALISCO,86,TAMAZULA DE GORDIANO,34,69,70,2202,823,226,1410,2997,4344,2881,3117,275,,,18275,22,790,19087,36745,
14,JALISCO,87,TAPALPA,11,28,28,,,,89,169,2651,3460,2502,2762,,,11633,7,293,11933,16564,
14,JALISCO,88,TECALITLAN,16,30,30,284,283,42,1957,129,3957,1470,222,56,,,8400,4,262,8666,14386,
14,JALISCO,90,TECHALUTA DE MONTENEGRO,3,6,6,,,,14,1209,1030,,,2,,,2255,0,69,2324,3438,
14,JALISCO,89,TECOLOTLAN,13,28,28,413,1077,42,301,228,1750,3872,1587,135,,,9405,1,194,9600,15256,
14,JALISCO,91,TENAMAXTLAN,6,13,13,210,1861,28,56,128,387,1416,50,22,,,4158,1,111,4270,7248,
14,JALISCO,92,TEOCALTICHE,23,56,56,2111,3430,322,402,310,4425,4388,151,68,,,15607,6,729,16342,32747,
14,JALISCO,93,TEOCUITATLAN DE CORONA,10,20,21,148,432,46,2223,,1123,723,1745,,,,6440,1,209,6650,10440,
14,JALISCO,94,TEPATITLAN DE MORELOS,64,212,213,39268,3503,665,913,484,21139,4939,1809,275,,,72995,25,1541,74561,133894,
14,JALISCO,95,TEQUILA,26,60,61,5504,896,286,266,287,2089,6725,119,93,3754,,20019,5,426,20450,34921,
