ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,49,JAMAY,12,34,35,,,,,,5153,,,,,,6283,1410,12846,11,322,13179,20711,
14,JALISCO,50,JESUS MARIA,14,30,30,,,,,,624,,,,,,5152,3092,8868,10,327,9205,17613,
14,JALISCO,51,JILOTLAN DE LOS DOLORES,7,10,10,1240,,,,,1211,,,,,,,262,2713,0,99,2812,6348,
14,JALISCO,52,JOCOTEPEC,20,64,65,,,,,,6447,,,,,,1635,14069,22151,69,464,22684,38738,
14,JALISCO,53,JUANACATLAN,7,30,30,,,,,,2540,,,,,,3681,4669,10890,3,248,11141,19043,
14,JALISCO,54,JUCHITLAN,6,10,10,,,,,,509,,,,,,1458,1424,3391,1,65,3457,5689,
14,JALISCO,55,LAGOS DE MORENO,82,227,228,,,,,,37438,,,,,,13011,19704,70153,93,2050,72296,130584,
14,JALISCO,56,EL LIMON,6,12,13,,,,,,1647,,,,,,66,1766,3479,7,60,3546,6224,
14,JALISCO,57,MAGDALENA,12,28,28,,,,,,3492,,,,,,4719,1322,9533,12,245,9790,16736,
14,JALISCO,58,SANTA MARIA DEL ORO,5,6,6,,,,,,542,,,,,,779,,1321,0,18,1339,2069,
14,JALISCO,59,LA MANZANILLA DE LA PAZ,5,8,8,,,,1341,,1235,,,,,,,,2576,2,48,2626,3756,
14,JALISCO,60,MASCOTA,14,25,26,,,,1987,,2057,2953,37,33,,,407,,7474,20,185,7679,12296,
14,JALISCO,61,MAZAMITLA,9,23,23,,,,,,2283,,,,,,3203,,5486,0,1724,7210,12507,
14,JALISCO,62,MEXTICACAN,7,11,11,,,,,,756,,,,,,873,1111,2740,16,116,2872,5164,
14,JALISCO,63,MEZQUITIC,11,29,29,,,,,,1627,,,,,,4703,4402,10732,0,408,11140,16085,
14,JALISCO,64,MIXTLAN,4,7,7,,,,,,451,,,,,,958,764,2173,0,45,2218,3550,
14,JALISCO,65,OCOTLAN,46,135,136,,,,3298,5150,13593,12064,1151,285,,,8313,,43854,33,1401,45288,82500,
14,JALISCO,66,OJUELOS DE JALISCO,15,39,39,,,,106,761,5364,2876,404,,,,5210,,14721,16,672,15409,22622,
14,JALISCO,67,PIHUAMO,12,22,22,,,,,,898,272,70,120,,,740,,2100,0,79,2179,9855,
14,JALISCO,68,PONCITLAN,21,69,70,,,,555,323,7079,4628,3783,,,,6181,,22549,33,922,23504,41570,
14,JALISCO,69,PUERTO VALLARTA,88,381,382,,,,50183,2129,33789,24247,2192,4910,,,4856,,122306,118,4379,126803,246199,
14,JALISCO,70,VILLA PURIFICACION,10,19,19,,,,,,1468,,,,,,2500,1131,5099,12,241,5352,10256,
14,JALISCO,71,QUITUPAN,13,19,19,,,,,,2985,,,,,,692,1195,4872,0,146,5018,8986,
14,JALISCO,72,EL SALTO,26,213,214,,,,,,27842,,,,,,8826,35176,71844,75,1527,73446,143957,
14,JALISCO,73,SAN CRISTOBAL DE LA BARRANCA,5,7,7,,,,,,293,,,,,,1120,456,1869,0,64,1933,3063,
14,JALISCO,74,SAN DIEGO DE ALEJANDRIA,8,12,12,,,,,,260,,,,,,1697,1704,3661,0,82,3743,5882,
14,JALISCO,75,SAN JUAN DE LOS LAGOS,42,102,102,,,,,,8120,,,,,,14224,8834,31178,65,748,31991,58892,
