CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,6,AMECA,58,B,1,0,B,0,20,12,2,4,3,71,73,12,1,,,3,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,211,1,5,217,386,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,58,C,1,0,C01,0,23,35,2,1,3,93,75,7,0,,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,244,0,4,248,385,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,63,C,2,0,C02,0,7,19,5,4,4,134,139,5,7,,,3,1,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,1,1,0,341,1,12,354,631,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,65,C,1,0,C01,0,17,43,3,5,9,111,143,5,1,,,7,1,1,1,3,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,357,2,6,365,639,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,69,B,1,0,B,0,10,11,5,7,6,129,154,8,5,,,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,347,0,9,356,645,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,69,C,1,0,C01,0,21,14,0,4,3,107,164,10,4,,,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,10,344,644,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,69,C,2,0,C02,0,19,21,7,3,3,113,152,9,3,,,6,0,0,0,4,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,349,1,8,358,644,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,70,C,1,0,C01,0,4,7,2,13,8,183,114,2,3,,,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,345,0,19,364,561,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,71,B,1,0,B,0,3,6,3,3,5,142,124,0,1,,,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,293,0,8,301,612,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,71,C,1,0,C01,0,11,5,1,8,6,161,145,1,2,,,0,1,0,0,1,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,1,6,358,612,Grupo de recuento,,,
