CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,350,C,1,0,C01,0,133,10,31,13,10,12,154,12,2,2,0,379,0,24,403,714,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,350,C,2,0,C02,0,193,17,20,2,17,18,127,12,1,1,1,409,0,23,432,714,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,350,C,3,0,C03,0,161,10,16,6,10,18,153,9,1,0,0,384,0,17,401,714,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,351,B,1,0,B,0,131,10,34,8,7,6,184,9,1,2,1,393,0,13,406,549,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,351,C,1,0,C01,0,131,8,29,4,4,8,180,7,2,3,0,376,0,13,389,549,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,351,C,2,0,C02,0,164,8,38,5,7,6,152,4,1,2,0,387,0,11,398,549,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,352,B,1,0,B,0,164,21,43,3,8,20,127,4,1,1,0,392,0,20,412,650,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,352,C,1,0,C01,0,126,13,36,8,8,6,142,7,0,0,0,346,0,12,358,650,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,352,C,2,0,C02,0,142,16,38,3,5,15,161,3,2,0,0,385,0,19,404,649,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,352,C,3,0,C03,0,132,20,34,12,8,20,140,10,1,0,1,378,0,18,396,649,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,353,B,1,0,B,0,147,36,70,1,4,12,61,8,5,4,0,348,0,13,361,566,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,353,C,1,0,C01,0,147,13,39,5,12,11,113,8,5,3,0,356,1,10,367,566,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,353,C,2,0,C02,0,126,24,56,7,8,24,128,11,2,0,0,386,0,11,397,566,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,354,B,1,0,B,0,138,12,23,7,10,16,125,3,0,1,0,335,0,20,355,527,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,354,C,1,0,C01,0,100,28,33,5,8,12,114,5,0,0,0,305,0,17,322,526,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,2,ASIENTOS,354,C,2,0,C02,0,135,16,33,8,15,10,101,6,0,1,0,325,0,7,332,526,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,479,B,1,0,B,0,111,11,2,7,128,13,184,2,0,0,0,458,0,16,474,724,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,479,C,1,0,C01,0,97,12,3,5,126,8,24,7,4,0,0,286,0,18,304,723,Grupo de recuento,,,
