CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,209,2,2,592,52,4,16,5,80,81,7,3,0,0,840,0,19,859,1069
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,210,2,2,579,53,11,12,5,91,84,12,6,0,0,853,1,14,868,1147
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,211,1,1,132,13,4,10,8,39,116,7,4,1,0,334,1,24,359,595
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,212,1,1,155,15,4,11,7,54,120,6,1,0,0,373,0,20,393,661
2,1,AGUASCALIENTES,14,AGUASCALIENTES,1,AGUASCALIENTES,213,1,1,124,16,2,18,9,54,169,2,3,0,0,397,0,24,421,701
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,214,2,2,482,45,14,10,5,38,106,7,2,1,0,710,2,11,723,950
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,215,2,2,576,38,7,11,6,34,120,21,4,2,0,819,0,13,832,1091
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,216,2,2,399,23,5,12,3,29,110,10,1,0,0,592,0,13,605,856
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,217,2,2,409,28,8,9,4,35,99,9,2,0,0,603,0,21,624,880
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,218,5,7,840,52,24,31,16,96,299,20,7,2,0,1387,0,36,1423,1604
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,219,1,1,315,22,4,9,3,24,103,15,3,0,0,498,2,13,513,747
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,220,2,2,567,42,8,13,4,58,142,13,4,0,0,851,0,26,877,1273
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,221,2,2,448,42,9,10,11,48,116,12,2,0,0,698,0,19,717,933
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,222,2,2,678,54,7,17,6,59,205,22,3,0,0,1051,2,23,1076,1475
