ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,67,265,267,7271,20841,1371,5829,4500,20339,16337,4774,655,418,163,271,82781,27,4273,87081,177073,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,2,MONTERREY,125,340,343,13312,17841,945,4451,12970,27122,23270,5903,1436,1527,330,349,109456,30,5829,115315,205422,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,3,MONTERREY,105,298,302,51534,20768,1761,2083,1726,29236,13812,4382,976,785,211,389,127663,76,2488,130227,182258,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,4,SALINAS VICTORIA,58,216,220,5385,1719,434,5380,3423,29446,12447,1284,0,979,214,297,61008,24,2428,63460,138069,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,5,APODACA,102,259,267,12601,24267,1149,2329,1418,19405,18889,1164,423,373,199,221,82438,37,2266,84741,147996,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,6,MONTERREY,334,436,441,24778,22408,1374,3029,2375,34524,23797,6181,1304,795,361,424,121350,36,4457,125843,213595,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,7,APODACA,110,272,274,8998,30572,1306,2512,2056,16980,22091,1239,543,660,169,179,87305,23,2920,90248,166023,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,8,MONTERREY,103,303,307,43322,21589,1691,2010,1268,26113,12992,3426,520,613,203,327,114074,49,3173,117296,185015,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,113,288,290,32938,6067,746,3292,2481,31012,23047,1632,532,570,210,209,102736,20,4146,106902,175778,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,129,309,311,46594,7560,1012,2620,2268,34799,19997,1878,462,478,304,316,118288,33,3352,121673,184596,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,11,PESQUERIA,123,270,272,16006,5239,384,7399,3210,29110,13839,614,0,274,266,85,76426,29,3327,79782,157424,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,12,GARCIA,62,211,213,1538,1315,292,10519,1413,12799,23437,1534,307,2674,186,73,56087,14,1946,58047,132911,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,13,GUADALUPE,80,282,284,10971,9913,669,4359,2614,28719,29111,4310,406,477,303,710,92562,47,4103,96712,183060,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,14,GUADALUPE,86,286,289,13574,8756,749,3893,2718,32528,27678,2633,377,742,282,249,94179,35,3947,98161,176447,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,15,GUADALUPE,144,328,331,28412,13620,1155,5183,2153,36267,27795,2430,589,956,242,651,119453,144,3788,123385,193694,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,16,APODACA,101,283,285,12327,26128,1217,2791,2650,23432,23498,1521,506,481,249,282,95082,32,3229,98343,170169,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,17,GRAL. ESCOBEDO,72,278,280,13099,6235,784,4604,4604,25979,29906,1960,633,915,301,781,89801,58,3851,93710,179292,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,93,292,296,61562,7415,1070,2651,2134,21082,14389,1631,292,568,226,168,113188,28,3134,116350,181767,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,19,SANTA CATARINA,76,259,261,31301,3984,819,2437,1754,33277,17624,970,290,502,584,166,93708,39,2943,96690,166987,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,20,GARCIA,82,197,199,8533,3354,385,7167,1919,15766,17069,2294,449,648,256,129,57969,27,1419,59415,115026,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,21,CIENEGA DE FLORES,127,298,303,21329,4806,632,7895,2999,26874,16673,1528,526,258,293,114,83927,13,3167,87107,169929,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,22,JUAREZ,80,245,246,2822,13610,519,2253,1430,25822,17568,1170,446,375,206,121,66342,16,2501,68859,148278,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,23,JUAREZ,91,253,255,2613,13343,518,2390,2760,28628,19037,1012,603,552,138,137,71731,35,2303,74069,154578,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,24,LINARES,194,392,399,16619,38954,855,4535,2254,32988,27271,724,2056,346,224,100,126926,8,6260,133194,211740,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,25,GRAL. ESCOBEDO,98,274,279,11381,5114,575,3417,5256,21453,21899,1827,348,407,207,361,72245,35,2890,75170,166068,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,26,CADEREYTA JIMENEZ,122,306,310,18767,10372,811,4471,3007,24520,20281,661,1942,614,199,137,85782,25,3929,89736,182654,https://www.ieepcnl.mx/info/procesos/2024/actas/
