ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,67,265,267,6698,20259,956,5829,4500,20339,16337,4774,655,418,163,271,1155,354,22,39,0,82769,27,4273,87069,177073,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,2,MONTERREY,125,340,343,12631,17154,490,4451,12970,27122,23270,5903,1436,1527,330,349,1274,486,26,37,0,109456,30,5829,115315,205422,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,3,MONTERREY,105,298,302,50111,19351,732,1883,1726,29236,13611,4382,976,785,211,389,2995,812,36,26,401,127663,76,2488,130227,182258,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,4,SALINAS VICTORIA,58,216,220,5274,1611,367,5134,3423,29446,12200,1284,0,979,214,297,186,88,9,3,493,61008,24,2428,63460,138069,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,5,APODACA,102,259,267,11910,23569,593,2329,1418,19405,18889,1164,423,373,199,221,1601,298,16,30,0,82438,37,2266,84741,147996,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,6,MONTERREY,334,436,441,23766,21396,685,3029,2375,34524,23797,6181,1304,795,361,424,1994,667,25,27,0,121350,36,4457,125843,213595,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,7,APODACA,110,272,274,8216,29775,675,2512,2056,16980,22091,1239,543,660,169,179,1798,347,19,46,0,87305,23,2920,90248,166023,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,8,MONTERREY,103,303,307,42014,20294,772,2010,1268,26113,12992,3426,520,613,203,327,2634,805,53,30,0,114074,49,3173,117296,185015,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,113,288,290,32467,5597,424,3292,2481,31012,23047,1632,532,570,210,209,920,309,17,17,0,102736,20,4146,106902,175778,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,129,309,311,45898,6877,511,2620,2268,34799,19997,1878,462,478,304,316,1441,395,33,11,0,118288,33,3352,121673,184596,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,11,PESQUERIA,123,270,272,15760,4997,253,7248,3210,29110,13688,614,0,274,266,85,354,238,18,9,302,76426,29,3327,79782,157424,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,12,GARCIA,62,211,213,1496,1273,264,10519,1413,12799,23437,1534,307,2674,186,73,81,27,1,3,0,56087,14,1946,58047,132911,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,13,GUADALUPE,80,282,284,10562,9501,387,3916,2614,28719,28667,4310,406,477,303,710,804,269,11,19,887,92562,47,4103,96712,183060,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,14,GUADALUPE,86,286,289,13162,8346,454,3503,2718,32528,27288,2633,377,742,282,249,838,247,16,16,780,94179,35,3947,98161,176447,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,15,GUADALUPE,144,328,331,27539,12750,562,4680,2153,36267,27291,2430,589,956,242,651,1727,572,22,15,1007,119453,144,3788,123385,193694,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,16,APODACA,101,283,285,11597,25390,650,2791,2650,23432,23498,1521,506,481,249,282,1625,356,19,35,0,95082,32,3229,98343,170169,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,17,GRAL. ESCOBEDO,72,278,280,12684,5822,480,4139,4604,25979,29441,1960,633,915,301,781,864,235,18,15,930,89801,58,3851,93710,179292,https://www.ieepcnl.mx/info/procesos/2024/actas/
