CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,0,0,2,2,2,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,12,0,1,13,13
2,19,NUEVO LEON,3,MONTERREY,40,MONTERREY,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,4
2,19,NUEVO LEON,4,SALINAS VICTORIA,10,CARMEN,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,19,NUEVO LEON,4,SALINAS VICTORIA,28,HIDALGO,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,19,NUEVO LEON,5,APODACA,6,APODACA,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
2,19,NUEVO LEON,6,MONTERREY,40,MONTERREY,0,0,2,4,4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,13,0,0,13,17
2,19,NUEVO LEON,7,APODACA,6,APODACA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2,19,NUEVO LEON,8,MONTERREY,40,MONTERREY,0,0,1,1,4,1,1,1,3,4,2,0,0,0,0,0,0,0,0,0,17,0,0,17,18
2,19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,47,SAN NICOLAS DE LOS GARZA,0,0,1,1,2,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,12,0,0,12,12
2,19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,47,SAN NICOLAS DE LOS GARZA,0,0,1,3,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,12,0,2,14,15
2,19,NUEVO LEON,11,PESQUERIA,43,LOS RAMONES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,19,NUEVO LEON,12,GARCIA,18,GARCIA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2
2,19,NUEVO LEON,13,GUADALUPE,26,GUADALUPE,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5
2,19,NUEVO LEON,14,GUADALUPE,26,GUADALUPE,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
2,19,NUEVO LEON,15,GUADALUPE,26,GUADALUPE,0,0,1,2,3,0,0,1,3,5,1,0,0,0,0,0,0,0,0,0,15,0,0,15,16
2,19,NUEVO LEON,16,APODACA,6,APODACA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,19,NUEVO LEON,17,GRAL. ESCOBEDO,21,GRAL. ESCOBEDO,0,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,19,SAN PEDRO GARZA GARCIA,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,48,SANTA CATARINA,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,19,SANTA CATARINA,48,SANTA CATARINA,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5
2,19,NUEVO LEON,20,GARCIA,18,GARCIA,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3
2,19,NUEVO LEON,21,CIENEGA DE FLORES,5,ANAHUAC,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
