ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,NUEVO LAREDO,81,204,204,25108,2924,160,1540,2005,2453,32317,,66507,40,2032,68579,123806,
28,TAMAULIPAS,2,NUEVO LAREDO,111,249,249,33144,4963,83,1667,2620,2782,34138,,79397,30,1846,81273,143318,
28,TAMAULIPAS,3,NUEVO LAREDO,83,220,220,24465,3744,403,2046,3500,5139,31799,,71096,22,2108,73226,128652,
28,TAMAULIPAS,4,REYNOSA,98,233,233,13692,2973,1282,2663,5589,7943,31939,,66081,66,1997,68144,134302,
28,TAMAULIPAS,5,REYNOSA,91,207,207,5549,1180,1023,2227,4545,6162,33059,,53745,44,1387,55176,122792,
28,TAMAULIPAS,6,REYNOSA,135,283,283,15587,3697,1639,3208,6746,7788,36225,,74890,28,2528,77446,159421,
28,TAMAULIPAS,7,REYNOSA,87,209,209,5464,1268,4048,2545,5123,6164,33360,,57972,61,1699,59732,122672,
28,TAMAULIPAS,8,RIO BRAVO,99,256,256,23398,4247,1739,3270,4127,4834,31903,,73518,33,2445,75996,152683,
28,TAMAULIPAS,9,VALLE HERMOSO,95,227,227,14852,3665,443,2191,2791,5169,34851,,63962,107,2102,66171,128439,
28,TAMAULIPAS,10,MATAMOROS,59,183,183,8120,2029,290,1657,2488,7070,32780,,54434,95,1429,55958,112701,
28,TAMAULIPAS,11,MATAMOROS,37,175,175,8174,1733,305,1956,2604,6941,33896,,55609,192,1680,57481,117728,
28,TAMAULIPAS,12,MATAMOROS,108,229,229,12402,3378,322,1980,2803,8309,34815,,64009,167,1840,66016,131742,
28,TAMAULIPAS,13,SAN FERNANDO,159,259,259,16998,8357,819,2921,4297,4622,39861,,77875,13,2662,80550,117909,
28,TAMAULIPAS,14,VICTORIA,65,210,211,19766,10481,446,1869,5917,6155,34432,3940,83006,74,2297,85377,132451,
28,TAMAULIPAS,15,VICTORIA,94,222,223,13798,6155,681,2455,6575,8050,38961,,76675,65,2537,79277,129505,
28,TAMAULIPAS,16,XICOTENCATL,149,285,285,27393,2861,600,4516,9070,3353,39060,,86853,63,4238,91154,131458,
28,TAMAULIPAS,17,EL MANTE,144,277,277,27319,2050,724,2667,3887,4486,44203,,85336,34,2624,87994,143056,
28,TAMAULIPAS,18,ALTAMIRA,54,184,184,9549,2149,1960,2692,3121,4191,36963,,60625,50,1939,62614,115685,
28,TAMAULIPAS,19,MIRAMAR,48,171,172,10315,1425,1283,2215,2848,4660,32926,,55672,31,1679,57382,109235,
28,TAMAULIPAS,20,CIUDAD MADERO,97,230,231,26204,2750,886,2794,3570,7144,40004,,83352,62,1884,85298,137113,
28,TAMAULIPAS,21,TAMPICO,67,192,193,22098,2045,516,2351,2954,3928,36582,,70474,23,1558,72055,119923,
28,TAMAULIPAS,22,TAMPICO,129,247,248,35932,2774,429,1418,1749,3541,36410,,82253,49,3448,85750,134410,
