ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,NUEVO LAREDO,81,204,204,,,160,,,2453,,,28032,35862,,,,66507,40,2032,68579,123806,
28,TAMAULIPAS,2,NUEVO LAREDO,111,249,249,,,83,,,2782,,,38107,38425,,,,79397,30,1846,81273,143318,
28,TAMAULIPAS,3,NUEVO LAREDO,83,220,220,,,403,,,5139,,,28209,37345,,,,71096,22,2108,73226,128652,
28,TAMAULIPAS,4,REYNOSA,98,233,233,,,1282,,,7943,,,16665,40191,,,,66081,66,1997,68144,134302,
28,TAMAULIPAS,5,REYNOSA,91,207,207,,,1023,,,6162,,,6729,39831,,,,53745,44,1387,55176,122792,
28,TAMAULIPAS,6,REYNOSA,135,283,283,,,1639,,,7788,,,19284,46179,,,,74890,28,2528,77446,159421,
28,TAMAULIPAS,7,REYNOSA,87,209,209,,,4048,,,6164,,,6732,41028,,,,57972,61,1699,59732,122672,
28,TAMAULIPAS,8,RIO BRAVO,99,256,256,,,1739,,,4834,,,27645,39300,,,,73518,33,2445,75996,152683,
28,TAMAULIPAS,9,VALLE HERMOSO,95,227,227,,,443,,,5169,,,18517,39833,,,,63962,107,2102,66171,128439,
28,TAMAULIPAS,10,MATAMOROS,59,183,183,,,290,,,7070,,,10149,36925,,,,54434,95,1429,55958,112701,
28,TAMAULIPAS,11,MATAMOROS,37,175,175,,,305,,,6941,,,9907,38456,,,,55609,192,1680,57481,117728,
28,TAMAULIPAS,12,MATAMOROS,108,229,229,,,322,,,8309,,,15780,39598,,,,64009,167,1840,66016,131742,
28,TAMAULIPAS,13,SAN FERNANDO,159,259,259,,,819,,,4622,,,25355,47079,,,,77875,13,2662,80550,117909,
28,TAMAULIPAS,14,VICTORIA,65,210,211,,,446,,,6155,,3940,30247,42218,,,,83006,74,2297,85377,132451,
28,TAMAULIPAS,15,VICTORIA,94,222,223,,,681,,,8050,,,19953,47991,,,,76675,65,2537,79277,129505,
28,TAMAULIPAS,16,XICOTENCATL,149,285,285,,,600,,,3353,,,30254,52646,,,,86853,63,4238,91154,131458,
28,TAMAULIPAS,17,EL MANTE,144,277,277,,,724,,,4486,,,29369,50757,,,,85336,34,2624,87994,143056,
28,TAMAULIPAS,18,ALTAMIRA,54,184,184,,,1960,,,4191,,,11698,42776,,,,60625,50,1939,62614,115685,
28,TAMAULIPAS,19,MIRAMAR,48,171,172,,,1283,,,4660,,,11740,37989,,,,55672,31,1679,57382,109235,
28,TAMAULIPAS,20,CIUDAD MADERO,97,230,231,,,886,,,7144,,,28954,46368,,,,83352,62,1884,85298,137113,
28,TAMAULIPAS,21,TAMPICO,67,192,193,,,516,,,3928,,,24143,41887,,,,70474,23,1558,72055,119923,
28,TAMAULIPAS,22,TAMPICO,129,247,248,,,429,1418,1749,3541,36410,,38706,,,,,82253,49,3448,85750,134410,
