CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,195,1,1,154,138,42,18,8,0,360,0,12,372,599
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,196,2,2,150,249,57,19,16,0,491,2,24,517,885
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,197,3,3,592,468,98,23,23,20,1224,1,25,1250,1833
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,198,1,1,138,162,44,14,35,0,393,0,18,411,708
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,199,1,1,126,147,33,7,15,0,328,1,10,339,550
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,200,1,1,129,206,34,9,14,0,392,0,6,398,648
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,201,1,1,119,104,28,5,8,0,264,0,16,280,437
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,202,3,3,642,310,86,12,20,12,1082,1,24,1107,1528
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,203,2,2,158,234,55,15,7,4,473,0,15,488,827
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,204,2,2,160,215,56,10,20,19,480,2,12,494,882
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,205,1,1,99,217,28,6,8,2,360,2,16,378,692
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,207,1,1,123,214,32,15,8,0,392,1,11,404,629
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,208,2,2,150,249,51,22,12,0,484,0,14,498,786
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,209,3,3,734,344,93,43,17,0,1231,2,37,1270,1868
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,210,6,6,1245,942,261,67,46,0,2561,8,57,2626,4218
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,211,2,2,297,374,76,23,10,6,786,1,20,807,1201
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,212,2,2,382,227,45,11,5,8,678,1,17,696,962
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,213,2,2,255,383,64,8,19,9,738,1,17,756,1231
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,214,2,2,252,263,42,11,13,9,590,0,16,606,939
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,215,1,1,174,237,41,4,9,8,473,1,6,480,737
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,216,1,1,101,154,21,4,4,0,284,0,9,293,496
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,217,6,6,958,1117,207,51,66,28,2427,0,60,2487,4043
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,218,4,4,965,557,156,48,41,0,1767,1,35,1803,2883
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,219,2,2,324,323,73,11,15,14,760,0,23,783,1146
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,220,2,2,240,353,60,23,14,17,707,0,22,729,1086
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,221,2,2,214,251,40,27,9,8,549,0,16,565,835
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,222,2,2,357,219,50,11,17,8,662,1,17,680,941
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,223,2,2,271,341,55,18,21,10,716,0,20,736,1109
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,224,1,1,192,172,34,8,7,0,413,0,11,424,581
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,225,1,1,164,156,26,5,7,0,358,0,7,365,568
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,226,2,2,313,326,62,12,15,12,740,2,17,759,1106
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,227,2,2,269,390,57,12,15,21,764,1,29,794,1324
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,228,3,3,388,575,98,24,14,22,1121,2,29,1152,1731
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,229,1,1,207,215,30,4,13,6,475,1,2,478,709
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,230,1,1,177,219,40,4,4,3,447,0,14,461,676
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,231,1,1,147,175,23,6,4,6,361,0,14,375,549
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,232,2,2,220,287,45,12,17,4,585,1,10,596,881
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,233,1,1,137,217,30,7,7,8,406,1,10,417,595
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,234,2,2,243,253,22,14,10,5,547,0,12,559,814
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,235,2,2,194,293,38,11,7,9,552,1,17,570,952
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,236,1,1,63,152,20,6,6,12,259,1,8,268,407
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,237,2,2,271,291,43,10,13,12,640,0,25,665,982
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,238,2,2,202,216,50,12,10,2,492,1,6,499,776
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,239,2,2,245,337,61,11,10,7,671,2,15,688,1069
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,240,1,1,93,144,10,4,11,2,264,1,15,280,502
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,241,1,1,93,171,31,11,14,3,323,0,19,342,585
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,242,2,2,116,150,32,4,7,4,313,1,10,324,606
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,243,1,1,160,193,27,7,7,7,401,1,8,410,616
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,244,1,1,190,202,41,10,5,2,450,0,16,466,684
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,245,1,1,187,123,32,6,3,8,359,2,10,371,569
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,246,2,2,128,257,23,5,12,3,428,0,31,459,840
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,247,2,2,136,243,21,4,21,3,428,0,28,456,864
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,248,3,3,211,191,34,3,11,7,457,0,12,469,685
