ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,DURANGO,43,134,135,2244,2797,4000,11948,22301,,43290,19,2470,45779,84253,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/1//Acta_de_computo_distrital_MR.pdf
10,DURANGO,2,DURANGO,52,140,141,,2756,5615,,19086,16680,44137,23,2171,46331,83616,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_II//02_Acta_de_Computo_Distrital_MR.pdf
10,DURANGO,3,DURANGO,37,121,122,1792,2460,3401,11331,14759,,33743,18,2194,35955,76956,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_III/03_Acta_de_Computo_Distrital_MR.pdf
10,DURANGO,4,DURANGO,69,151,152,1857,2947,3570,14165,20142,,42681,34,2716,45431,86817,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_IV//04_Acta_de_computo_distrital_MR.pdf
10,DURANGO,5,DURANGO,93,173,174,1949,2334,13640,14805,25255,,57983,43,2788,60814,100397,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_V//Acta_de_computo_MR.pdf
10,DURANGO,6,DURANGO,43,142,143,1489,2345,3390,17365,20214,,44803,22,2539,47364,87547,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_VI//06_Acta_de_computo_distrital_MR.pdf
10,DURANGO,7,SANTIAGO PAPASQUIARO,198,264,265,,1095,884,,22711,26297,50987,24,2554,53565,104904,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Santiago_Papasquiaro//Acta_de_Computo_Distrital_de_MR.pdf
10,DURANGO,8,GUADALUPE VICTORIA,153,243,244,,1599,2717,,21931,26831,53078,28,3471,56577,113370,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Guadalupe_Victoria//Acta_de_Computo_Distrital_de_MR.pdf
10,DURANGO,9,MAPIMI,182,254,255,,2691,1708,,21707,27162,53268,42,3585,56895,105350,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Mapimi//Acta_de_computo_distrital_MR.pdf
10,DURANGO,10,GOMEZ PALACIO,52,120,121,,1434,1827,,12540,21176,36977,9,2334,39320,72086,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_X//Acta_de_Computo_Distrital_de_MR_Distrito_X.pdf
10,DURANGO,11,GOMEZ PALACIO,84,183,184,,3089,7284,,22695,24578,57646,40,2867,60553,104960,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_XI//Acta_de_COmputo_Distrital_de_MR.pdf
10,DURANGO,12,GOMEZ PALACIO,75,169,170,,1813,5289,,20414,26428,53944,26,3027,56997,99722,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_XII//Acta_de_Computo_Distrital_de_MR.pdf
10,DURANGO,13,LERDO,65,163,164,,1639,2362,,25474,25968,55443,30,2991,58464,98440,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/13//Acta_de_Computo_Distrital_MR.pdf
10,DURANGO,14,CUENCAME,130,209,210,,4148,2432,,17428,26050,50058,56,3229,53343,100666,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/14//Acta_de_computo_distrital_MR.pdf
10,DURANGO,15,PUEBLO NUEVO,84,152,152,1704,2243,784,18681,19161,,42573,71,2502,45146,78519,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Pueblo_Nuevo//Acta_de_Computo_Distrital_de_MR.pdf
