CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,475,2,2,13,34,10,21,8,119,179,2,67,0,0,0,12,1,1,1,468,0,19,487,991
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,476,2,2,20,40,4,31,17,102,129,1,60,1,2,1,11,1,3,1,424,0,19,443,845
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,477,2,2,52,47,7,39,21,115,190,5,67,2,3,0,6,6,4,3,567,0,42,609,1265
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,480,2,2,17,76,3,33,19,85,209,2,86,3,1,1,5,5,2,3,550,0,36,586,950
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,481,2,2,18,144,11,19,14,47,320,1,136,4,3,2,18,4,3,1,745,0,32,777,1329
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,482,1,1,11,60,3,18,19,44,194,2,51,4,0,0,18,3,0,1,428,0,21,449,707
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,485,2,2,14,35,6,29,15,57,221,2,37,5,4,0,16,4,5,1,451,0,22,473,776
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,489,4,4,38,162,18,43,27,191,336,8,184,6,2,2,33,9,3,2,1064,0,55,1119,2262
3,4,CAMPECHE,13,ESCARCEGA,9,ESCARCEGA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,274,2,2,139,13,1,16,11,235,282,2,1,0,0,18,0,0,0,0,718,5,33,756,1147
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,275,2,2,40,6,0,16,17,110,156,2,0,0,0,0,11,5,1,2,366,0,11,377,570
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,276,1,1,39,1,1,3,0,53,119,1,0,0,0,0,0,0,0,0,217,0,14,231,389
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,277,3,3,183,35,2,44,32,315,463,2,4,2,5,0,29,7,7,6,1136,0,59,1195,1896
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,279,4,4,248,15,0,38,22,365,476,2,8,4,0,0,22,3,6,2,1211,0,58,1269,2312
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,280,3,3,230,38,5,26,13,300,351,2,2,0,0,1,27,6,6,2,1009,0,35,1044,1903
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,281,2,2,68,21,1,17,2,124,138,2,0,2,1,0,10,0,2,5,393,0,21,414,1445
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,282,2,2,130,14,1,26,14,96,288,0,0,1,3,8,3,0,1,3,588,0,26,614,1176
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,283,4,4,250,20,5,38,23,287,342,3,2,0,0,1,35,3,10,6,1025,1,68,1094,2251
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,285,2,2,42,0,1,5,7,19,69,0,0,0,0,0,8,0,2,0,153,0,0,153,868
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,286,1,1,7,1,1,6,6,58,98,1,0,1,0,0,7,0,3,0,189,0,2,191,325
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,287,1,1,9,1,0,18,7,94,85,0,0,0,0,0,0,0,0,0,214,0,16,230,328
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,288,1,1,57,3,1,9,4,35,92,0,1,0,0,0,7,1,0,0,210,0,21,231,424
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,289,2,2,113,8,0,15,11,141,144,3,1,1,0,0,22,4,4,2,469,0,14,483,781
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,290,1,1,11,1,0,4,1,16,25,0,0,0,0,0,10,0,0,0,68,0,2,70,137
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,291,2,2,49,7,3,27,29,228,273,3,0,1,0,0,11,6,6,2,645,0,36,681,1181
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,292,1,1,48,2,0,0,0,149,181,2,0,0,0,0,0,0,0,0,382,0,21,403,623
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,293,2,2,93,10,2,24,11,156,281,1,1,1,0,11,12,3,1,1,608,0,19,627,1034
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,294,1,1,6,4,1,0,0,29,0,0,0,0,0,0,32,0,0,0,72,0,3,75,151
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,295,4,4,185,16,5,80,50,460,450,3,1,3,1,0,29,17,2,1,1303,0,66,1369,2180
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,296,2,2,72,5,0,14,19,108,207,1,0,0,2,0,10,0,0,1,439,0,17,456,773
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,297,1,1,33,0,0,28,16,176,184,3,0,2,0,0,15,5,1,1,464,0,21,485,747
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,298,2,2,55,5,1,35,28,225,234,0,1,0,0,0,15,2,0,5,606,0,25,631,969
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,299,2,2,55,5,3,22,21,291,312,0,1,2,2,0,24,0,3,3,744,0,29,773,1160
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,300,1,1,14,1,1,0,0,116,136,0,0,0,0,0,0,0,0,0,268,0,22,290,456
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,301,3,3,169,4,2,54,35,510,512,1,0,0,0,0,7,2,2,2,1300,0,78,1378,2217
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,302,1,1,3,1,0,15,13,45,76,1,2,1,0,0,10,3,1,0,171,0,8,179,317
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,490,2,2,9,1,0,8,39,97,57,0,0,0,0,0,9,9,0,0,229,0,6,235,313
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,531,2,2,112,5,2,27,14,163,203,3,0,0,0,0,5,0,0,1,535,1,30,566,955
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,532,3,3,152,9,0,31,21,216,359,2,2,0,0,0,8,0,0,0,800,0,13,813,1513
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,533,3,3,106,6,0,0,0,267,393,0,1,0,5,0,34,0,41,0,853,0,35,888,1706
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,534,1,1,28,1,1,11,21,40,98,1,0,2,1,0,15,2,2,2,225,0,3,228,341
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,535,1,1,41,0,0,0,0,102,154,0,0,0,0,0,0,0,0,0,297,0,13,310,447
