ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PCHU,MORENA,PMCH,PPCH,PES,RSP,FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,0,VOTO EN EL EXTRANJERO,0,0,3,299,76,49,74,90,61,21,813,10,5,6,10,17,1531,3,39,1573,2601,
7,CHIAPAS,1,TUXTLA GUTIERREZ,126,295,296,8870,5172,1526,6444,4183,7480,1372,46074,864,647,553,684,710,84579,165,3764,88508,179730,
7,CHIAPAS,2,TUXTLA GUTIERREZ,72,282,285,10386,4372,1297,14688,4580,5749,2924,41865,1634,882,1573,3350,860,94160,182,4334,98676,175137,
7,CHIAPAS,3,CHIAPA DE CORZO,74,266,270,2255,2123,1249,27956,16256,3274,2471,39467,1515,361,614,3066,470,101077,44,4754,105875,161471,
7,CHIAPAS,4,YAJALON,56,214,216,1646,2779,971,38803,9134,4150,1011,16527,832,337,5501,2149,299,84139,45,5723,89907,123671,
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,59,241,243,5385,7014,2792,7432,9471,7405,1774,31593,1032,499,692,1485,621,77195,84,6049,83328,148334,
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,89,275,277,2622,5122,1036,23613,23933,2774,3765,27117,1312,644,978,4463,679,98058,34,5743,103835,165616,
7,CHIAPAS,7,OCOSINGO,86,288,290,1102,2070,703,29443,6259,2072,3692,38582,687,318,658,834,805,87225,44,4075,91344,162736,
7,CHIAPAS,8,SIMOJOVEL,79,280,281,1479,20128,692,15088,12380,1258,1462,32527,5510,388,768,6796,606,99082,39,5334,104455,153155,
7,CHIAPAS,9,PALENQUE,79,273,275,968,1202,905,38988,10775,1720,1288,41834,934,229,687,499,532,100561,236,3475,104272,160657,
7,CHIAPAS,10,LA TRINITARIA,80,215,216,981,2719,456,34538,2474,1351,916,41434,869,192,222,190,195,86537,63,3381,89981,128574,
7,CHIAPAS,11,BOCHIL,75,260,264,2643,8165,3324,8824,10421,2054,4718,36362,10261,483,1168,7929,616,96968,18,6543,103529,147971,
7,CHIAPAS,12,PICHUCALCO,124,318,328,1779,6529,1626,10537,8363,6097,4136,50813,2466,527,3825,8318,672,105688,56,5930,111674,169099,
7,CHIAPAS,13,TUXTLA GUTIERREZ,96,313,314,12735,5725,1748,6966,4618,7537,1698,47305,929,925,705,993,886,92770,183,3630,96583,192352,
7,CHIAPAS,14,CINTALAPA,92,281,283,2679,2851,1362,22406,7198,3481,2626,38192,6426,601,807,3228,965,92822,71,4697,97590,169369,
7,CHIAPAS,15,TONALA,127,342,347,3741,3766,1047,20542,4894,4183,5858,45796,1576,466,1802,3689,735,98095,63,3527,101685,189963,
7,CHIAPAS,16,HUIXTLA,119,336,337,2565,3600,1027,25404,10429,3172,2461,39145,1635,441,943,4064,431,95317,269,3719,99305,182974,
7,CHIAPAS,17,MOTOZINTLA,91,285,285,2809,11083,1256,17832,9392,2280,3889,17804,2875,463,1381,5474,688,77226,113,6466,83805,160581,
7,CHIAPAS,18,TAPACHULA,133,346,347,4275,6779,1026,15484,7715,5204,2954,41910,1373,403,3429,13498,721,104771,66,5350,110187,188398,
7,CHIAPAS,19,TAPACHULA,134,314,316,5456,4436,1078,11072,2753,4660,1119,47097,763,523,3265,752,726,83700,42,3411,87153,179521,
7,CHIAPAS,20,LAS MARGARITAS,90,306,306,1056,1695,874,32305,6730,1480,2991,47827,947,210,520,1169,452,98256,142,5311,103709,164007,
7,CHIAPAS,21,VENUSTIANO CARRANZA,85,280,280,1558,4616,1076,13164,18997,2114,2590,32768,1535,346,493,2099,663,82019,183,6000,88202,159387,
7,CHIAPAS,22,CHAMULA,77,275,276,881,43534,1070,5108,10581,1377,762,26407,4826,161,647,513,402,96269,35,5380,101684,149070,
7,CHIAPAS,23,VILLAFLORES,104,314,318,3302,3270,1016,13536,4846,2964,1128,55449,972,1722,720,2444,547,91916,70,5875,97861,180791,
7,CHIAPAS,24,CHILON,76,274,275,1197,12592,639,8628,31062,830,606,46057,750,159,469,1127,772,104888,182,3780,108850,152765,
