ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,48,63,63,705,2532,472,937,609,1895,4394,4174,0,0,247,134,254,40,14,8,197,186,24,16,24,42,78,4,70,5,29,17090,22,448,17560,27824,
18,NAYARIT,2,AHUACATLAN,17,26,26,897,560,86,561,381,2294,2349,0,0,0,0,68,155,40,12,3,153,107,11,14,19,34,35,9,30,2,11,7831,1,175,8007,12879,
18,NAYARIT,3,AMATLAN DE CAÑAS,21,25,25,569,174,107,1080,97,1941,401,0,0,0,1876,24,97,10,6,2,64,22,6,1,3,11,18,1,2,0,3,6515,0,202,6717,10068,
18,NAYARIT,4,BAHIA DE BANDERAS,56,214,214,15298,1904,776,2959,2514,2422,28350,1350,0,0,426,495,1405,218,116,86,1581,1304,74,148,144,205,400,60,480,31,138,62884,56,1541,64481,139756,
18,NAYARIT,5,COMPOSTELA,73,123,124,4058,1614,668,2280,1115,3095,11799,1781,0,0,433,292,588,106,34,33,606,609,31,69,50,89,245,22,161,17,44,29839,2,1009,30850,63932,
18,NAYARIT,6,HUAJICORI,19,24,24,30,373,42,266,160,2251,2187,0,0,0,0,106,27,4,1,2,174,46,13,20,23,18,30,14,21,6,27,5841,0,112,5953,8752,
18,NAYARIT,7,IXTLAN DEL RIO,24,43,43,4170,342,91,576,1830,320,4207,312,0,0,88,78,345,69,31,2,342,312,19,11,32,58,45,3,144,5,12,13444,4,314,13762,23432,
18,NAYARIT,8,JALA,18,30,30,3742,624,115,1141,218,497,2196,230,0,0,0,72,361,102,31,27,207,73,7,8,18,14,47,7,24,1,20,9782,0,312,10094,14745,
18,NAYARIT,9,DEL NAYAR,26,62,62,622,3289,112,4829,831,3664,2829,172,0,0,469,0,176,71,5,6,0,0,0,0,0,0,0,0,0,0,0,17075,29,1316,18420,30831,
18,NAYARIT,10,ROSAMORADA,43,60,60,1519,5030,985,470,1947,891,3087,837,0,0,1138,104,394,61,15,21,104,140,13,3,12,38,36,0,42,4,9,16900,0,564,17464,27113,
18,NAYARIT,11,RUIZ,27,42,42,712,414,149,619,254,829,2799,4815,0,0,0,77,85,13,4,4,160,117,20,13,21,19,31,3,25,5,20,11208,2,386,11596,18935,
18,NAYARIT,12,SAN BLAS,47,68,69,6477,732,246,383,229,758,2967,0,5700,448,39,111,566,165,74,5,78,177,25,24,6,26,64,4,46,21,14,19385,3,806,20194,32010,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,13,17,18,494,381,58,136,89,143,1278,46,0,0,1383,15,135,21,10,2,43,64,2,2,9,19,20,0,14,1,2,4367,0,123,4490,7119,
18,NAYARIT,14,SANTA MARIA DEL ORO,23,39,39,667,784,800,472,319,1159,3161,3473,0,0,208,116,450,34,34,14,167,135,14,26,17,27,67,4,37,4,14,12203,0,560,12763,20045,
18,NAYARIT,15,SANTIAGO IXCUINTLA,111,160,161,610,652,840,2662,1611,16360,14436,462,0,0,501,291,85,17,23,25,517,660,46,57,36,134,224,21,134,8,29,40441,12,1392,41845,74745,
18,NAYARIT,16,TECUALA,50,62,62,570,2846,320,1629,373,804,4458,191,0,0,5942,190,319,42,12,36,292,226,20,46,36,54,109,21,49,6,18,18609,3,540,19152,29342,
18,NAYARIT,17,TEPIC,311,606,607,17414,14256,3737,7842,4092,48272,46630,10279,0,0,9467,1565,2512,405,117,71,1501,2907,124,165,171,363,975,55,553,51,141,173665,126,5013,178804,328636,
18,NAYARIT,18,TUXPAN,34,50,50,722,1424,329,1985,397,1259,3565,4640,0,0,198,129,254,24,15,26,222,176,9,30,9,28,111,10,55,5,18,15640,0,320,15960,23767,
18,NAYARIT,19,XALISCO,25,81,82,3204,1160,223,1406,622,6267,8129,2625,0,0,563,156,307,45,15,9,96,407,18,13,17,72,122,6,94,2,11,25589,11,715,26315,48178,
18,NAYARIT,20,LA YESCA,11,21,21,633,154,54,239,176,1872,1793,0,0,0,0,60,93,22,6,2,129,67,3,18,14,13,31,2,30,1,20,5432,0,140,5572,8595,
