CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,C,1,0,C01,0,19,100,6,37,13,28,133,98,0,0,8,2,16,2,0,0,11,5,0,1,1,0,2,0,1,0,0,483,1,15,499,749,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,B,1,0,B,0,8,54,2,23,7,27,77,100,0,0,8,3,5,2,0,0,4,3,0,0,0,0,1,0,2,0,0,326,0,3,329,533,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,C,1,0,C01,0,8,39,5,18,8,35,67,101,0,0,8,1,6,0,0,0,2,6,0,0,0,0,4,0,1,0,2,311,0,8,319,532,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,B,1,0,B,0,5,37,4,14,2,21,56,49,0,0,3,1,5,3,1,0,1,0,0,0,0,1,1,0,2,0,1,207,1,4,212,324,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,B,1,0,B,0,16,60,7,22,5,38,97,127,0,0,2,3,5,0,1,0,3,3,0,0,0,0,4,0,2,0,1,396,3,7,406,599,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,B,1,0,B,0,9,51,4,19,9,25,83,141,0,0,2,4,5,0,0,0,6,10,1,1,0,1,0,0,2,0,2,375,0,6,381,582,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,B,1,0,B,0,14,32,1,9,3,17,31,49,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,162,5,6,173,250,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,B,1,0,B,0,9,43,6,23,4,18,72,92,0,0,1,2,4,1,2,0,4,5,0,0,0,0,4,0,1,0,1,292,2,8,302,426,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,B,1,0,B,0,10,48,21,17,5,34,73,70,0,0,3,2,5,2,0,0,3,5,0,2,0,0,2,0,1,0,0,303,4,8,315,522,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,C,1,0,C01,0,8,48,15,14,19,31,99,84,0,0,3,1,8,0,0,0,8,1,0,0,2,0,2,0,0,0,0,343,0,0,343,521,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,B,1,0,B,0,8,31,8,14,6,24,52,82,0,0,6,2,5,1,0,0,4,5,0,0,0,0,0,0,1,0,0,249,1,4,254,440,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,C,1,0,C01,0,8,27,27,19,4,18,56,77,0,0,2,2,9,0,0,0,3,2,1,0,0,0,1,0,1,0,0,257,0,7,264,440,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,B,1,0,B,0,6,28,11,28,7,18,67,99,0,0,3,2,7,0,0,0,6,1,1,0,0,0,1,0,1,1,0,287,0,5,292,470,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,C,1,0,C01,0,9,29,15,21,10,18,75,103,0,0,1,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,291,0,6,297,469,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,B,1,0,B,0,0,2,1,1,3,1,8,53,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,73,0,5,78,112,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,B,1,0,B,0,1,6,1,2,3,22,4,109,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,7,163,254,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,B,1,0,B,0,19,20,9,2,16,28,34,103,0,0,37,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,274,0,10,284,396,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,B,1,0,B,0,4,6,2,1,9,25,30,78,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159,0,7,166,228,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,B,1,0,B,0,18,19,12,10,18,103,63,52,0,0,11,4,4,0,0,0,0,7,1,0,0,4,0,0,1,1,2,330,0,17,347,550,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,B,1,0,B,0,9,66,5,11,15,10,55,76,0,0,5,5,4,1,0,0,0,1,0,0,1,1,0,0,1,0,1,267,0,6,273,408,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,C,1,0,C01,0,5,56,10,8,21,12,57,82,0,0,4,1,4,1,0,1,4,2,1,0,0,0,1,0,1,0,3,274,0,10,284,408,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,B,1,0,B,0,2,12,1,10,4,2,9,13,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,5,64,112,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,B,1,0,B,0,5,16,2,3,7,10,33,38,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,4,121,198,Grupo de recuento,,,
