CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,286,C,1,0,C01,0,25,21,17,112,11,7,46,101,13,17,19,4,0,0,0,6,1,5,2,407,1,19,427,710,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,287,B,1,0,B,0,36,22,11,51,10,4,37,102,17,54,12,5,1,1,0,3,1,2,2,371,1,9,381,633,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,287,C,1,0,C01,0,33,17,13,66,7,3,36,104,19,56,9,5,0,0,0,6,0,1,1,376,0,12,388,632,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,287,C,2,0,C02,0,40,17,10,53,10,4,43,107,4,44,13,5,0,0,0,7,0,0,0,357,0,14,371,632,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,288,B,1,0,B,0,38,25,13,65,26,5,43,96,11,15,14,1,0,0,0,9,1,5,1,368,0,16,384,629,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,288,C,1,0,C01,0,34,15,14,75,12,5,59,100,16,24,5,0,0,0,0,0,1,5,1,366,0,17,383,628,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,289,B,1,0,B,0,30,12,17,75,13,9,49,111,9,22,16,4,1,1,0,7,2,7,0,385,1,7,393,672,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,289,C,1,0,C01,0,31,16,11,72,13,9,48,112,10,26,19,2,0,0,0,3,0,2,1,375,4,14,393,671,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,289,C,2,0,C02,0,23,21,17,102,9,6,35,109,6,18,14,6,0,0,0,6,3,3,7,385,1,15,401,671,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,289,C,3,0,C03,0,29,19,15,85,16,8,44,113,7,17,23,6,1,0,0,9,2,1,2,397,0,11,408,671,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,289,C,4,0,C04,0,20,15,13,84,10,12,46,110,13,22,17,1,1,0,0,8,1,5,2,380,2,24,406,671,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,289,C,5,0,C05,0,28,19,10,92,18,9,35,102,11,28,10,5,1,1,0,8,1,4,0,382,0,16,398,671,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,289,C,6,0,C06,0,30,16,16,86,10,8,50,113,16,19,16,1,0,1,0,4,3,3,1,393,0,13,406,671,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,290,B,1,0,B,0,39,12,5,8,10,8,45,73,9,21,7,7,2,0,0,6,2,7,0,261,2,7,270,502,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,290,C,1,0,C01,0,40,17,5,67,11,4,34,82,12,18,9,3,0,0,0,6,1,2,0,311,1,21,333,501,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,291,B,1,0,B,0,72,28,14,31,7,3,40,64,13,44,8,8,1,2,0,2,0,1,1,339,0,15,354,535,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,291,C,1,0,C01,0,71,33,8,37,6,5,59,61,17,44,12,9,1,0,0,3,2,1,2,371,1,8,380,535,GRUPO DE RECUENTO,,,
