CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1027,2,2,185,91,6,109,6,16,41,108,37,8,19,11,7,0,0,10,0,5,1,660,1,27,688,1031
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1028,3,3,178,99,19,198,15,19,78,171,46,13,24,15,4,1,0,18,5,11,1,915,2,52,969,1513
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1029,2,2,53,30,0,55,7,2,32,73,17,0,12,8,3,0,0,14,2,2,0,310,0,18,328,1144
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1030,2,2,143,34,12,186,11,11,38,96,28,6,25,19,3,0,0,16,3,5,0,636,1,23,660,1116
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1031,3,3,151,88,14,306,12,11,58,212,49,5,24,13,0,0,0,23,0,13,0,979,2,43,1024,1785
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1032,2,2,173,60,18,196,9,4,47,151,49,4,27,20,3,0,0,16,4,8,8,797,1,28,826,1379
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1033,2,2,63,48,9,174,11,7,35,140,14,5,25,3,5,0,0,11,1,2,1,554,0,40,594,1045
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1034,2,2,211,108,11,162,11,15,58,127,40,12,14,26,4,2,0,12,3,10,1,827,0,42,869,1297
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1035,2,2,295,95,13,133,14,10,64,125,38,9,23,16,7,1,0,18,2,7,0,870,0,31,901,1357
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1036,2,2,145,63,12,141,17,8,36,147,48,5,34,21,6,0,1,9,1,4,0,698,1,34,733,1241
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1037,2,2,309,106,10,69,5,14,43,120,19,7,14,35,2,0,1,10,2,3,2,771,2,31,804,1054
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1038,2,2,251,78,51,83,3,7,49,54,8,7,5,32,5,0,0,10,1,4,2,650,4,23,677,867
2,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1039,17,19,5655,927,141,631,128,70,659,604,85,20,104,338,42,3,1,0,0,0,0,9408,5,148,9561,11061
