ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,AHUALULCO,14,29,29,44,174,844,3218,156,74,708,187,3519,18,0,0,0,0,0,231,109,61,7,,,,,9350,1,334,9685,15151,
24,SAN LUIS POTOSI,2,ALAQUINES,18,19,19,1261,482,48,1712,28,307,0,123,0,0,0,144,31,4,1,71,20,20,0,,,,,4252,2,122,4376,6479,
24,SAN LUIS POTOSI,3,AQUISMON,26,67,67,264,219,0,15039,290,0,0,10096,0,63,0,0,0,0,0,0,0,0,0,,,,,25971,7,1315,27293,36629,
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,10,11,11,169,1071,13,1370,0,0,21,320,0,0,6,126,31,2,1,0,0,0,0,,,,,3130,0,102,3232,4152,
24,SAN LUIS POTOSI,5,CARDENAS,20,30,30,227,100,17,2477,4317,82,35,1376,0,0,0,31,6,0,0,0,0,0,0,,,,,8668,3,415,9086,14959,
24,SAN LUIS POTOSI,6,CATORCE,18,20,20,27,0,0,1438,37,1283,0,65,2572,0,19,0,0,0,0,123,17,19,5,,,,,5605,1,203,5809,7461,
24,SAN LUIS POTOSI,7,CEDRAL,17,30,31,0,68,0,5040,0,139,1936,2426,416,0,0,0,0,0,0,0,0,0,0,,,,,10025,6,325,10356,15237,
24,SAN LUIS POTOSI,8,CERRITOS,26,39,39,2833,1050,121,4278,76,0,447,548,0,16,127,342,63,14,4,249,53,108,4,,,,,10333,2,435,10770,18538,
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,11,11,567,2055,0,1043,103,0,41,221,0,0,0,0,0,0,0,70,20,13,3,,,,,4136,3,91,4230,5142,
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,31,49,49,3318,668,103,2740,85,22,0,276,5986,11,0,359,104,16,4,221,58,84,10,,,,,14065,2,642,14709,24216,
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,67,67,2500,594,202,3985,755,102,4584,4852,308,0,0,309,60,28,4,852,196,288,196,,,,,19815,1,634,20450,38990,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,29,30,661,435,1733,2447,0,40,1628,3477,534,0,28,243,23,31,20,0,0,0,0,,,,,11300,1,426,11727,15840,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,240,241,12183,5836,9471,20719,3017,1655,4420,8753,1185,0,2386,2910,394,264,106,1855,531,649,216,2903,,,,79453,60,2345,81858,136996,
24,SAN LUIS POTOSI,14,COXCATLAN,13,25,25,1385,340,131,159,99,0,2927,622,1076,662,79,266,63,10,12,102,17,20,13,,,,,7983,0,509,8492,12490,
24,SAN LUIS POTOSI,15,CHARCAS,21,34,34,721,580,46,2889,116,0,421,399,506,0,3186,184,49,20,6,211,57,91,10,,,,,9492,3,470,9965,16569,
24,SAN LUIS POTOSI,16,EBANO,32,59,59,7497,180,5012,4375,288,0,237,876,55,0,44,0,0,0,0,319,67,150,23,,,,,19123,2,798,19923,31223,
24,SAN LUIS POTOSI,17,GUADALCAZAR,29,43,43,527,2620,90,6869,62,110,23,362,30,7,0,470,98,15,26,332,99,100,10,,,,,11850,1,521,12372,19387,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,21,213,1171,158,294,220,0,0,3060,57,2813,0,176,34,7,14,115,13,41,70,,,,,8456,1,450,8907,11839,
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,13,10,19,4,86,32,0,1406,118,0,1246,0,1,0,0,0,14,13,10,4,,,,,2963,0,296,3259,4857,
24,SAN LUIS POTOSI,20,MATEHUALA,64,141,142,16108,1952,638,7393,457,531,997,2040,6020,0,248,1727,446,125,17,781,244,276,63,,,,,40063,19,1451,41533,77893,
