CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,130,1,1,0,1,0,95,0,2,19,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,6,174,246
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,131,2,2,0,7,0,415,0,4,181,244,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,0,29,892,1350
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,132,1,1,0,0,0,72,0,0,16,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,9,133,177
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,133,1,1,0,4,0,109,0,2,41,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,9,234,334
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,134,1,1,0,4,0,154,0,1,51,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,4,293,387
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,135,1,1,0,2,0,292,0,4,92,178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,14,583,733
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,384,1,1,60,28,2,97,7,0,28,12,26,0,150,9,4,0,1,6,3,3,0,0,0,0,0,436,0,12,448,711
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,385,1,1,28,23,1,51,1,0,13,6,12,0,112,5,0,0,0,3,0,2,0,0,0,0,0,257,0,11,268,471
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,386,2,2,81,38,5,176,5,0,27,33,41,0,283,21,8,1,1,11,2,13,0,0,0,0,0,746,2,27,775,1335
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,387,2,2,73,40,1,200,6,0,30,29,21,0,283,17,6,3,0,16,3,10,1,0,0,0,0,739,1,39,779,1373
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,388,2,2,24,15,1,133,3,0,14,27,30,0,195,3,3,1,1,9,4,4,1,0,0,0,0,468,0,21,489,881
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,389,2,2,26,15,3,165,8,0,30,27,42,0,247,9,2,3,0,12,0,4,1,0,0,0,0,594,0,20,614,1024
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,390,1,1,35,21,5,141,3,0,23,28,21,0,144,1,0,0,0,8,1,0,1,0,0,0,0,432,0,23,455,739
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,391,2,2,35,21,0,116,3,0,15,26,32,0,207,7,1,4,2,17,2,5,1,0,0,0,0,494,0,21,515,819
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,392,5,5,108,72,8,546,22,0,93,96,71,0,728,28,3,6,0,43,5,17,1,0,0,0,0,1847,0,73,1920,3370
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,393,1,1,14,10,0,10,2,0,3,3,3,0,10,1,1,0,0,1,1,0,0,0,0,0,0,59,0,5,64,144
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,394,1,1,18,29,1,165,6,0,4,11,14,0,127,1,2,0,0,10,7,5,0,0,0,0,0,400,0,23,423,677
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,395,1,1,24,5,0,68,2,0,2,2,3,0,36,2,0,0,0,7,0,1,0,0,0,0,0,152,0,11,163,214
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,396,3,3,49,72,5,343,21,0,55,12,27,0,141,8,3,0,0,24,11,7,1,0,0,0,0,779,0,54,833,1285
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,397,1,1,17,25,2,80,3,0,22,6,5,0,32,2,4,1,0,6,0,1,1,0,0,0,0,207,0,18,225,343
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,398,1,1,17,13,2,26,2,0,14,3,4,0,120,2,0,0,0,2,0,0,0,0,0,0,0,205,0,7,212,309
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,399,1,1,27,12,2,29,0,0,0,5,8,0,23,2,1,0,0,1,2,1,0,0,0,0,0,113,0,7,120,157
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,400,1,1,3,15,0,37,1,0,8,3,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,89,0,4,93,132
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,401,2,2,24,32,1,85,6,0,4,12,33,0,77,2,4,0,1,7,5,6,0,0,0,0,0,299,0,14,313,521
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,402,2,2,41,68,3,158,5,0,8,24,30,0,131,8,4,1,0,11,4,11,1,0,0,0,0,508,0,42,550,896
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,403,1,1,17,26,4,221,3,0,10,17,22,0,95,1,3,0,0,17,7,1,1,0,0,0,0,445,0,15,460,695
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,404,1,1,0,0,0,42,7,0,18,17,44,0,40,55,0,0,0,0,0,0,0,0,0,0,0,223,0,23,246,473
2,24,SAN LUIS POTOSI,0,VOTO ANTICIPADO,20,MATEHUALA,0,0,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,7
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,490,2,2,379,52,10,140,6,6,17,38,115,0,2,46,10,6,0,16,5,3,2,0,0,0,0,853,2,23,878,1489
