ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,67,67,,,,,,102,4584,,308,,,3697,,,,11124,,,,,,,,19815,1,634,20450,38990,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,29,30,,,,2447,,40,1628,3477,534,,28,3146,,,,,,,,,,,,11300,1,426,11727,15840,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,240,241,,,,,,1655,4420,,1185,,2386,31164,,,,35740,,,,2903,,,,79453,60,2345,81858,136996,
24,SAN LUIS POTOSI,14,COXCATLAN,13,25,25,,,,,,,2927,,1076,662,79,2207,,,,1032,,,,,,,,7983,0,509,8492,12490,
24,SAN LUIS POTOSI,15,CHARCAS,21,34,34,,,,,,,421,,506,,3186,1606,,,,3773,,,,,,,,9492,3,470,9965,16569,
24,SAN LUIS POTOSI,16,EBANO,32,59,59,7497,180,5012,,,,237,,55,,44,,,,,6098,,,,,,,,19123,2,798,19923,31223,
24,SAN LUIS POTOSI,17,GUADALCAZAR,29,43,43,,,,,,110,23,,30,7,,3846,,,,7834,,,,,,,,11850,1,521,12372,19387,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,21,,,,,,,,,57,2813,,1773,,,,3813,,,,,,,,8456,1,450,8907,11839,
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,13,,,,,,,1406,,,1246,,34,,,,277,,,,,,,,2963,0,296,3259,4857,
24,SAN LUIS POTOSI,20,MATEHUALA,64,141,142,,,,,,531,997,,6020,,248,21013,,,,11254,,,,,,,,40063,19,1451,41533,77893,
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,81,82,1288,4502,,,,296,10097,,547,259,,,,,,9981,,,,,1138,,,28108,8,1106,29222,46789,
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,32,32,,,,,,1356,29,,2468,973,131,128,,,,4340,,,,,,,,9425,0,422,9847,15208,
24,SAN LUIS POTOSI,23,RAYON,18,27,27,115,,,1520,53,,76,2406,37,3251,,,,,,,,,,,,,,7458,5,420,7883,13217,
24,SAN LUIS POTOSI,24,RIOVERDE,88,159,160,,,,,,514,18002,,460,98,236,2771,,,,20428,,,,,,,,42509,6,1936,44451,82933,
24,SAN LUIS POTOSI,25,SALINAS,23,43,43,,,,,,4525,615,,45,49,394,4343,,,,1756,,,,,,,,11727,0,779,12506,23671,
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,15,15,,,,,,,2529,,,56,2450,,,,,720,,,,,,,,5755,0,221,5976,7353,
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,15,22,23,314,,,1948,,,789,1882,157,,19,,,,,,,,,,,,,5109,5,170,5284,9278,
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,394,1128,1132,,,,,,5363,23442,,8799,,4834,195165,,,,165606,,,,,,,,403209,556,11212,414977,688688,
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,32,2027,,,5494,,53,,3480,31,,,,,,,,,,,,,,,11085,1,325,11411,15604,
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,10,11,12,25,1301,,,,,41,,,,,,,,,1604,,,,,,,,2971,1,78,3050,4825,
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,26,5044,,,,,,32,,,,4,,,,,4599,,,,,,,,9679,1,258,9938,12185,
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,22,22,,,,,,,416,,306,2207,,74,,,,2377,,,,,,,,5380,1,301,5682,9599,
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,29,61,62,2182,3643,199,5833,,,1346,6217,,20,,,,,,,,,,,,,,19440,0,777,20217,33262,
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,25,25,,,,2983,1993,,,45,,,,1131,,,,,,,,,,,,6152,0,246,6398,9920,
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,111,383,385,,,,68624,,1585,8769,29916,2882,,2496,19083,,,,,,,,,,,,133355,137,6754,140246,247187,
24,SAN LUIS POTOSI,36,TAMASOPO,17,41,41,,,,3089,162,,653,3854,720,,33,4942,,,,,,,,,,,,13453,2,719,14174,22830,
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,133,134,,,,22067,,402,762,11457,434,1550,1177,1946,,,,,,,,,,,,39795,17,2520,42332,74022,
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,24,,,,3785,,32,91,4813,286,62,5,68,,,,,,,,,,,,9142,2,298,9442,12327,
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,21,21,,,,3567,,,750,3301,,,12,146,,,,,,,,,,,,7776,3,230,8009,10663,
24,SAN LUIS POTOSI,40,TAMUIN,35,57,57,,,,,,165,1264,,354,5887,257,4813,,,,2850,,,,,,,,15590,5,856,16451,27290,
24,SAN LUIS POTOSI,41,TANLAJAS,16,28,28,,,,1466,75,35,1732,4209,81,,,2445,,,,,,,,,,,,10043,7,434,10484,14120,
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,10,18,18,,,,780,,,47,4202,902,,,1678,,,,,,,,,,,,7609,0,188,7797,10434,
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,17,17,,,,,,,66,,184,,,2934,,,,1458,,,,,,,,4642,5,213,4860,7983,
24,SAN LUIS POTOSI,44,VANEGAS,14,16,16,,21,,759,20,20,524,1460,1044,,,,,,,,,,,,,,,3848,2,153,4003,5644,
24,SAN LUIS POTOSI,45,VENADO,20,26,26,,,,,,,332,,2326,7,1680,245,,,,3073,,,,,,,,7663,2,340,8005,11463,
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,23,23,,,,1172,55,,1403,449,47,782,1405,2585,,,,,,,,,,,,7898,1,431,8330,12424,
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,29,30,,,,5271,45,,999,3794,,,,293,,,,,,,,,,,,10402,3,302,10707,14344,
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,20,20,28,247,2083,,,598,487,,7,2,,,,,,1464,,,,,,,,4916,0,243,5159,7907,
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,10,,,,,,99,1138,,455,3,143,,,,,938,,,,,,,,2776,4,53,2833,4153,
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,55,55,,2000,,,,,4758,,42,,,,,,,9445,,,,,,,,16245,1,517,16763,28563,
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,70,71,,,,,,,376,,,,219,10387,,,,16359,,,,,,,,27341,36,819,28196,41998,
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,28,28,1282,710,,,,,134,,699,2053,,,,,,3022,,,,,,,,7900,5,397,8302,12789,
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,20,,,,,,,156,,1519,,,3235,,,,373,,,,,,,,5283,0,335,5618,9535,
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,44,44,613,7017,,,,121,111,,1032,,605,,,,,7016,,,,,,,,16515,9,961,17485,25428,
24,SAN LUIS POTOSI,55,XILITLA,47,75,76,274,277,39,12375,142,,,974,80,,55,,,,,,,,,,,9502,,23718,34,1558,25310,37931,
24,SAN LUIS POTOSI,56,ZARAGOZA,23,37,37,461,814,,,,574,4659,,,136,323,,,,,5935,,,,,,,,12902,91,482,13475,20721,
24,SAN LUIS POTOSI,57,EL NARANJO,17,30,30,2350,133,145,,,,1612,,31,247,7,,,,,570,,,,,,,4624,9719,0,840,10559,15822,
24,SAN LUIS POTOSI,58,MATLAPA,17,42,43,5952,387,31,,,,126,,48,,73,284,117,31,1,9170,,,,,,,,16220,25,614,16859,23381,
