CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,108,B,1,0,B,0,4,0,0,119,5,22,0,10,255,0,0,0,0,0,0,16,0,6,0,0,0,0,0,437,0,21,458,579,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,110,B,1,0,B,0,3,0,0,54,2,35,0,0,93,0,0,0,0,0,0,3,0,0,0,0,0,0,0,190,0,6,196,285,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,111,B,1,0,B,0,0,0,0,50,0,98,0,2,95,0,0,0,0,0,0,3,1,2,0,0,0,0,0,251,0,3,254,302,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,112,B,1,0,B,0,1,0,0,71,1,46,0,6,196,0,0,0,0,0,0,3,1,0,0,0,0,0,0,325,0,10,335,465,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,113,B,1,0,B,0,2,0,0,42,2,9,0,2,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,7,248,347,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,114,B,1,0,B,0,2,0,0,5,2,3,0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,6,123,164,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,115,B,1,0,B,0,4,0,0,36,4,36,0,4,147,0,1,0,0,0,0,9,1,2,1,0,0,0,0,245,1,11,257,348,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,116,B,1,0,B,0,0,0,0,47,1,82,0,3,66,0,0,0,0,0,0,2,2,0,0,0,0,0,0,203,0,17,220,291,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,117,B,1,0,B,0,0,0,0,19,0,81,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,8,168,223,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,118,B,1,0,B,0,1,0,0,97,1,97,0,1,114,0,0,0,0,0,0,6,0,0,0,0,0,0,0,317,0,18,335,429,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,0,VOTO ANTICIPADO,7,CEDRAL,0,A,15,0,VA15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,B,1,0,B,0,0,3,0,236,0,12,88,69,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,16,452,688,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,C,1,0,C01,0,0,2,0,212,0,12,88,86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,1,7,422,687,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,C,2,0,C02,0,0,3,0,200,0,11,93,73,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,1,13,421,687,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,C,3,0,C03,0,0,3,0,213,0,12,70,87,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,20,426,687,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,B,1,0,B,0,0,1,0,207,0,6,90,75,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,8,413,597,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,C,1,0,C01,0,0,0,0,181,0,7,81,60,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,16,371,596,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,C,2,0,C02,0,0,1,0,215,0,8,96,67,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,1,11,425,596,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,C,3,0,C03,0,0,1,0,204,0,5,88,53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,18,385,596,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,121,B,1,0,B,0,0,3,0,226,0,5,96,72,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,3,9,451,687,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,121,C,1,0,C01,0,0,3,0,224,0,11,83,84,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,15,446,686,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,121,C,2,0,C02,0,0,3,0,233,0,5,76,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,15,439,686,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,B,1,0,B,0,0,4,0,233,0,3,92,124,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,10,486,697,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,C,1,0,C01,0,0,3,0,233,0,7,106,105,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,15,495,697,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,C,2,0,C02,0,0,4,0,216,0,5,90,132,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,20,487,697,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,C,3,0,C03,0,0,0,0,229,0,8,109,109,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,14,494,697,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,123,B,1,0,B,0,0,0,0,51,0,1,17,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,3,108,157,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,124,B,1,0,B,0,0,3,0,97,0,1,25,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,10,186,263,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,125,B,1,0,B,0,0,2,0,62,0,0,10,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,8,167,213,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,125,E,1,0,E01,0,0,1,0,57,0,1,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,2,99,152,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,126,B,1,0,B,0,0,3,0,118,0,0,59,124,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,5,311,432,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,127,B,1,0,B,0,0,3,0,123,0,0,19,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,9,204,309,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,128,B,1,0,B,0,0,4,0,95,0,5,44,112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,6,268,387,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,129,B,1,0,B,0,0,0,0,37,0,1,8,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,4,89,114,ACTA CASILLA,,,
