CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1987,C,1,0,C01,0,95,13,3,4,7,17,218,0,5,3,0,0,3,368,0,4,372,644,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1988,B,1,0,B,0,89,9,1,7,10,9,213,0,7,6,1,1,3,356,0,10,366,630,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1988,C,1,0,C01,0,98,9,2,7,7,8,229,0,9,4,0,2,1,376,0,9,385,630,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1989,B,1,0,B,0,108,10,0,9,9,14,160,0,9,12,1,2,1,335,1,12,348,593,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1989,C,1,0,C01,0,104,18,2,6,5,15,162,0,15,4,1,1,3,336,0,7,343,593,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1990,B,1,0,B,0,103,3,0,5,9,20,229,0,7,16,1,0,4,397,0,6,403,682,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1990,C,1,0,C01,0,126,13,1,10,5,18,197,0,7,6,0,0,2,385,0,10,395,681,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1991,B,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1991,C,1,0,C01,0,103,8,0,7,8,8,193,0,5,3,0,1,0,336,0,8,344,604,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1992,B,1,0,B,0,122,5,1,2,2,5,177,0,2,1,0,0,1,318,0,10,328,624,COTEJO,,,
