CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,781,2,2,247,24,1,10,9,25,337,0,11,10,1,2,6,683,0,21,704,1307
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,782,2,2,218,24,0,11,10,17,302,0,18,14,1,3,6,624,0,25,649,1179
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,783,2,2,161,13,0,4,15,29,197,0,12,10,0,2,1,444,0,10,454,961
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,784,3,3,266,35,4,17,21,28,353,0,21,9,0,3,5,762,1,22,785,1612
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,786,1,1,119,16,0,3,12,5,107,0,9,6,0,0,2,279,0,5,284,544
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,804,1,1,99,15,0,1,8,19,88,0,11,5,2,2,3,253,0,8,261,510
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,805,1,1,130,9,0,2,7,9,128,0,11,1,0,0,1,298,0,5,303,526
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,806,2,2,180,26,0,2,12,18,166,0,13,5,0,1,1,424,0,9,433,753
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,807,2,2,235,40,0,10,10,19,209,0,14,10,0,1,3,551,1,13,565,1184
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,808,2,2,215,21,1,10,10,26,290,0,17,23,1,2,7,623,0,21,644,1218
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,809,2,2,178,23,2,15,24,20,281,0,6,9,2,0,3,563,0,15,578,1067
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,810,3,3,350,45,6,17,24,173,313,0,28,16,1,8,5,986,17,359,1362,1826
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,811,3,3,316,22,4,15,20,33,431,0,30,16,2,6,3,898,0,47,945,1749
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,812,5,5,656,54,6,26,38,61,743,0,37,26,5,6,15,1673,1,40,1714,3439
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,814,4,4,585,32,6,31,56,47,752,0,42,18,2,4,8,1583,0,46,1629,2835
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1818,1,1,118,5,1,6,12,9,169,0,5,4,0,4,2,335,0,5,340,583
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1819,1,1,122,10,1,1,5,7,116,0,3,0,2,1,0,268,0,3,271,483
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1820,1,1,102,10,1,6,8,16,155,0,8,1,2,1,2,312,0,12,324,545
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1821,1,1,55,3,0,1,5,6,83,0,0,5,0,0,0,158,0,5,163,323
