ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,15,16,482,697,228,906,,608,529,,,,,64,2965,30,6479,358,6867,9102,
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,23,23,2310,578,209,483,,1003,1466,,,,,84,3299,23,9432,492,9947,13130,
29,TLAXCALA,3,APIZACO,40,111,112,8000,3672,1478,4153,,5176,5841,,,,,405,15811,48,44536,2251,46835,69377,
29,TLAXCALA,4,ATLANGATEPEC,9,12,13,263,514,40,230,,1104,145,,,,,28,1537,0,3861,258,4119,5424,
29,TLAXCALA,5,ATLTZAYANCA,19,31,32,1111,2389,269,1010,,1073,446,,,,,195,4004,4,10497,609,11110,13895,
29,TLAXCALA,6,CALPULALPAN,21,66,67,1099,2004,2297,4007,0,1693,3778,0,0,0,0,105,7585,10,22568,1395,23973,38442,
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,20,20,701,1362,193,621,,328,1516,,,,,58,2752,5,7531,689,8225,12753,
29,TLAXCALA,8,CUAPIAXTLA,10,22,22,1889,746,546,1384,,1410,237,,,,,62,2293,1,8567,623,9191,11967,
29,TLAXCALA,9,CUAXOMULCO,5,8,9,372,300,71,722,,256,460,,,,,9,1428,0,3618,187,3805,4971,
29,TLAXCALA,10,CHIAUTEMPAN,30,93,94,5569,4739,3497,2459,,4106,3936,,,,,390,13251,41,37947,2066,40054,56721,
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,7,154,235,17,131,,153,131,,,,,5,1788,0,2614,202,2816,4010,
29,TLAXCALA,12,ESPAÑITA,12,17,17,318,640,53,181,979,148,172,2283,47,22,127,9,,1,4979,379,5359,7599,
29,TLAXCALA,13,HUAMANTLA,42,121,122,3713,4210,716,4096,4219,5967,1531,8154,1268,354,1689,247,6158,34,42322,3034,45390,73567,
29,TLAXCALA,14,HUEYOTLIPAN,12,23,23,200,764,80,648,451,936,435,4006,50,71,463,33,,2,8137,558,8697,12263,
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,25,55,56,491,1087,433,2458,2281,1287,1037,8027,504,842,658,30,,1,19135,1504,20640,31620,
29,TLAXCALA,16,IXTENCO,4,10,10,156,304,15,377,1787,207,116,931,86,170,212,17,,2,4378,232,4612,6010,
29,TLAXCALA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,4,14,15,43,136,3940,334,389,177,212,896,66,81,193,5,,0,6472,231,6703,8502,
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,17,45,46,530,606,5057,7245,,1042,1018,,,,,41,4690,3,20229,823,21055,29550,
29,TLAXCALA,19,TEPETITLA DE LARDIZABAL,9,27,27,415,332,173,1543,1143,726,321,5366,466,294,535,6,,1,11320,743,12064,16916,
29,TLAXCALA,20,SANCTORUM DE LAZARO CARDENAS,5,13,13,494,522,468,296,5,287,570,41,19,,,61,1764,1,4527,242,4770,6862,
29,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA,10,25,25,1245,2020,569,927,,504,446,,,,,184,3071,1,8966,482,9449,14640,
29,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO,4,9,10,200,70,152,1504,,216,107,,,,,25,2008,2,4282,178,4462,5352,
29,TLAXCALA,23,NATIVITAS,14,34,35,564,1722,76,3710,,1472,1588,,,,,21,4662,18,13815,748,14581,20568,
29,TLAXCALA,24,PANOTLA,16,38,38,839,1022,1156,1441,,1592,2005,,,,,42,6180,16,14277,1126,15419,22074,
29,TLAXCALA,25,SAN PABLO DEL MONTE,22,94,95,2956,4041,460,6633,5462,9075,1082,9086,441,581,2104,262,,12,42183,1932,44127,63275,
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,8,28,28,1017,653,675,4002,,853,445,,,,,50,3994,1,11689,586,12276,17595,
29,TLAXCALA,27,TENANCINGO,6,16,16,322,679,207,902,257,179,39,2642,27,83,400,11,,5,5748,470,6223,9780,
29,TLAXCALA,28,TEOLOCHOLCO,10,31,31,1589,389,197,4374,,609,372,,,,,131,6514,6,14175,646,14827,19434,
29,TLAXCALA,29,TEPEYANCO,7,19,19,173,123,115,3163,,299,178,,,,,7,3394,1,7452,285,7738,10018,
29,TLAXCALA,30,TERRENATE,8,19,19,543,337,76,1577,,1965,572,,,,,13,3166,0,8249,572,8821,11674,
29,TLAXCALA,31,TETLA DE LA SOLIDARIDAD,16,41,41,1422,525,388,2851,,4714,731,,,,,39,5440,12,16110,1070,17192,25439,
29,TLAXCALA,32,TETLATLAHUCA,7,18,18,76,81,69,4092,,170,192,,,,,1,2893,0,7574,204,7778,10361,
29,TLAXCALA,33,TLAXCALA,40,129,130,5485,6027,1443,3184,,9629,5282,,,,,433,21277,46,52760,2741,55547,81284,
29,TLAXCALA,34,TLAXCO,36,66,67,2837,4158,519,1784,,1232,475,,,,,236,10821,2,22062,1006,23070,34717,
29,TLAXCALA,35,TOCATLAN,3,8,8,95,113,15,168,201,193,39,869,14,18,383,6,,0,2114,135,2249,4897,
