CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,328,C,1,0,C01,15,30,4,102,0,0,46,0,0,0,0,0,81,0,278,10,288,0,454,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,329,B,1,0,B,15,33,3,84,0,46,20,0,0,0,0,0,194,0,395,19,414,0,580,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,329,C,1,0,C01,16,30,2,104,0,29,22,0,0,0,0,0,180,1,383,21,405,0,579,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,329,C,2,0,C02,14,41,0,93,0,60,25,0,0,0,0,0,191,0,424,23,447,0,579,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,330,B,1,0,B,12,33,4,105,0,61,17,0,0,0,0,0,219,0,451,23,474,0,680,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,330,C,1,0,C01,10,31,1,131,0,67,24,0,0,0,0,0,235,0,499,21,520,0,679,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,331,B,1,0,B,31,54,5,165,0,64,21,0,0,0,0,3,104,0,447,34,481,0,731,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,331,C,1,0,C01,25,51,3,179,0,53,20,0,0,0,0,0,142,0,473,27,500,0,731,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,588,B,1,0,B,21,52,4,50,0,35,55,0,0,0,0,5,262,2,484,30,516,0,687,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,588,C,1,0,C01,22,54,12,62,0,43,64,0,0,0,0,0,245,0,502,40,542,0,687,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,589,B,1,0,B,28,84,12,37,0,42,55,0,0,0,0,1,169,0,428,17,445,0,604,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,589,C,1,0,C01,27,58,6,38,0,35,38,0,0,0,0,3,195,0,400,28,428,0,604,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,589,C,2,0,C02,30,62,5,48,0,39,34,0,0,0,0,1,181,0,400,35,435,0,604,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,589,C,3,0,C03,25,69,11,39,0,39,57,0,0,0,0,1,185,0,426,19,445,0,604,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,590,B,1,0,B,40,44,11,57,0,27,43,0,0,0,0,4,227,0,453,24,477,0,643,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,590,C,1,0,C01,46,54,7,48,0,32,59,0,0,0,0,0,191,1,437,27,465,0,643,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,590,C,2,0,C02,33,57,11,53,0,30,53,0,0,0,0,4,208,0,449,23,472,0,643,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,590,C,3,0,C03,42,50,9,56,0,28,56,0,0,0,0,0,202,0,443,35,478,0,642,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,590,C,4,0,C04,26,61,6,54,0,30,31,0,0,0,0,2,197,1,407,30,438,0,642,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,590,C,5,0,C05,27,49,7,42,0,37,43,0,0,0,0,4,234,0,443,30,473,0,642,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,591,B,1,0,B,33,55,8,46,0,28,71,0,0,0,0,3,207,0,451,28,479,0,671,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,591,C,1,0,C01,30,73,4,47,0,42,53,0,0,0,0,2,199,0,450,34,484,0,671,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,591,C,2,0,C02,40,66,3,51,0,40,57,0,0,0,0,4,219,0,480,13,493,0,670,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,591,C,3,0,C03,36,67,11,52,0,44,49,0,0,0,0,8,188,0,455,25,480,0,670,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,592,B,1,0,B,28,44,6,58,0,33,85,0,0,0,0,1,201,0,456,26,482,0,672,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,592,C,1,0,C01,38,46,11,37,0,27,70,0,0,0,0,4,227,0,460,26,486,0,672,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,592,C,2,0,C02,25,56,0,66,0,23,60,0,0,0,0,0,236,0,466,28,494,0,672,GRUPO DE RECUENTO,,,
