CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1973,0,1,33,14,2,11,1,201,86,5,2,355,0,7,362,0
1,14,JALISCO,20,TONALA,72,EL SALTO,2024,0,2,75,49,2,21,12,181,200,11,17,568,0,16,584,0
1,14,JALISCO,20,TONALA,72,EL SALTO,2029,0,1,34,24,2,15,16,95,196,11,10,403,2,15,420,0
1,14,JALISCO,2,LAGOS DE MORENO,75,SAN JUAN DE LOS LAGOS,2093,0,1,83,16,2,6,2,72,50,4,1,236,0,16,252,0
1,14,JALISCO,2,LAGOS DE MORENO,75,SAN JUAN DE LOS LAGOS,3667,0,1,23,6,0,5,1,33,16,5,2,91,0,2,93,0
1,14,JALISCO,5,PUERTO VALLARTA,85,TALPA DE ALLENDE,2213,0,1,2,23,0,32,1,27,58,3,0,146,0,6,152,0
1,14,JALISCO,18,AUTLAN DE NAVARRO,87,TAPALPA,2261,0,1,71,38,4,5,6,153,110,8,11,406,0,19,425,0
1,14,JALISCO,1,TEQUILA,95,TEQUILA,2397,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,3610,0,1,17,10,0,2,1,38,32,1,0,101,0,4,105,0
1,14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,2467,0,1,30,19,1,4,3,104,66,3,2,232,0,7,239,0
1,14,JALISCO,14,TLAJOMULCO DE ZUÑIGA,98,TLAJOMULCO DE ZUÑIGA,3595,0,1,20,18,2,3,2,96,166,4,4,315,0,1,316,0
1,14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,3827,0,1,27,7,2,5,3,56,52,2,1,155,0,5,160,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2474,0,1,42,16,3,13,6,74,85,6,5,250,0,7,257,0
1,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,99,SAN PEDRO TLAQUEPAQUE,2523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,JALISCO,7,TONALA,102,TONALA,2687,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,JALISCO,20,TONALA,102,TONALA,2693,0,1,31,24,4,10,4,100,101,9,12,295,1,22,318,0
1,14,JALISCO,2,LAGOS DE MORENO,116,VILLA HIDALGO,2849,0,1,22,2,0,2,1,17,23,1,1,69,0,1,70,0
1,14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,3073,0,1,33,7,1,4,7,70,32,4,5,163,0,0,163,0
1,14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,JALISCO,6,ZAPOPAN,120,ZAPOPAN,3033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3111,0,2,25,7,0,0,0,38,9,1,3,83,0,6,89,0
1,14,JALISCO,10,ZAPOPAN,120,ZAPOPAN,3183,0,2,3,1,0,0,0,3,1,0,1,9,0,0,9,0
1,14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,120,ZAPOPAN,3119,0,2,30,19,1,2,2,64,17,0,4,139,0,1,140,0
1,14,JALISCO,3,TEPATITLAN DE MORELOS,124,ZAPOTLANEJO,3287,0,1,57,48,3,13,6,128,112,8,11,386,9,2,397,0
