ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,24,RIOVERDE,88,159,160,8789,2456,686,13549,713,953,4087,6586,1218,259,777,597,140,52,34,483,151,362,74,41966,43,2557,44566,82932,
24,SAN LUIS POTOSI,25,SALINAS,23,43,43,917,1811,301,3896,326,1147,623,1474,104,29,48,337,63,10,32,183,92,113,23,11529,8,847,12384,23671,
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,15,15,91,79,17,1623,128,4,1607,985,290,46,472,8,3,0,0,64,21,35,9,5482,2,428,5912,7353,
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,15,22,22,595,161,38,1658,94,52,580,1600,111,16,57,23,7,1,1,17,14,18,4,5047,0,348,5395,9275,
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,394,1128,1140,101464,34413,5898,90184,6961,6331,34442,73177,10077,3064,8396,9980,1851,341,166,6790,1084,3045,696,398360,605,16898,415863,688659,
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,31,1408,106,37,3538,89,37,83,2098,1040,24,250,25,8,9,1,25,21,15,9,8823,2,549,9374,15603,
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,10,11,11,72,838,24,996,25,19,87,475,22,7,4,16,4,2,0,34,10,43,1,2679,3,199,2881,4824,
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,26,655,549,40,1350,376,38,201,2219,267,2262,94,19,11,8,8,101,53,58,10,8319,2,751,9072,12185,
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,22,22,79,131,27,498,657,90,295,1466,232,4453,55,4,2,1,8,153,66,29,36,8282,14,880,9176,9599,
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,29,61,61,2945,3056,247,4616,244,221,1682,4978,942,114,88,117,34,7,0,53,26,49,19,19438,7,972,20417,33260,
