CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1368,1,1,62,3,0,0,26,130,71,2,0,4,0,1,0,17,0,0,0,0,316,0,13,329,538
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1369,1,1,18,5,3,0,28,74,47,1,0,0,1,1,0,13,0,0,0,0,191,0,5,196,370
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1371,1,1,13,3,0,0,14,51,32,5,0,2,0,0,0,4,0,0,0,0,124,0,3,127,192
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,34,IGNACIO ZARAGOZA,1374,1,1,18,2,11,0,11,64,46,1,0,3,0,0,0,10,0,0,0,0,166,0,5,171,306
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1375,2,2,187,41,5,6,9,109,257,10,41,8,3,0,0,0,0,0,0,0,676,0,46,722,1253
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1376,2,2,123,35,3,5,5,61,186,1,15,2,5,1,0,0,0,0,0,0,442,0,22,464,791
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1377,2,2,153,58,7,8,13,83,280,9,62,13,9,1,0,0,0,0,0,0,696,0,41,737,1288
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1379,3,3,419,42,3,9,3,22,149,1,17,5,5,0,0,0,0,0,0,0,675,0,34,709,1933
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1380,1,1,58,23,1,1,4,79,104,3,25,4,3,0,0,0,0,0,0,0,305,0,14,319,527
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1381,2,2,94,29,7,5,10,84,164,0,10,7,3,0,0,0,0,0,0,0,413,0,24,437,978
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1382,1,1,134,4,0,0,0,30,9,0,4,3,0,0,0,0,0,0,0,0,184,0,0,184,601
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1383,1,1,121,23,7,5,4,23,82,1,4,6,0,0,0,0,0,0,0,0,276,0,11,287,521
