ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,46,MORELOS,8,12,12,,,,,,109,2018,,,,,,,,2127,1,853,2981,5350,
8,CHIHUAHUA,47,MORIS,8,11,11,,,,,,50,1366,,24,274,,,,,1714,0,126,1840,3681,
8,CHIHUAHUA,48,NAMIQUIPA,41,55,55,,,,,,1098,,,39,4024,4277,,,,9438,0,419,9857,20665,
8,CHIHUAHUA,49,NONOAVA,4,7,7,,,,1296,,3,14,,,783,,,,,2096,5,124,2225,2918,
8,CHIHUAHUA,50,NUEVO CASAS GRANDES,64,100,100,,,,1749,,6647,,471,260,6955,8441,,,,24523,8,1382,25913,53863,
8,CHIHUAHUA,51,OCAMPO,13,16,16,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,6496,
8,CHIHUAHUA,52,OJINAGA,27,52,53,,,,304,,58,,21,19,,3046,,9246,,12694,0,525,13219,27155,
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,11,11,,,,233,,36,,,77,1568,1264,,,,3178,1,236,3415,5690,
8,CHIHUAHUA,54,RIVA PALACIO,9,16,16,,,,,,48,682,,22,2703,,,,,3455,0,61,3516,7847,
8,CHIHUAHUA,55,ROSALES,16,27,27,,,,1091,,456,,40,332,3313,2979,,,,8211,0,362,8573,14477,
8,CHIHUAHUA,56,ROSARIO,4,5,5,,,,,,7,,,,1124,143,,,,1274,0,60,1334,2143,
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,6,7,7,,,,65,,788,,,11,563,124,,,,1551,0,82,1633,2370,
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,6,7,7,,,,,,475,583,,,742,,,,,1800,1,45,1846,2742,
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,12,,,,932,,387,,628,,273,543,,,,2763,0,114,2877,4181,
8,CHIHUAHUA,60,SANTA BARBARA,20,22,22,,,,,,1634,904,59,457,,,,,2684,5738,1,191,5930,8976,
8,CHIHUAHUA,61,SATEVO,13,13,13,,,,,,36,,6,6,1497,881,,,,2426,0,96,2522,4269,
8,CHIHUAHUA,62,SAUCILLO,32,46,46,,,,211,,1030,,778,75,5732,5389,,,,13215,0,546,13761,25680,
8,CHIHUAHUA,63,TEMOSACHIC,12,15,15,,,,,,39,2088,35,,,,868,,,3030,0,148,3178,5223,
8,CHIHUAHUA,64,EL TULE,6,7,7,,,,,,5,974,,4,,,963,,,1946,0,26,1972,2648,
8,CHIHUAHUA,65,URIQUE,16,29,29,,,,,190,94,4222,,81,3621,,,,,8208,18,551,8777,14047,
8,CHIHUAHUA,66,URUACHI,11,15,15,,,,,,50,,,,1717,1351,,,,3118,2,188,3308,5021,
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,12,14,14,,,,,162,710,143,,772,518,,,,,2305,0,125,2430,4298,
