ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,49,NONOAVA,4,7,7,673,92,18,1296,,3,14,,,2096,5,124,2225,2918,
8,CHIHUAHUA,50,NUEVO CASAS GRANDES,64,100,100,4564,1856,535,1749,1884,6647,6557,471,260,24523,8,1382,25913,53863,
8,CHIHUAHUA,51,OCAMPO,13,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6496,
8,CHIHUAHUA,52,OJINAGA,27,52,53,4707,4383,156,304,173,58,2873,21,19,12694,0,525,13219,27155,
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,11,11,364,877,327,233,77,36,1187,,77,3178,1,236,3415,5690,
8,CHIHUAHUA,54,RIVA PALACIO,9,16,16,2436,225,42,,,48,682,,22,3455,0,61,3516,7847,
8,CHIHUAHUA,55,ROSALES,16,27,27,2480,705,128,1091,1223,456,1756,40,332,8211,0,362,8573,14477,
8,CHIHUAHUA,56,ROSARIO,4,5,5,94,985,45,,64,7,79,,,1274,0,60,1334,2143,
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,6,7,7,75,472,16,65,16,788,108,,11,1551,0,82,1633,2370,
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,6,7,7,164,553,25,,,475,583,,,1800,1,45,1846,2742,
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,12,189,70,14,932,418,387,125,628,,2763,0,114,2877,4181,
8,CHIHUAHUA,60,SANTA BARBARA,20,22,22,491,2107,86,,,1634,904,59,457,5738,1,191,5930,8976,
8,CHIHUAHUA,61,SATEVO,13,13,13,1386,92,19,,97,36,784,6,6,2426,0,96,2522,4269,
8,CHIHUAHUA,62,SAUCILLO,32,46,46,4341,1172,219,211,272,1030,5117,778,75,13215,0,546,13761,25680,
8,CHIHUAHUA,63,TEMOSACHIC,12,15,15,269,328,271,,,39,2088,35,,3030,0,148,3178,5223,
8,CHIHUAHUA,64,EL TULE,6,7,7,910,35,18,,,5,974,,4,1946,0,26,1972,2648,
8,CHIHUAHUA,65,URIQUE,16,29,29,2953,484,184,,190,94,4222,,81,8208,18,551,8777,14047,
8,CHIHUAHUA,66,URUACHI,11,15,15,146,1537,34,,85,50,1266,,,3118,2,188,3308,5021,
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,12,14,14,159,272,87,,162,710,143,,772,2305,0,125,2430,4298,
