CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,165,2,2,38,16,3,188,16,37,305,6,0,4,19,1,6,4,643,2,27,672,1164
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,167,2,2,36,20,3,267,13,24,300,9,0,2,26,3,8,7,718,1,19,738,1429
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,168,17,17,1868,389,131,905,176,604,2697,104,0,99,168,25,48,45,7259,16,222,7497,12332
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,596,1,1,23,7,4,33,15,33,206,4,0,1,6,0,3,3,338,0,8,346,619
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,597,1,1,8,4,3,65,4,20,126,4,0,0,8,0,3,0,245,2,4,251,433
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,598,2,2,32,18,7,139,7,32,275,8,0,2,20,0,6,1,547,0,13,560,946
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,599,2,2,21,15,5,85,10,22,228,9,0,2,27,3,5,0,432,1,12,445,805
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,600,1,1,5,2,0,53,2,6,55,0,0,0,9,0,0,2,134,1,5,140,236
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,601,1,1,22,2,3,45,1,28,177,4,0,2,19,1,33,9,346,0,10,356,592
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,602,1,1,17,12,2,58,4,26,129,2,0,1,8,0,5,1,265,2,6,273,442
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,603,1,1,3,5,1,43,1,8,55,3,0,0,4,0,2,1,126,0,3,129,260
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,604,2,2,23,11,3,208,3,29,185,2,0,2,15,1,8,5,495,1,10,506,776
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,605,1,1,27,9,7,73,17,26,151,4,0,1,12,0,0,0,327,0,18,345,598
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,606,2,2,37,14,14,140,11,37,220,4,0,1,16,0,5,3,502,2,12,516,786
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,607,1,1,34,13,2,130,10,28,224,8,0,0,0,0,0,0,449,1,11,461,722
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,608,1,1,24,5,2,95,11,34,172,4,0,1,8,0,3,2,361,1,10,372,633
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,609,1,1,29,18,3,79,14,23,187,5,0,0,9,0,0,4,371,0,11,382,695
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,610,1,1,70,10,7,33,12,37,183,5,0,1,7,3,1,0,369,7,0,376,647
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,611,2,2,69,27,4,102,10,43,201,10,0,7,13,0,2,1,489,1,8,498,793
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,612,2,2,70,21,4,80,18,48,293,9,0,1,19,2,2,2,569,1,17,587,933
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,613,2,2,28,6,2,104,11,32,213,3,0,2,13,2,2,2,420,2,12,434,776
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,614,1,1,70,23,12,56,11,51,175,3,0,5,15,0,5,1,427,1,10,438,660
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,615,1,1,80,15,8,62,13,28,222,10,0,1,15,1,2,4,461,1,9,471,713
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,616,2,2,59,23,7,87,12,45,238,8,0,0,16,0,5,5,505,1,15,521,827
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,617,1,1,42,15,6,90,20,50,189,10,0,0,12,0,3,1,438,2,10,450,719
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,618,1,1,7,4,1,142,3,15,77,3,0,0,8,0,3,1,264,0,6,270,459
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,619,2,2,19,15,5,346,9,19,177,4,0,1,16,1,17,2,631,2,26,659,1123
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,621,2,2,103,21,7,47,15,49,251,8,0,4,19,0,2,4,530,4,27,561,836
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,622,2,2,134,30,11,38,16,49,204,4,0,6,13,2,0,2,509,0,20,529,837
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,623,2,2,98,31,7,79,17,48,288,10,0,5,9,1,0,1,594,1,12,607,899
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,624,1,1,42,11,2,47,9,29,147,3,0,2,7,0,0,4,303,1,7,311,488
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,625,2,2,50,27,8,76,11,47,225,5,0,5,13,1,1,3,472,1,15,488,772
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,626,22,22,3183,710,214,558,210,887,3285,142,0,126,184,3,23,35,9560,9,233,9802,16407
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,627,3,3,343,77,21,101,28,140,525,21,0,14,36,0,2,2,1310,3,42,1355,2230
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,628,3,3,126,48,23,107,27,104,545,22,0,2,40,2,4,4,1054,2,44,1100,1797
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,629,6,6,631,179,36,155,34,195,809,36,0,32,49,0,9,10,2175,2,48,2225,3897
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,630,2,2,29,4,62,149,6,10,182,4,0,1,18,0,6,5,476,2,9,487,795
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,1091,4,4,182,53,17,290,28,95,599,25,0,5,23,19,11,5,1352,14,40,1406,2570
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,1092,2,2,24,12,8,223,12,44,257,8,0,1,20,0,4,7,620,0,12,632,1079
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,579,2,2,16,16,5,235,21,32,315,8,0,3,21,0,8,5,685,0,17,702,1289
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,580,1,1,7,3,7,132,10,17,150,1,0,0,5,1,4,0,337,0,11,348,571
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,581,1,1,8,4,1,84,4,13,97,0,0,0,4,0,1,1,217,0,8,225,344
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,582,1,1,4,4,3,67,6,7,115,0,0,0,12,0,0,0,218,1,6,225,384
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,583,1,1,8,3,2,61,1,8,77,3,0,0,6,0,1,1,171,0,5,176,278
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,584,1,1,1,1,3,51,4,7,41,1,0,0,0,2,0,0,111,0,3,114,165
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,585,3,3,12,17,7,296,15,45,370,11,0,2,26,1,8,4,814,1,20,835,1529
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,586,1,1,1,3,0,39,4,19,87,2,0,0,2,1,1,2,161,0,6,167,271
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,587,1,1,4,5,2,77,1,16,94,2,0,0,4,0,2,0,207,0,10,217,303
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,588,1,1,4,1,0,70,3,14,64,1,0,0,3,0,1,2,163,0,2,165,268
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,589,1,1,5,5,1,81,2,10,139,2,0,0,11,0,2,1,259,0,5,264,464
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,590,1,1,5,4,2,111,7,7,101,1,0,8,0,2,0,0,248,0,9,257,369
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,591,15,15,130,60,29,1329,84,260,2279,41,0,11,116,1,26,15,4381,10,126,4517,10290
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,592,3,3,29,13,10,248,28,34,438,8,0,1,35,0,10,5,859,1,18,878,1652
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,593,1,1,10,3,2,75,4,14,125,2,0,1,6,0,1,2,245,1,8,254,463
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,594,2,2,26,9,5,100,9,26,244,4,0,1,12,0,7,2,445,3,19,467,759
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,595,2,2,17,6,5,58,10,35,277,3,0,1,12,0,1,2,427,5,7,439,845
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,620,2,2,13,15,5,108,8,20,200,4,0,1,18,0,5,3,400,0,30,430,948
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,631,5,5,25,33,13,985,21,47,532,11,0,2,31,2,27,8,1737,4,45,1786,3246
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,632,14,14,208,107,33,1066,106,322,2225,47,0,23,133,17,46,38,4371,11,134,4516,10341
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,633,5,5,34,16,7,760,22,53,444,12,0,2,29,5,17,6,1407,3,48,1458,3236
