CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,239,E,1,1,E01C01,0,3,5,94,18,9,1,141,2,0,0,0,7,0,0,280,0,7,287,417,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,240,B,1,0,B,0,2,4,80,128,7,3,75,2,0,0,0,3,12,0,316,0,10,326,456,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,240,C,1,0,C01,0,0,1,80,150,8,2,85,5,0,0,1,0,11,0,343,0,8,351,456,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,241,B,1,0,B,0,1,4,174,19,15,6,184,3,0,0,3,0,3,0,412,0,15,427,684,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,241,C,1,0,C01,0,1,2,170,28,14,6,184,4,0,0,9,1,1,0,420,0,17,437,684,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,241,C,2,0,C02,0,3,3,187,24,9,11,167,6,0,0,10,0,0,2,422,0,18,440,683,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,242,B,1,0,B,0,3,4,192,31,13,6,154,4,0,0,3,1,2,3,416,0,2,418,706,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,242,C,1,0,C01,0,4,2,197,34,20,8,126,11,0,0,8,1,2,1,414,0,19,433,705,RECONTADO EN GRUPO DE TRABAJO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,243,B,1,0,B,0,0,9,64,138,19,3,93,4,0,0,2,2,2,0,336,0,10,346,452,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,244,B,1,0,B,0,3,1,182,30,11,8,126,8,0,0,5,2,3,1,380,0,27,407,648,RECONTADO EN GRUPO DE TRABAJO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,244,E,1,0,E01,0,0,1,106,32,8,5,84,9,0,0,2,1,1,1,250,0,13,263,364,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,244,E,2,0,E02,0,1,3,151,62,11,6,99,4,0,1,1,0,0,0,339,0,6,345,477,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,245,B,1,0,B,0,0,4,120,16,5,4,65,2,0,0,5,0,1,0,222,0,18,240,407,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,245,C,1,0,C01,0,1,0,103,22,8,9,81,4,0,0,4,0,1,0,233,0,9,242,407,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,247,B,1,0,B,0,2,8,138,24,18,14,102,15,0,0,7,2,3,0,333,0,12,345,729,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,247,E,1,0,E01,0,2,5,172,36,18,6,118,5,0,0,4,2,2,0,370,0,19,389,625,RECONTADO EN GRUPO DE TRABAJO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,247,E,1,1,E01C01,0,1,6,146,45,9,6,109,5,0,1,7,1,1,1,338,0,27,365,624,RECONTADO EN GRUPO DE TRABAJO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,247,E,2,0,E02,0,1,4,120,50,13,3,78,5,0,0,1,0,0,0,275,0,23,298,427,RECONTADO EN GRUPO DE TRABAJO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,248,B,1,0,B,0,9,8,29,41,8,9,180,5,0,0,17,0,7,1,314,0,19,333,599,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,249,B,1,0,B,0,2,0,149,29,6,2,137,1,0,1,1,0,4,3,335,0,17,352,535,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,249,C,1,0,C01,0,4,4,145,23,6,3,156,3,0,0,4,1,1,1,351,0,17,368,534,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,249,C,2,0,C02,0,1,2,122,25,8,2,148,7,0,0,2,1,2,2,322,0,17,339,534,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,249,E,1,0,E01,0,3,2,239,34,12,3,201,7,0,0,2,1,3,1,508,0,28,536,670,RECONTADO EN GRUPO DE TRABAJO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,250,B,1,0,B,0,7,6,82,44,31,7,199,21,0,0,3,0,1,0,401,0,13,414,563,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,250,E,1,0,E01,0,6,20,167,58,26,8,101,13,0,0,5,1,2,0,407,0,18,425,664,COTEJADO EN PLENO,,,
