CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1486,2,2,33,11,4,20,42,16,372,12,9,519,2,36,557,1232
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1487,2,2,24,8,4,13,26,28,284,13,4,404,0,17,421,899
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1488,2,2,29,15,2,27,41,43,363,13,11,544,2,30,576,1263
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1489,2,2,21,6,1,16,29,16,233,16,5,343,2,22,367,823
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1490,3,3,27,18,9,21,40,28,425,23,20,611,0,61,672,1518
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1491,2,2,32,11,1,17,30,28,315,15,13,462,0,39,501,1076
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1492,2,2,26,16,4,23,45,21,363,36,11,545,1,48,594,1238
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1493,2,2,86,24,3,29,36,43,272,24,4,521,2,27,550,1076
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1494,1,1,54,10,3,21,21,29,191,18,4,351,1,23,375,742
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1495,2,2,29,15,0,24,32,23,274,15,14,426,3,22,451,945
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1496,2,2,34,19,3,23,32,43,222,25,9,410,0,19,429,782
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1497,7,7,875,265,29,70,119,229,535,75,35,2232,6,88,2326,4851
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1499,12,12,887,285,19,232,235,407,1662,185,87,3999,5,191,4195,8061
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1500,2,2,68,22,1,34,28,50,303,23,10,539,1,28,568,1061
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1501,2,2,60,18,3,29,27,39,232,12,15,435,2,24,461,838
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1502,2,2,130,32,5,33,32,50,240,26,6,554,0,28,582,1022
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1503,3,4,247,73,11,81,82,123,626,58,37,1338,4,88,1430,938
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1504,3,3,110,31,5,35,36,63,383,27,11,701,2,40,743,1559
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1505,2,2,76,20,2,40,43,44,362,25,12,624,0,21,645,1180
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1506,1,1,54,20,3,9,29,33,178,11,5,342,0,16,358,628
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1507,1,1,77,15,0,24,33,28,117,12,3,309,0,16,325,627
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1508,1,1,86,14,2,17,29,30,176,21,10,385,0,20,405,744
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1509,1,1,43,6,0,15,23,14,128,9,2,240,0,21,261,460
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1510,2,2,46,9,1,22,41,21,231,12,9,392,0,30,422,794
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1511,2,2,58,15,6,23,48,31,228,23,10,442,0,29,471,981
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1512,1,1,42,12,4,27,37,20,207,13,5,367,1,9,377,703
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1513,1,1,40,6,1,17,16,26,132,17,5,260,0,10,270,491
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1514,1,1,42,10,1,21,17,17,165,14,3,290,0,23,313,621
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1515,1,1,55,13,4,34,20,36,178,21,7,368,0,10,378,718
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1516,2,2,57,18,0,24,30,42,233,15,8,427,0,15,442,792
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1517,1,1,41,8,4,17,17,25,214,7,5,338,0,19,357,671
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1518,3,3,133,55,5,50,63,88,492,51,23,960,0,58,1018,2020
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1519,2,2,94,21,2,26,23,43,264,20,15,508,1,32,541,984
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1521,2,2,66,14,0,26,29,30,329,10,13,517,0,33,550,945
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1522,3,3,62,27,5,50,68,53,467,20,13,765,1,39,805,1519
