CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,2,CARDENAS,2,CARDENAS,105,C,2,0,C02,0,3,23,56,5,8,8,119,,,222,0,26,248,564,Grupo de recuento,,,http://iepct.mx/computos/2024/DIP/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,106,B,1,0,B,0,4,9,35,13,9,7,183,,,260,0,70,330,528,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0106_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,106,C,1,0,C01,0,2,19,52,17,17,5,166,,,278,0,13,291,527,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0106_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,106,E,1,0,E01,0,0,2,12,2,1,0,82,,,99,0,0,99,171,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0106_E01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,107,B,1,0,B,0,2,4,22,35,8,3,313,,,387,0,11,398,677,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0107_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,107,C,1,0,C01,0,1,3,21,34,1,3,393,,,456,0,45,501,677,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0107_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,108,B,1,0,B,0,6,21,49,18,5,6,233,,,338,0,26,364,702,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0108_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,110,B,1,0,B,0,4,5,19,25,13,7,168,,,241,0,24,265,641,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0110_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,110,C,1,0,C01,0,3,5,18,11,11,11,171,,,230,0,47,277,641,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0110_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,110,C,2,0,C02,0,3,3,22,24,8,12,169,,,241,0,27,268,641,Grupo de recuento,,,http://iepct.mx/computos/2024/DIP/2/acta_recuento/GRUPO01.pdf
3,27,TABASCO,2,CARDENAS,2,CARDENAS,110,C,3,0,C03,0,2,6,19,14,8,6,182,,,237,0,30,267,640,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0110_C03.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,111,B,1,0,B,0,1,2,30,14,6,2,175,,,230,0,11,241,384,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0111_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,111,C,1,0,C01,0,0,1,21,13,3,3,208,,,249,0,10,259,384,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0111_C01.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,117,B,1,0,B,0,3,6,39,19,8,4,243,,,322,0,17,339,466,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0117_B.jpg
3,27,TABASCO,2,CARDENAS,2,CARDENAS,118,B,1,0,B,0,1,8,19,27,3,6,186,,,250,0,20,270,501,Acta casilla,,,http://iepct.mx/computos/2024/DIP/2/acta_casilla_consejo/DIP_0118_B.jpg
