CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,CALIDAD DE LA CANDIDATURA,NUMERO_LISTA,PERSONA_CANDIDATA,DENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
,25,SINALOA,,,2,ANGOSTURA,,,PRES_MUN,PAN_PRI_PRD_PAS,PROPIETARIO,1,ALBERTO RIVERA CAMACHO,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PAS
,25,SINALOA,,,2,ANGOSTURA,,,REG_MR,PAN_PRI_PRD_PAS,PROPIETARIO,3,ABEL TOLOZA MURILLO,1,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PRD
,25,SINALOA,,,2,ANGOSTURA,,,REG_MR,PAN_PRI_PRD_PAS,SUPLENTE,3,RAUL GUADALUPE GARCIA CORTEZ,1,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PRD
,25,SINALOA,,,2,ANGOSTURA,,,REG_MR,PAN_PRI_PRD_PAS,PROPIETARIO,4,CIELO MINERVA CAMACHO MONTES,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PAN
,25,SINALOA,,,2,ANGOSTURA,,,REG_MR,PAN_PRI_PRD_PAS,SUPLENTE,4,LORENA GUADALUPE APODACA SOTO,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PAN
,25,SINALOA,,,2,ANGOSTURA,,,REG_MR,PAN_PRI_PRD_PAS,PROPIETARIO,5,HILDELIZA CORRALES MASCAREÑO,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PRI
,25,SINALOA,,,2,ANGOSTURA,,,REG_MR,PAN_PRI_PRD_PAS,SUPLENTE,5,LUZ MARIA GASTELUM PEREZ,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PRI
,25,SINALOA,,,2,ANGOSTURA,,,SIND_MR,PAN_PRI_PRD_PAS,PROPIETARIO,2,SANDRA LUZ MEJIA CASTRO,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PRI
,25,SINALOA,,,2,ANGOSTURA,,,SIND_MR,PAN_PRI_PRD_PAS,SUPLENTE,2,KENYA ELIZABETH SANCHEZ CAMACHO,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Angostura.pdf ,PRI
,25,SINALOA,,,3,BADIRAGUATO,,,PRES_MUN,MORENA,PROPIETARIO,1,JOSE PAZ LOPEZ ELENES,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf ,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,REG_MR,MORENA,PROPIETARIO,3,MARCOS ANTONIO LOPEZ GARCIA,1,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf ,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,REG_MR,MORENA,SUPLENTE,3,ALMICAR IZAAC VALDEZ ARAUJO,1,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf ,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,REG_MR,MORENA,PROPIETARIO,4,MARIA ANTONIA RIOS IRIBE,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,REG_MR,MORENA,SUPLENTE,4,GIUSEL GUADALUPE PEREZ LOPEZ,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf ,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,REG_MR,MORENA,PROPIETARIO,5,EDUARDO VELAZQUEZ COVARRUBIAS,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf ,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,REG_MR,MORENA,SUPLENTE,5,YOMARA IRAZEMA TORTOLEDO BELTRAN,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf ,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,SIND_MR,MORENA,PROPIETARIO,2,GEMA PATRICIA FELIX SALAZAR,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf  ,MORENA
,25,SINALOA,,,3,BADIRAGUATO,,,SIND_MR,MORENA,SUPLENTE,2,ZAIBET LILIANA VEGA LARA,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Badiraguato.pdf ,MORENA
,25,SINALOA,,,7,CHOIX,,,PRES_MUN,PAN_PRI_PRD_PAS,PROPIETARIO,1,YONEIDA VAZQUEZ GAMEZ,2,CANDIDATURAS INDIGENAS,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PAN
,25,SINALOA,,,7,CHOIX,,,REG_MR,PAN_PRI_PRD_PAS,PROPIETARIO,3,JULIETA NICOLE GONZALEZ PADILLA,2,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PAS
,25,SINALOA,,,7,CHOIX,,,REG_MR,PAN_PRI_PRD_PAS,SUPLENTE,3,VERENICE FELIX ESPINOZA,2,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PAS
,25,SINALOA,,,7,CHOIX,,,REG_MR,PAN_PRI_PRD_PAS,PROPIETARIO,4,FREDY VELAZQUEZ VEGA,1,CANDIDATURAS INDIGENAS,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PAN
,25,SINALOA,,,7,CHOIX,,,REG_MR,PAN_PRI_PRD_PAS,SUPLENTE,4,SANTOS MORENO CABADA,1,CANDIDATURAS INDIGENAS,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PAN
,25,SINALOA,,,7,CHOIX,,,REG_MR,PAN_PRI_PRD_PAS,PROPIETARIO,5,MARIA DOLORES PORTILLO GIL,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PRI
,25,SINALOA,,,7,CHOIX,,,REG_MR,PAN_PRI_PRD_PAS,SUPLENTE,5,NORMA ACOSTA BUSTAMANTE,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PRI
,25,SINALOA,,,7,CHOIX,,,SIND_MR,PAN_PRI_PRD_PAS,PROPIETARIO,2,FELIPE DE JESUS IZA COTA,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PRD
,25,SINALOA,,,7,CHOIX,,,SIND_MR,PAN_PRI_PRD_PAS,SUPLENTE,2,JORGE SADAM ORNELAS ANDUJO,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Choix.pdf,PRD
,25,SINALOA,,,4,CONCORDIA,,,PRES_MUN,MORENA,PROPIETARIO,1,OSCAR ZAMUDIO PEREZ,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,4,CONCORDIA,,,REG_MR,MORENA,PROPIETARIO,3,TERESITA DE JESUS OSUNA RODRIGUEZ,2,CANDIDATURAS INDIGENAS,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,4,CONCORDIA,,,REG_MR,MORENA,SUPLENTE,3,ROSA NABILE ALVAREZ GARZON,2,CANDIDATURAS INDIGENAS,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,4,CONCORDIA,,,REG_MR,MORENA,PROPIETARIO,4,ROSA MARGARITA ZAMUDIO MADRIGAL,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,4,CONCORDIA,,,REG_MR,MORENA,SUPLENTE,4,LIZ NEREIDA ECHEAGARAY CAMACHO,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
