ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,29,CHURUMUCO,13,21,21,63,4159,138,148,441,35,868,3,6,11,12,0,0,77,8,6,15,,,16,,6006,0,430,6436,10135,
16,MICHOACAN,30,ECUANDUREO,13,24,25,1954,368,75,415,210,223,1663,20,11,15,18,0,0,196,36,34,36,185,37,22,2,5520,2,344,5866,11984,
16,MICHOACAN,31,EPITACIO HUERTA,11,21,21,2012,905,608,741,519,402,1570,37,18,14,20,0,0,23,6,5,15,33,10,4,2,6944,1,316,7261,12128,
16,MICHOACAN,32,ERONGARICUARO,9,20,20,285,2409,458,266,176,88,2859,399,46,77,43,0,0,88,23,38,36,279,73,13,70,7726,0,392,8118,10316,
16,MICHOACAN,33,GABRIEL ZAMORA,13,30,30,207,267,595,4752,1093,210,3309,36,446,27,32,0,0,206,29,33,22,,,9,,11273,3,365,11641,16927,
16,MICHOACAN,34,HIDALGO,71,165,166,7220,7900,2358,9716,1891,9445,9076,1747,201,534,570,0,0,930,467,284,142,2013,254,104,73,54925,27,3364,58316,95524,
16,MICHOACAN,35,LA HUACANA,28,50,50,291,443,257,5820,482,256,6479,35,19,38,43,0,0,1289,109,235,62,,,26,,15884,1,864,16749,24149,
16,MICHOACAN,36,HUANDACAREO,10,18,18,473,277,1331,218,227,259,1777,118,664,30,31,0,0,156,29,35,31,74,26,13,11,5780,0,314,6094,10847,
16,MICHOACAN,37,HUANIQUEO,11,14,14,104,86,969,258,705,116,924,74,458,18,68,0,0,31,8,7,13,8,1,7,3,3858,0,294,4152,7960,
16,MICHOACAN,38,HUETAMO,44,71,71,300,867,9062,422,334,156,4630,201,134,53,34,0,0,279,43,77,62,366,37,86,102,17245,0,859,18104,34332,
16,MICHOACAN,39,HUIRAMBA,4,12,12,108,399,130,700,99,218,733,1679,42,19,46,0,0,35,11,22,4,21,5,5,15,4291,0,393,4684,7103,
16,MICHOACAN,40,INDAPARAPEO,13,27,27,508,1083,1298,253,1974,320,1310,335,39,39,274,0,0,276,65,16,73,267,37,21,24,8212,23,406,8641,14400,
16,MICHOACAN,41,IRIMBO,8,21,21,330,2224,1139,332,325,455,1988,235,29,24,176,0,0,85,21,21,28,76,77,8,12,7585,3,518,8106,13220,
