CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,14,C,1,0,C01,0,210,16,2,3,2,15,64,0,0,8,2,1,0,323,2,6,331,471,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,15,B,1,0,B,0,144,12,2,7,4,22,64,0,0,5,3,0,0,263,1,15,279,498,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,15,C,1,0,C01,0,137,10,3,7,2,19,75,0,0,5,4,3,0,265,0,10,275,497,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,16,B,1,0,B,0,121,12,2,5,3,19,61,0,0,5,2,0,0,230,1,17,248,431,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,16,C,1,0,C01,0,129,9,6,5,3,18,60,0,0,5,0,0,0,235,0,10,245,430,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,17,B,1,0,B,0,161,6,6,12,3,26,88,0,0,3,3,1,0,309,0,10,319,513,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,17,C,1,0,C01,0,167,13,0,11,2,21,65,0,0,3,2,0,0,284,0,14,298,512,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,18,B,1,0,B,0,179,18,3,7,4,15,85,0,0,8,3,0,0,322,0,20,342,520,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,18,C,1,0,C01,0,194,29,2,4,6,15,71,0,0,13,0,0,0,334,0,3,337,520,Grupo de recuento,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,19,B,1,0,B,0,227,17,3,5,4,18,49,0,0,11,5,0,0,339,0,8,347,505,Grupo de recuento,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,19,C,1,0,C01,0,213,24,4,1,1,25,40,0,0,7,4,0,0,319,0,15,334,504,Acta casilla,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,20,B,1,0,B,0,238,15,3,3,5,25,69,0,0,12,2,0,0,372,0,10,382,526,Acta casilla,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,20,C,1,0,C01,0,256,25,11,6,5,16,57,0,0,8,2,0,0,386,0,12,398,526,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,21,B,1,0,B,0,169,19,3,15,3,23,91,0,0,4,6,1,0,334,0,16,350,638,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,21,C,1,0,C01,0,168,20,10,4,9,24,116,0,0,8,0,0,0,359,0,25,384,638,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,22,B,1,0,B,0,180,27,3,14,5,22,106,0,0,7,7,0,0,371,1,24,396,712,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,23,B,1,0,B,0,152,8,0,8,4,15,73,0,0,1,1,0,0,262,0,6,268,461,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,23,C,1,0,C01,0,138,17,8,6,5,16,57,0,0,3,0,0,0,250,0,12,262,460,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,24,B,1,0,B,0,155,27,5,7,3,31,84,0,0,7,2,0,0,321,1,14,336,623,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,25,B,1,0,B,0,128,10,9,3,0,32,58,0,0,3,1,0,0,244,1,6,251,454,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,25,C,1,0,C01,0,165,6,7,2,7,20,59,0,0,7,0,1,0,274,0,9,283,454,Grupo de recuento,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,26,B,1,0,B,0,185,12,7,10,4,23,87,0,0,7,0,0,0,335,0,15,350,556,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,26,C,1,0,C01,0,199,8,1,8,6,19,75,0,0,8,3,0,0,327,0,12,339,556,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,27,B,1,0,B,0,217,9,8,6,1,32,72,0,0,7,2,0,0,354,0,9,363,551,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,28,B,1,0,B,0,127,14,5,4,0,20,46,0,0,2,1,0,0,219,2,8,229,362,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,29,B,1,0,B,0,115,17,5,7,5,13,75,0,0,4,0,0,0,241,0,4,245,431,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,29,C,1,0,C01,0,119,17,1,4,7,24,54,0,0,2,1,0,0,229,0,14,243,430,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,30,B,1,0,B,0,196,15,11,7,14,14,79,0,0,5,2,0,0,343,0,2,345,591,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,31,B,1,0,B,0,131,11,7,11,7,20,53,0,0,3,5,0,0,248,1,12,261,475,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,31,C,1,0,C01,0,149,15,7,10,3,14,54,0,0,2,5,0,0,259,0,13,272,475,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,32,B,1,0,B,0,126,17,12,9,5,23,91,0,0,2,2,0,0,287,0,17,304,573,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,32,C,1,0,C01,0,118,25,8,7,5,18,119,0,0,7,4,1,0,312,0,12,324,572,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,33,B,1,0,B,0,124,17,3,8,2,12,60,0,0,6,1,0,0,233,1,14,248,413,Grupo de recuento,,,
