CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1048,1,1,163,15,3,10,5,37,142,0,0,0,0,10,5,2,2,394,0,15,409,734
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1049,2,2,189,24,5,12,4,49,202,0,0,0,0,8,2,6,0,501,0,12,513,809
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1050,2,2,260,33,5,18,9,39,228,0,0,0,0,13,0,1,1,607,0,11,618,980
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1051,3,3,293,59,9,32,20,91,405,0,0,0,0,32,4,4,1,950,0,33,983,1544
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1052,2,2,317,36,4,17,17,76,280,0,0,0,0,13,3,5,1,769,0,22,791,1387
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1053,2,2,283,28,7,16,14,44,237,0,0,0,0,9,1,7,0,646,0,14,660,1112
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1054,2,2,247,20,8,18,19,58,250,0,0,0,0,17,5,3,0,645,0,19,664,1111
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1055,2,2,261,21,5,13,7,43,216,0,0,0,0,8,0,2,0,576,0,13,589,894
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1056,2,2,235,15,4,11,8,46,256,0,0,0,0,16,0,2,1,594,0,19,613,1049
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1057,2,2,220,24,9,12,8,35,304,0,0,0,0,19,1,4,0,636,0,7,643,1199
